priority_order,priority_rule_id,would_match,selected,candidate_final_decision,decision_reason,h10_validated_pass,stock_selection_supported,robustness_confirmed,adjacent_horizon_status,baseline_lift_evaluable_H10,baseline_lift_gate_H10,absolute_positive_H10,relative_positive_H10,horizon_pass_H5,horizon_pass_H20
1,rule_01_blocked_data_or_execution_contract,False,False,r02_blocked_data_or_execution_contract,"Required data, split, execution, cost, or canonical unit authority is missing.",False,False,False,adjacent_horizon_strongly_negative,True,False,False,False,False,False
2,rule_02_simple_continuation_supported,False,False,r02_simple_continuation_supported_continue_research,"Primary RS20 unit passed H10, baseline lift, robustness, and adjacent horizon checks.",False,False,False,adjacent_horizon_strongly_negative,True,False,False,False,False,False
3,rule_03_baseline_not_evaluable_validation_lead,False,False,r02_baseline_not_evaluable_validation_lead,Primary validation passed but date-aligned baseline was not evaluable.,False,False,False,adjacent_horizon_strongly_negative,True,False,False,False,False,False
4,rule_04_beta_or_market_exposure_only,False,False,r02_beta_or_market_exposure_only_no_stock_selection_pass,Primary validation passed but did not stably beat same-week nonselected liquid baseline.,False,False,False,adjacent_horizon_strongly_negative,True,False,False,False,False,False
5,rule_05_unstable_validation_only_lead,False,False,r02_unstable_validation_only_lead,Validation stock-selection support did not confirm in robustness.,False,False,False,adjacent_horizon_strongly_negative,True,False,False,False,False,False
6,rule_06_unstable_horizon_shape,False,False,r02_unstable_horizon_shape_no_search_allowed,H10 support was contradicted by a strongly negative adjacent horizon.,False,False,False,adjacent_horizon_strongly_negative,True,False,False,False,False,False
7,rule_07_adjacent_horizon_not_evaluable,False,False,r02_adjacent_horizon_not_evaluable_validation_lead,H10 support had an adjacent horizon that was not evaluable.,False,False,False,adjacent_horizon_strongly_negative,True,False,False,False,False,False
8,rule_08_relative_edge_only,False,False,r02_relative_edge_only_hedged_or_regime_audit_required,Relative edge exists without absolute long-only deployability and is stable across comparators.,False,False,False,adjacent_horizon_strongly_negative,True,False,False,False,False,False
9,rule_09_abs_positive_rel_negative_beta,False,False,r02_beta_or_market_exposure_only_no_stock_selection_pass,Absolute return exists without matched residual edge.,False,False,False,adjacent_horizon_strongly_negative,True,False,False,False,False,False
10,rule_10_horizon_specific_lead_only,False,False,r02_horizon_specific_lead_only_no_search_allowed,Only H5 or H20 passed while H10 did not.,False,False,False,adjacent_horizon_strongly_negative,True,False,False,False,False,False
11,rule_11_sample_limited_primary_lead_only,False,False,r02_sample_limited_primary_lead_only,Primary unit is a sample-limited lead only.,False,False,False,adjacent_horizon_strongly_negative,True,False,False,False,False,False
12,rule_12_no_simple_continuation_support,True,True,r02_no_simple_continuation_support,No R02 rule supplied simple continuation support.,False,False,False,adjacent_horizon_strongly_negative,True,False,False,False,False,False
