run_id,contract_group,field,frozen_value,status
20A_paper_lineage_data_and_replication_contract,economic_risk,primary_objective,deployable_positive_beta,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,incremental_alpha_required,False,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,cash_hurdle_monthly,0.0,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,confirmatory_CI_lower_floor,0.0,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,Holm_familywise_alpha,0.05,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,Bonferroni_one_sided_per_arm_alpha,0.025,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,positive_month_rate_role,diagnostic_only,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,right_tail_role,secondary diagnostic,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,one_month_upper_tail_contribution_10,monthly top return decile positive capital contribution / all positive contribution; undefined if denominator zero,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,big_winner_exposure_ratio_50_120,monthly capital-weighted sleeve MFE120>=50% rate / same-date executable U_project equal-weight rate,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,right_tail_undefined_month_rule,report undefined count; never replace undefined with zero,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,monthly_ES10_loss_cap,0.15,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,monthly_p10_return_floor,-0.12,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,max_drawdown_cap,0.35,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,max_drawdown_formula,max_t(1-daily_NAV_t/running_max_daily_NAV_through_t),pass
20A_paper_lineage_data_and_replication_contract,economic_risk,single_instrument_weight_cap,0.1,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,top10_instrument_weight_cap,0.5,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,minimum_effective_holdings,20,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,realized_effective_holdings_formula,sum(actual_position_weight)^2/sum(actual_position_weight^2); zero when invested weight zero,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,minimum_effective_holdings_gate,p10 across evaluable rebalances >= 20,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,locked_capital_weight,blocked-exit position market value / pretrade NAV,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,risk_provisional_floor,ES10 and p10 cannot pass confirmatory risk gate before 20 complete months,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,parameter_source,human_positive_beta_risk_budget_20A_v1,pass
20A_paper_lineage_data_and_replication_contract,economic_risk,economic_gate_freeze_gate,pass,pass
