run_id,formula_id,universe_id,warmup_rule,observed_calendar_month_n,post_warmup_month_n,historical_sample_role,historical_support_claim_allowed,early_block_month_n,late_block_month_n,history_support_gate
20A_paper_lineage_data_and_replication_contract,CNN_MAIN_DEFERRED,U_paper,20 sessions plus calendar support gate,113,101,design_contaminated_historical,False,50,51,design_only
20A_paper_lineage_data_and_replication_contract,FIP_ID,U_paper,12 months plus daily sign coverage,113,101,design_contaminated_historical,False,50,51,design_only
20A_paper_lineage_data_and_replication_contract,LOWVOL_36M,U_project,36 complete months,113,77,design_contaminated_historical,False,38,39,design_only
20A_paper_lineage_data_and_replication_contract,MA20_OVERLAY,U_paper,20 sessions,113,101,design_contaminated_historical,False,50,51,design_only
20A_paper_lineage_data_and_replication_contract,RESMOM_EXACT_CH3,U_paper,paper-defined 36-month regression,113,66,design_contaminated_historical,False,33,33,design_only
20A_paper_lineage_data_and_replication_contract,RESMOM_R2_MARKET_ONLY_ADAPTATION,U_paper,47 complete prior months,113,66,design_contaminated_historical,False,33,33,design_only
20A_paper_lineage_data_and_replication_contract,RESMOM_R3_BOARD_ADAPTATION,U_project,47 complete prior months,113,66,design_contaminated_historical,False,33,33,design_only
20A_paper_lineage_data_and_replication_contract,TMOM_12_1,U_project,12 complete calendar months,113,101,design_contaminated_historical,False,50,51,design_only
20A_paper_lineage_data_and_replication_contract,TRENDPV_FULL_FACTOR,U_paper,400 sessions plus coefficient initialization,113,97,design_contaminated_historical,False,48,49,design_only
20A_paper_lineage_data_and_replication_contract,TRENDPV_MONTHLY_CS_REG,U_project,400 sessions plus coefficient initialization,113,97,design_contaminated_historical,False,48,49,design_only
20A_paper_lineage_data_and_replication_contract,TRENDPV_SIGNALS,U_project,400 sessions,113,97,design_contaminated_historical,False,48,49,design_only
