run_id,formula_id,family_id,arm_id,arm_role,replication_role,promotion_eligible,source_id,paper_section_or_equation,formula_text,input_fields,input_frequency,lag_rule,warmup_rule,universe_rule,weighting_rule,holding_rule,missing_data_rule,regression_intercept_rule,cross_section_weighting_rule,preprocessing_and_winsorization_rule,coefficient_initialization_rule,minimum_observation_rule,zero_return_or_zero_volume_rule,tie_and_breakpoint_rule,score_standardization_rule,exact_data_dependencies,project_adaptation_changes,outcome_independent,frozen_before_outcome,formula_gate
20A_paper_lineage_data_and_replication_contract,TMOM_12_1,TotalMomentum,C1_TMOM_12_1,paper_comparator,project_adaptation,False,residual_momentum_full_paper,p11-p12 portfolio definition,cumulative total return over the 11 months preceding the latest completed month; latest month excluded,monthly_total_return,monthly,latest completed month excluded,12 complete calendar months,U_project,equal-weight project top decile,one_calendar_month,fail_closed_and_record_missing_reason,not_applicable,equal_stock_weight,no_winsorization_unless_human_reviewed_source_row_says_otherwise,not_applicable,12 complete calendar months,zero return retained; zero current volume makes TrendPV volume signal missing,instrument_ascending_exact_count_for_project; paper_defined_for_exact,formula_specific,none_beyond_project_contract,cumulative total return over the 11 months preceding the latest completed month; latest month excluded,True,True,pass
20A_paper_lineage_data_and_replication_contract,TRENDPV_SIGNALS,TrendPV,C2_TRENDPV_RAW_ADAPTATION,project_primary_1,project_adaptation,True,trend_china_full_working_paper,"equations 1-4, pp5-6","MP_L=mean(close,L)/close_t and MV_L=mean(volume,L)/volume_t for L=3,5,10,20,50,100,200,300,400",qfq_close|normalized_volume_shares,daily_to_monthly,decision month-end only,400 sessions,U_project,equal-weight project top decile,one_calendar_month,fail_closed_and_record_missing_reason,not_applicable,equal_stock_weight,no_winsorization_unless_human_reviewed_source_row_says_otherwise,not_applicable,400 sessions,zero return retained; zero current volume makes TrendPV volume signal missing,instrument_ascending_exact_count_for_project; paper_defined_for_exact,formula_specific,none_beyond_project_contract,"MP_L=mean(close,L)/close_t and MV_L=mean(volume,L)/volume_t for L=3,5,10,20,50,100,200,300,400",True,True,pass
20A_paper_lineage_data_and_replication_contract,TRENDPV_MONTHLY_CS_REG,TrendPV,C2_TRENDPV_RAW_ADAPTATION,project_primary_1,project_adaptation,True,trend_china_full_working_paper,"equations 5-7, p6",monthly predictive cross-section regression with EMA forecast coefficient lambda=0.02,monthly_total_return|TrendPV_signals,daily_to_monthly,only coefficients estimated through decision month,400 sessions plus coefficient initialization,U_project,OLS cross-section; top-decile long-only project adaptation,one_calendar_month,fail_closed_and_record_missing_reason,fit_intercept=true,equal_stock_weight,no_winsorization_unless_human_reviewed_source_row_says_otherwise,human_review_required_from_source,400 sessions plus coefficient initialization,zero return retained; zero current volume makes TrendPV volume signal missing,instrument_ascending_exact_count_for_project; paper_defined_for_exact,formula_specific,none_beyond_project_contract,monthly predictive cross-section regression with EMA forecast coefficient lambda=0.02,True,True,pass
20A_paper_lineage_data_and_replication_contract,TRENDPV_FULL_FACTOR,TrendPV,P2_TREND_FULL_EXACT,paper_diagnostic,paper_exact_or_diagnostic,False,trend_china_full_working_paper,"section 2.2, pp6-7",exclude smallest 30 percent; independent Size 2 x EP 3 x Trend 3; VW high trend six minus low trend six,PIT_market_cap|PIT_EP|trend_score|monthly_total_return,daily_to_monthly,paper PIT timing,400 sessions plus coefficient initialization,U_paper,value weighted paper factor,paper_or_deferred,fail_closed_and_record_missing_reason,not_applicable,paper_defined,no_winsorization_unless_human_reviewed_source_row_says_otherwise,not_applicable,400 sessions plus coefficient initialization,zero return retained; zero current volume makes TrendPV volume signal missing,instrument_ascending_exact_count_for_project; paper_defined_for_exact,formula_specific,PIT_market_cap|PIT_EP|risk_free|CH3,none,True,True,pass
20A_paper_lineage_data_and_replication_contract,RESMOM_EXACT_CH3,ResidualMomentum,P3_RESMOM_CH3_EXACT,paper_diagnostic,paper_exact_or_diagnostic,False,residual_momentum_full_paper,equation 1 and pp11-12,36-month market/size/value regression; 12-1 residual return standardized by residual volatility,monthly_excess_return|CH3_factors,monthly,paper 12-1,paper-defined 36-month regression,U_paper,paper deciles,paper_or_deferred,fail_closed_and_record_missing_reason,fit_intercept=true,paper_defined,no_winsorization_unless_human_reviewed_source_row_says_otherwise,not_applicable,paper-defined 36-month regression,zero return retained; zero current volume makes TrendPV volume signal missing,instrument_ascending_exact_count_for_project; paper_defined_for_exact,mean_over_11_divided_by_sample_std_ddof1,PIT_market_cap|PIT_EP|risk_free|CH3,none,True,True,pass
20A_paper_lineage_data_and_replication_contract,RESMOM_R2_MARKET_ONLY_ADAPTATION,ResidualMomentum,C3A_RESMOM_R2_MARKET_ONLY,fallback_project_primary_2,paper_exact_or_diagnostic,True,residual_momentum_full_paper,project adaptation of equation 1 and pp11-12,sequential one-step 36-month stock-on-CSI300 residual; score mean/std over exact 11 residual months with latest month skipped,stock_monthly_total_return|CSI300_monthly_total_return,monthly,rolling regressions use s-36 through s-1 only,47 complete prior months,U_paper,equal-weight project top decile,one_calendar_month,fail_closed_and_record_missing_reason,fit_intercept=true,paper_defined,no_winsorization_unless_human_reviewed_source_row_says_otherwise,not_applicable,47 complete prior months,zero return retained; zero current volume makes TrendPV volume signal missing,instrument_ascending_exact_count_for_project; paper_defined_for_exact,mean_over_11_divided_by_sample_std_ddof1,PIT_market_cap|PIT_EP|risk_free|CH3,none,True,True,pass
20A_paper_lineage_data_and_replication_contract,RESMOM_R3_BOARD_ADAPTATION,ResidualMomentum,C3_RESMOM_R3_BOARD_ADAPTATION,preferred_project_primary_2,project_adaptation,True,residual_momentum_full_paper,project two-stage adaptation of equation 1 and industry robustness,R2 market residual first; monthly cross-sectional ridge with alpha=1.0 on lagged log market cap and static 2025 board multi-hot; 11-month mean/std score,R2_market_residual|lagged_market_cap|board_multi_hot,monthly,market regression s-36:s-1; size as of s-1,47 complete prior months,U_project,equal-weight project top decile,one_calendar_month,fail_closed_and_record_missing_reason,fit_intercept=true,equal_stock_weight,no_winsorization_unless_human_reviewed_source_row_says_otherwise,not_applicable,47 complete prior months,zero return retained; zero current volume makes TrendPV volume signal missing,instrument_ascending_exact_count_for_project; paper_defined_for_exact,mean_over_11_divided_by_sample_std_ddof1,none_beyond_project_contract,R2 market residual first; monthly cross-sectional ridge with alpha=1.0 on lagged log market cap and static 2025 board multi-hot; 11-month mean/std score,True,True,pass
20A_paper_lineage_data_and_replication_contract,LOWVOL_36M,LowVol,C4_LOWVOL,risk_comparator,project_adaptation,False,china_low_vol_full_article,methodology low-volatility ranking,standard deviation of preceding 36 complete monthly total returns,monthly_total_return,monthly,through latest completed month,36 complete months,U_project,equal-weight lowest project decile,one_calendar_month,fail_closed_and_record_missing_reason,not_applicable,equal_stock_weight,no_winsorization_unless_human_reviewed_source_row_says_otherwise,not_applicable,36 complete months,zero return retained; zero current volume makes TrendPV volume signal missing,instrument_ascending_exact_count_for_project; paper_defined_for_exact,formula_specific,none_beyond_project_contract,standard deviation of preceding 36 complete monthly total returns,True,True,pass
20A_paper_lineage_data_and_replication_contract,FIP_ID,FIP,D1_FIP_INCREMENT,deferred_challenger,paper_exact_or_diagnostic,False,fip_full_working_paper,information discreteness definition,ID=sign(PRET)*(percent negative-return days - percent positive-return days),daily_return|PRET_12_1,daily_to_monthly,latest completed month excluded,12 months plus daily sign coverage,U_paper,diagnostic challenger only,paper_or_deferred,fail_closed_and_record_missing_reason,not_applicable,paper_defined,no_winsorization_unless_human_reviewed_source_row_says_otherwise,not_applicable,12 months plus daily sign coverage,zero return retained; zero current volume makes TrendPV volume signal missing,instrument_ascending_exact_count_for_project; paper_defined_for_exact,formula_specific,PIT_market_cap|PIT_EP|risk_free|CH3,none,True,True,pass
20A_paper_lineage_data_and_replication_contract,MA20_OVERLAY,MAOverlay,E2_MA20_OVERLAY,risk_overlay,paper_exact_or_diagnostic,False,ma_portfolio_timing_full_paper,moving-average portfolio timing rule,hold sleeve only when prior sleeve close exceeds prior MA20; otherwise cash,sleeve_daily_NAV,daily_to_monthly,prior close and prior MA20,20 sessions,U_paper,portfolio overlay only,paper_or_deferred,fail_closed_and_record_missing_reason,not_applicable,paper_defined,no_winsorization_unless_human_reviewed_source_row_says_otherwise,not_applicable,20 sessions,zero return retained; zero current volume makes TrendPV volume signal missing,instrument_ascending_exact_count_for_project; paper_defined_for_exact,formula_specific,PIT_market_cap|PIT_EP|risk_free|CH3,none,True,True,pass
