run_id,contract_group,field,frozen_value,status
20A_paper_lineage_data_and_replication_contract,turnover_cost_capacity,ADV20,mean raw money over 20 exchange-open sessions ending before order,pass
20A_paper_lineage_data_and_replication_contract,turnover_cost_capacity,missing_raw_bar,zero if listed; prelisting unavailable,pass
20A_paper_lineage_data_and_replication_contract,turnover_cost_capacity,minimum_ADV_sessions,20,pass
20A_paper_lineage_data_and_replication_contract,turnover_cost_capacity,attempted_one_way_turnover,(intended_buy+intended_sell)/(2*pretrade_NAV),pass
20A_paper_lineage_data_and_replication_contract,turnover_cost_capacity,realized_one_way_turnover,(executed_buy+executed_sell)/(2*pretrade_NAV),pass
20A_paper_lineage_data_and_replication_contract,turnover_cost_capacity,transaction_cost_return,commission+stamp+transfer+slippage over pretrade_NAV,pass
20A_paper_lineage_data_and_replication_contract,turnover_cost_capacity,break_even_cost_multiple,mean(gross-cash_hurdle)/mean(transaction_cost_return),pass
20A_paper_lineage_data_and_replication_contract,turnover_cost_capacity,zero_cost_behavior,undefined,pass
20A_paper_lineage_data_and_replication_contract,turnover_cost_capacity,capacity_based_scaling_allowed,False,pass
20A_paper_lineage_data_and_replication_contract,turnover_cost_capacity,maximum_ADV_participation_rate,0.01,pass
20A_paper_lineage_data_and_replication_contract,turnover_cost_capacity,cost_capacity_formula_gate,pass,pass
