run_id,rule_id,exchange,board_bucket,is_st,effective_start_date,effective_end_date,listing_session_min,listing_session_max,daily_limit_up_rate,daily_limit_down_rate,no_limit_flag,tick_size,rounding_rule,minimum_buy_order_shares,buy_order_increment_shares,sell_remainder_rule,transfer_fee_buy_bps,transfer_fee_sell_bps,official_source_url,official_source_title,source_checked_date,human_verified
20A_paper_lineage_data_and_replication_contract,main_nonst_pre_transfer_cut,ALL,main_board,False,1990-12-19,2022-04-28,2,,0.1,0.1,False,0.01,round_half_up_to_tick,100,100,allow_odd_lot_full_exit,0.2,0.2,https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20230217_5711900.shtml,主板交易规则及人工核验的中国结算历史过户费,2026-07-10,True
20A_paper_lineage_data_and_replication_contract,main_nonst_post_transfer_cut,ALL,main_board,False,2022-04-29,,2,,0.1,0.1,False,0.01,round_half_up_to_tick,100,100,allow_odd_lot_full_exit,0.1,0.1,https://one.sse.com.cn/onething/gptz/,主板交易规则及现行A股过户费,2026-07-10,True
20A_paper_lineage_data_and_replication_contract,main_st_pre_transfer_cut,ALL,main_board,True,1990-12-19,2022-04-28,2,,0.05,0.05,False,0.01,round_half_up_to_tick,100,100,allow_odd_lot_full_exit,0.2,0.2,https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20230217_5711900.shtml,风险警示股票规则及人工核验的中国结算历史过户费,2026-07-10,True
20A_paper_lineage_data_and_replication_contract,main_st_post_transfer_cut,ALL,main_board,True,2022-04-29,,2,,0.05,0.05,False,0.01,round_half_up_to_tick,100,100,allow_odd_lot_full_exit,0.1,0.1,https://one.sse.com.cn/onething/gptz/,风险警示股票规则及现行A股过户费,2026-07-10,True
20A_paper_lineage_data_and_replication_contract,star_first5_pre_transfer_cut,SH,star,False,2019-07-22,2022-04-28,1,5,,,True,0.01,round_half_up_to_tick,200,1,allow_odd_lot_full_exit,0.2,0.2,https://www.sse.com.cn/star/lawandrules/,科创板交易规则及人工核验的中国结算历史过户费,2026-07-10,True
20A_paper_lineage_data_and_replication_contract,star_first5_post_transfer_cut,SH,star,False,2022-04-29,,1,5,,,True,0.01,round_half_up_to_tick,200,1,allow_odd_lot_full_exit,0.1,0.1,https://www.sse.com.cn/star/lawandrules/,科创板交易规则及现行A股过户费,2026-07-10,True
20A_paper_lineage_data_and_replication_contract,star_after5_pre_transfer_cut,SH,star,False,2019-07-22,2022-04-28,6,,0.2,0.2,False,0.01,round_half_up_to_tick,200,1,allow_odd_lot_full_exit,0.2,0.2,https://www.sse.com.cn/star/lawandrules/,科创板交易规则及人工核验的中国结算历史过户费,2026-07-10,True
20A_paper_lineage_data_and_replication_contract,star_after5_post_transfer_cut,SH,star,False,2022-04-29,,6,,0.2,0.2,False,0.01,round_half_up_to_tick,200,1,allow_odd_lot_full_exit,0.1,0.1,https://www.sse.com.cn/star/lawandrules/,科创板交易规则及现行A股过户费,2026-07-10,True
20A_paper_lineage_data_and_replication_contract,chinext_pre_reform,SZ,chinext,False,2009-10-30,2020-08-23,2,,0.1,0.1,False,0.01,round_half_up_to_tick,100,100,allow_odd_lot_full_exit,0.2,0.2,https://www.szse.cn/lawrules/rule/stock/specific/gem/index.html,创业板改革前规则及人工核验的中国结算历史过户费,2026-07-10,True
20A_paper_lineage_data_and_replication_contract,chinext_first5_pre_transfer_cut,SZ,chinext,False,2020-08-24,2022-04-28,1,5,,,True,0.01,round_half_up_to_tick,100,100,allow_odd_lot_full_exit,0.2,0.2,https://www.szse.cn/lawrules/rule/stock/specific/gem/index.html,创业板注册制规则及人工核验的中国结算历史过户费,2026-07-10,True
