run_id,arm_id,arm_description,arm_role,promotion_eligible,initial_AUM_cny,portfolio_ledger_id,ledger_count_per_arm,accounting_mode,active_weight_rescaling_allowed,selection_rule,target_weight_rule,tie_rule,entry_timing,cash_rule,EP19_effect_size_transfer_allowed
20A_paper_lineage_data_and_replication_contract,C0_ALL_ELIGIBLE,all eligible comparator,comparator,False,10000000,ledger_C0_ALL_ELIGIBLE,1,continuous_no_injection_stateful_NAV,False,all executable U_project rows,equal selected-name target weight; C5R2 retains untrimmed weights; remainder cash,instrument ascending exact-count; C5R2 removes q_vol60 equal to p70,after-close decision; one next-open executable attempt,"unselected, trimmed, blocked, and unfilled weight remains cash",False
20A_paper_lineage_data_and_replication_contract,C1_TMOM_12_1,incumbent paper comparator,comparator,False,10000000,ledger_C1_TMOM_12_1,1,continuous_no_injection_stateful_NAV,False,project top decile of frozen 12-1 total momentum,equal selected-name target weight; C5R2 retains untrimmed weights; remainder cash,instrument ascending exact-count; C5R2 removes q_vol60 equal to p70,after-close decision; one next-open executable attempt,"unselected, trimmed, blocked, and unfilled weight remains cash",False
20A_paper_lineage_data_and_replication_contract,C2_TRENDPV_RAW_ADAPTATION,project primary 1,primary,True,10000000,ledger_C2_TRENDPV_RAW_ADAPTATION,1,continuous_no_injection_stateful_NAV,False,project top decile of frozen raw TrendPV score,equal selected-name target weight; C5R2 retains untrimmed weights; remainder cash,instrument ascending exact-count; C5R2 removes q_vol60 equal to p70,after-close decision; one next-open executable attempt,"unselected, trimmed, blocked, and unfilled weight remains cash",False
20A_paper_lineage_data_and_replication_contract,C3_RESMOM_R3_BOARD_ADAPTATION,preferred residual arm when board passes,primary,True,10000000,ledger_C3_RESMOM_R3_BOARD_ADAPTATION,1,continuous_no_injection_stateful_NAV,False,project top decile of two-stage market then size/board residual momentum,equal selected-name target weight; C5R2 retains untrimmed weights; remainder cash,instrument ascending exact-count; C5R2 removes q_vol60 equal to p70,after-close decision; one next-open executable attempt,"unselected, trimmed, blocked, and unfilled weight remains cash",False
20A_paper_lineage_data_and_replication_contract,C3A_RESMOM_R2_MARKET_ONLY,fallback residual arm,comparator,False,10000000,ledger_C3A_RESMOM_R2_MARKET_ONLY,1,continuous_no_injection_stateful_NAV,False,project top decile of sequential 36-month market residual momentum,equal selected-name target weight; C5R2 retains untrimmed weights; remainder cash,instrument ascending exact-count; C5R2 removes q_vol60 equal to p70,after-close decision; one next-open executable attempt,"unselected, trimmed, blocked, and unfilled weight remains cash",False
20A_paper_lineage_data_and_replication_contract,C4_LOWVOL,risk comparator,comparator,False,10000000,ledger_C4_LOWVOL,1,continuous_no_injection_stateful_NAV,False,project lowest decile of preceding 36-month volatility,equal selected-name target weight; C5R2 retains untrimmed weights; remainder cash,instrument ascending exact-count; C5R2 removes q_vol60 equal to p70,after-close decision; one next-open executable attempt,"unselected, trimmed, blocked, and unfilled weight remains cash",False
20A_paper_lineage_data_and_replication_contract,C5_EP19_B2_MONTH_END_ADAPTATION,month-end adaptation of daily B2,comparator,False,10000000,ledger_C5_EP19_B2_MONTH_END_ADAPTATION,1,continuous_no_injection_stateful_NAV,False,frozen B2 rule applied once on each project month-end cross-section,equal selected-name target weight; C5R2 retains untrimmed weights; remainder cash,instrument ascending exact-count; C5R2 removes q_vol60 equal to p70,after-close decision; one next-open executable attempt,"unselected, trimmed, blocked, and unfilled weight remains cash",False
20A_paper_lineage_data_and_replication_contract,C5R2_EP19_B2_MONTH_END_VOL60_TRIM,same-date causal p70 trim,comparator,False,10000000,ledger_C5R2_EP19_B2_MONTH_END_VOL60_TRIM,1,continuous_no_injection_stateful_NAV,False,C5 rows with q_vol60 below same-date candidate linear p70; equality removed,equal selected-name target weight; C5R2 retains untrimmed weights; remainder cash,instrument ascending exact-count; C5R2 removes q_vol60 equal to p70,after-close decision; one next-open executable attempt,"unselected, trimmed, blocked, and unfilled weight remains cash",False
20A_paper_lineage_data_and_replication_contract,P2_TREND_FULL_EXACT,paper exact diagnostic,paper_diagnostic,False,10000000,ledger_P2_TREND_FULL_EXACT,1,continuous_no_injection_stateful_NAV,False,paper exact only when exact gates pass,equal selected-name target weight; C5R2 retains untrimmed weights; remainder cash,instrument ascending exact-count; C5R2 removes q_vol60 equal to p70,after-close decision; one next-open executable attempt,"unselected, trimmed, blocked, and unfilled weight remains cash",False
20A_paper_lineage_data_and_replication_contract,P3_RESMOM_CH3_EXACT,paper exact diagnostic,paper_diagnostic,False,10000000,ledger_P3_RESMOM_CH3_EXACT,1,continuous_no_injection_stateful_NAV,False,paper exact only when exact gates pass,equal selected-name target weight; C5R2 retains untrimmed weights; remainder cash,instrument ascending exact-count; C5R2 removes q_vol60 equal to p70,after-close decision; one next-open executable attempt,"unselected, trimmed, blocked, and unfilled weight remains cash",False
20A_paper_lineage_data_and_replication_contract,D1_FIP_INCREMENT,ordered deferred challenger,deferred,False,10000000,ledger_D1_FIP_INCREMENT,1,continuous_no_injection_stateful_NAV,False,deferred ordered challenger,equal selected-name target weight; C5R2 retains untrimmed weights; remainder cash,instrument ascending exact-count; C5R2 removes q_vol60 equal to p70,after-close decision; one next-open executable attempt,"unselected, trimmed, blocked, and unfilled weight remains cash",False
20A_paper_lineage_data_and_replication_contract,E2_MA20_OVERLAY,risk overlay,overlay,False,10000000,ledger_E2_MA20_OVERLAY,1,continuous_no_injection_stateful_NAV,False,prior sleeve close above prior MA20 else cash,equal selected-name target weight; C5R2 retains untrimmed weights; remainder cash,instrument ascending exact-count; C5R2 removes q_vol60 equal to p70,after-close decision; one next-open executable attempt,"unselected, trimmed, blocked, and unfilled weight remains cash",False
20A_paper_lineage_data_and_replication_contract,F1_CNN_ORACLE,representation oracle,diagnostic,False,10000000,ledger_F1_CNN_ORACLE,1,continuous_no_injection_stateful_NAV,False,strict-time-split representation diagnostic,equal selected-name target weight; C5R2 retains untrimmed weights; remainder cash,instrument ascending exact-count; C5R2 removes q_vol60 equal to p70,after-close decision; one next-open executable attempt,"unselected, trimmed, blocked, and unfilled weight remains cash",False
