artifact_name,path,role,exists,upstream_manifest_hash,live_content_hash,hash_match,authority_status
manifest,ep3/engineering_baseline/outputs/manifests/ep3_engineering_baseline_manifest.json,frozen upstream authority,True,not_in_manifest,f544df4710c322cd069c37c91b476ea6b7323bd5d4b88b2085c749ee6638f31a,not_in_manifest,passed
winner_label_panel,ep3/engineering_baseline/outputs/cache/ep3_winner_label_panel.parquet,labels and horizon eligibility,True,ba81492bc3aaf00355917fab1d57b556d2004a8998685f51847ca3506d09bd82,ba81492bc3aaf00355917fab1d57b556d2004a8998685f51847ca3506d09bd82,True,passed
candidate_anchor_panel,ep3/engineering_baseline/outputs/cache/ep3_candidate_anchor_panel.parquet,primary A/C anchor events,True,b4744212fc7b64103f461dcc4b748c63381c9a54488a2cbd033597958f575f19,b4744212fc7b64103f461dcc4b748c63381c9a54488a2cbd033597958f575f19,True,passed
matched_baseline_panel,ep3/engineering_baseline/outputs/cache/ep3_matched_baseline_panel.parquet,matched baseline events,True,7123b7dc338e1ffe6c5277ee4777340e6cfd7fe05ff36634ba8f9dc4c9d15ba4,7123b7dc338e1ffe6c5277ee4777340e6cfd7fe05ff36634ba8f9dc4c9d15ba4,True,passed
lifecycle_profile,ep3/engineering_baseline/outputs/reports/ep3_winner_lifecycle_profile.csv,winner-only lifecycle explanation,True,c659e99d6cfb7ad3ac184c7086fc8bdc5e164362c7c865246ced7650758e3d87,c659e99d6cfb7ad3ac184c7086fc8bdc5e164362c7c865246ced7650758e3d87,True,passed
gate_audit,ep3/engineering_baseline/outputs/reports/ep3_gate_audit.csv,upstream gate status,True,7cb132c6881792521db007bc7f5f7b203ee8de010bdbaa7db4c3c17b56568aee,7cb132c6881792521db007bc7f5f7b203ee8de010bdbaa7db4c3c17b56568aee,True,passed
anchor_vs_matched_baseline,ep3/engineering_baseline/outputs/reports/ep3_anchor_vs_matched_baseline.csv,upstream forward-audit metrics,True,8b1d508f517ac255a46c6a67abc8af319023d6f2326d8ac481fd1bdb679225d7,8b1d508f517ac255a46c6a67abc8af319023d6f2326d8ac481fd1bdb679225d7,True,passed
sensitivity_horizon_audit,ep3/engineering_baseline/outputs/reports/ep3_sensitivity_horizon_audit.csv,upstream H10/H60 sensitivity reference,True,9d4d4afefb2ac89393346f977b3ea03e262ac90dc8cebd71c9a00e72877d5182,9d4d4afefb2ac89393346f977b3ea03e262ac90dc8cebd71c9a00e72877d5182,True,passed
anchor_window_freeze,ep3/engineering_baseline/outputs/reports/ep3_anchor_window_freeze.csv,frozen train-derived windows,True,c69cd886387cf6cbcf20f4959ef514633f4ac3422873dafa0450cd851b999a08,c69cd886387cf6cbcf20f4959ef514633f4ac3422873dafa0450cd851b999a08,True,passed
matched_control_bucket_freeze,ep3/engineering_baseline/outputs/reports/ep3_matched_control_bucket_freeze.csv,frozen train-derived bucket edges,True,30e5c1a1ac9d30d78c3cc1f2226cd10db446d8f03e3e42bc8a950f3b833fc5f1,30e5c1a1ac9d30d78c3cc1f2226cd10db446d8f03e3e42bc8a950f3b833fc5f1,True,passed
trigger_budget_audit,ep3/engineering_baseline/outputs/reports/ep3_anchor_trigger_budget_audit.csv,raw trigger budget reference,True,78f791af454307fb23cd58692dcb822369ba7be447822fccae04e456aedb3563,78f791af454307fb23cd58692dcb822369ba7be447822fccae04e456aedb3563,True,passed
ep2_launch_pool,ep2/engineering_baseline/outputs/cache/ep2_launch_observation_pool.parquet,denominator universe only,True,not_in_manifest,ff302924138261ecf89d63c12551414abbd0254c9e64baeddac3fc9dbb3e80ed,not_in_manifest,passed
qlib_provider_uri,data/qlib/cn_data_pit,formula-diagnostic fields only,True,not_in_manifest,2cb2fdf8560374f42a900e531451a6d259a1a7c1a00f006eca582ea6acedce9b,not_in_manifest,passed
pit_qlib_instrument_universe_path,data/universe/pit_qlib_instrument_universe.csv,Qlib instrument source,True,not_in_manifest,130fb70caa6c0930728af9981e973161e23ee5eac33135b73a130194258835b7,not_in_manifest,passed
trading_calendar_path,data/qlib/cn_data_pit/calendars/day.txt,trading-day distance calculation,True,not_in_manifest,b01cae7c1ea91933e7daddfc5c71847ee5cd5b26d6c49583b95fec4e49e590ad,not_in_manifest,passed
pit_industry_path,data/targets/pit_industry_membership.csv,industry/year decomposition only,True,not_in_manifest,9fefe9fba24993c3f92f667c4059b9e18742a1ee9bb65f713b344c29d80ca2aa,not_in_manifest,passed
