anchor_family_id,hypothesis_id,hypothesis_text,evidence_summary,support_status,support_rule_id,support_rule_status,support_rule_metrics_json,primary_evidence_report,can_justify_p1,requires_new_requirement
pullback_hold_restrengthen,h1_formula_too_narrow,Formula margin partition has validation trigger/lift and robustness does not collapse.,validation_positive_partitions=0; robustness_not_collapsed=0,rejected,h1_formula_too_narrow,failed,"{""positive_partitions"": [], ""robust_partitions"": []}",reports/p0_5_matched_lift_decomposition.csv,False,False
pullback_hold_restrengthen,h2_window_position_problem,Window/age partition has validation trigger/lift and robustness does not collapse.,validation_positive_partitions=0; robustness_not_collapsed=0,rejected,h2_window_position_problem,failed,"{""positive_partitions"": [], ""robust_partitions"": []}",reports/p0_5_matched_lift_decomposition.csv,False,False
pullback_hold_restrengthen,h3_ep2_reference_pollution,Cross-split EP2 launch references materially distort trigger accounting.,validation_cross_split_ratio=0.03896103896103896; robustness_cross_split_ratio=0.0,rejected,h3_cross_split_reference_ratio,failed,"{""validation"": 0.03896103896103896, ""robustness"": 0.0}",reports/p0_5_trigger_decomposition.csv,False,False
pullback_hold_restrengthen,h4_matched_baseline_too_strong_or_anchor_no_lift,Matched-delay baseline exposes no aggregate lift.,"{""validation"": true, ""robustness"": true}",supported,h4_aggregate_matched_delay_or_underperformance,passed,"{""validation"": true, ""robustness"": true}",reports/p0_5_matched_lift_decomposition.csv,False,True
pullback_hold_restrengthen,h5_tail_risk_not_trigger_rate_is_core_failure,Tail or concentration risk remains the core blocking issue.,"{""validation"": true, ""robustness"": true}",supported,h5_aggregate_tail_or_concentration,passed,"{""validation"": true, ""robustness"": true}",reports/p0_5_tail_failure_decomposition.csv,False,True
second_breakout,h1_formula_too_narrow,Formula margin partition has validation trigger/lift and robustness does not collapse.,validation_positive_partitions=0; robustness_not_collapsed=0,rejected,h1_formula_too_narrow,failed,"{""positive_partitions"": [], ""robust_partitions"": []}",reports/p0_5_matched_lift_decomposition.csv,False,False
second_breakout,h2_window_position_problem,Window/age partition has validation trigger/lift and robustness does not collapse.,validation_positive_partitions=0; robustness_not_collapsed=0,rejected,h2_window_position_problem,failed,"{""positive_partitions"": [], ""robust_partitions"": []}",reports/p0_5_matched_lift_decomposition.csv,False,False
second_breakout,h3_ep2_reference_pollution,Cross-split EP2 launch references materially distort trigger accounting.,validation_cross_split_ratio=0.015625; robustness_cross_split_ratio=0.017241379310344827,rejected,h3_cross_split_reference_ratio,failed,"{""validation"": 0.015625, ""robustness"": 0.017241379310344827}",reports/p0_5_trigger_decomposition.csv,False,False
second_breakout,h4_matched_baseline_too_strong_or_anchor_no_lift,Matched-delay baseline exposes no aggregate lift.,"{""validation"": true, ""robustness"": true}",supported,h4_aggregate_matched_delay_or_underperformance,passed,"{""validation"": true, ""robustness"": true}",reports/p0_5_matched_lift_decomposition.csv,False,True
second_breakout,h5_tail_risk_not_trigger_rate_is_core_failure,Tail or concentration risk remains the core blocking issue.,"{""validation"": true, ""robustness"": true}",supported,h5_aggregate_tail_or_concentration,passed,"{""validation"": true, ""robustness"": true}",reports/p0_5_tail_failure_decomposition.csv,False,True
