gate,passed,observed
paper_proxy_positive_gate,True,net_arr=0.106033
executable_no_sign_reversal_gate,True,paper_net_arr=0.106033;executable_net_arr=0.091005
five_seed_executable_direction_gate,True,positive_seeds=5/5
universe_equal_weight_increment_gate,False,strategy_net_arr=0.091005;universe_arr=0.222087
blocked_fill_materialization_gate,True,primary_blocked_orders=46;reasons=limit_down_blocked;limit_up_blocked;suspended_missing_daily_bar
right_tail_enrichment_gate,False,enrichment=0.872020
left_tail_burden_gate,True,excess=-0.034625
episode_capture_gate,True,captured=291/545
morphology_coverage_gate,True,material_capture_share=0.833333
morphology_concentration_gate,True,largest_captured_share=0.323024
