family_id,variant_id,family_variant_id,family_role,input_series,required_input_columns,lookback_window,lag_policy,formula_text,threshold_grid_json,reset_rule_text,cooldown_sessions,event_t0_confirmation_time,execution_anchor_policy,pit_status,family_input_status,blocked_reason,forbidden_feature_scan_status,allowed_for_primary_canonical_flag
B1,B1a_residual_cusum_20d,B1_B1a_residual_cusum_20d,primary_candidate,stock beta-adjusted residual returns vs all-A,residual_cusum_20d;residual_cusum_20d_lagmax;residual_ret_5d;close_to_ema60,20/60 sessions,same-day close features; executable at next open,residual_cusum_20d >= 0.08 AND residual_cusum_20d_lagmax < 0.08 AND residual_ret_5d >= 0.02 AND close_to_ema60 >= -0.02,"{""close_to_ema60_min"":-0.02,""residual_cusum_20d_min"":0.08,""residual_ret_5d_min"":0.02}",residual_cusum_20d <= 0 OR close_to_ema60 < -0.05,20,t0_close,next_open,pit_safe_same_day_close,runnable_existing_data,,pass,True
B1,B1b_strict_residual_cusum_20d,B1_B1b_strict_residual_cusum_20d,primary_candidate,stock beta-adjusted residual returns vs all-A,residual_cusum_20d;residual_cusum_20d_lagmax;residual_ret_5d;close_to_ema60,20/60 sessions,same-day close features; executable at next open,residual_cusum_20d >= 0.10 AND residual_cusum_20d_lagmax < 0.10 AND residual_ret_5d >= 0.03 AND close_to_ema60 >= 0.00,"{""close_to_ema60_min"":0.0,""residual_cusum_20d_min"":0.1,""residual_ret_5d_min"":0.03}",residual_cusum_20d <= 0 OR close_to_ema60 < -0.05,20,t0_close,next_open,pit_safe_same_day_close,runnable_existing_data,,pass,True
B1,B1c_stock_vs_board,B1_B1c_stock_vs_board,primary_candidate,stock vs PIT board residual returns,stock_vs_board_cusum_20d;stock_vs_board_cusum_20d_lagmax;residual_ret_5d;close_to_ema60,20 sessions,same-day close features; executable at next open,stock_vs_board_cusum_20d >= 0.08 AND stock_vs_board_cusum_20d_lagmax < 0.08 AND residual_ret_5d >= 0.02 AND close_to_ema60 >= -0.02,"{""close_to_ema60_min"":-0.02,""residual_ret_5d_min"":0.02,""stock_vs_board_cusum_20d_min"":0.08}",stock_vs_board_cusum_20d <= 0 OR close_to_ema60 < -0.05,20,t0_close,next_open,pit_safe_same_day_close,runnable_existing_data,,pass,True
B1,B1d_board_vs_market_context,B1_B1d_board_vs_market_context,primary_candidate,PIT board vs all-A residual returns,board_relative_cusum_20d;board_relative_cusum_20d_lagmax;stock_vs_board_20d;residual_ret_5d,20 sessions,same-day close features; executable at next open,board_relative_cusum_20d >= 0.06 AND board_relative_cusum_20d_lagmax < 0.06 AND stock_vs_board_20d >= 0 AND residual_ret_5d >= 0.015,"{""board_relative_cusum_20d_min"":0.06,""residual_ret_5d_min"":0.015,""stock_vs_board_20d_min"":0.0}",board_relative_cusum_20d < 0 OR stock_vs_board_20d < -0.03 OR close_to_ema60 < -0.05,20,t0_close,next_open,pit_safe_same_day_close,runnable_existing_data,,pass,True
B2,B2a_compression_to_expansion,B2_B2a_compression_to_expansion,primary_candidate,ATR/range compression to directional expansion,atr_pct_rank_60d_lag1;range_compression_ratio_10_60_lag1;range_pct;range_pct_mean_20d_lag1;amount_ratio_20d;close_position_in_range;return_5d,20/60 sessions,same-day close features; executable at next open,"compression_flag AND range expansion with amount, close-location, and ret_5d confirmation","{""amount_ratio_20d_min"":1.15,""atr_pct_rank_60d_max"":0.35,""close_position_in_range_min"":0.65,""expansion_multiple"":1.2,""range_compression_ratio_max"":0.75,""return_5d_min"":0.02}",atr_pct_rank_60d > 0.70 OR close_to_ema20 < -0.03,20,t0_close,next_open,pit_safe_same_day_close,runnable_existing_data,,pass,True
B2,B2b_strict_compression_to_expansion,B2_B2b_strict_compression_to_expansion,primary_candidate,ATR/range compression to directional expansion,atr_pct_rank_60d_lag1;range_compression_ratio_10_60_lag1;range_pct;range_pct_mean_20d_lag1;amount_ratio_20d;close_position_in_range;return_5d,20/60 sessions,same-day close features; executable at next open,looser ATR compression but stricter expansion and amount confirmation,"{""amount_ratio_20d_min"":1.3,""atr_pct_rank_60d_max"":0.45,""close_position_in_range_min"":0.65,""expansion_multiple"":1.35,""range_compression_ratio_max"":0.75,""return_5d_min"":0.02}",atr_pct_rank_60d > 0.70 OR close_to_ema20 < -0.03,20,t0_close,next_open,pit_safe_same_day_close,runnable_existing_data,,pass,True
B2,B2c_entropy_directional_expansion,B2_B2c_entropy_directional_expansion,primary_candidate,direction entropy and residual expansion,direction_entropy_20d_lag1;return_5d;residual_ret_5d;amount_ratio_20d;close_position_in_range,20 sessions,same-day close features; executable at next open,direction_entropy_20d_lag1 <= 0.85 AND return_5d/residual_ret_5d/amount/close-position expansion,"{""amount_ratio_20d_min"":1.1,""close_position_in_range_min"":0.65,""direction_entropy_20d_max"":0.85,""residual_ret_5d_min"":0.02,""return_5d_min"":0.035}",direction_entropy_20d > 0.95 OR close_to_ema20 < -0.03,20,t0_close,next_open,pit_safe_same_day_close,runnable_existing_data,,pass,True
B3,B3a_ema60_low_reclaim,B3_B3a_ema60_low_reclaim,primary_candidate,EMA60 low-reclaim repair,prior_below_ema60_days_20;ema60_reclaim_today;distance_from_low_60;near_high_60;return_5d;stock_vs_board_20d;close_position_in_range,20/60 sessions,same-day close features; executable at next open,ema60_reclaim_today AND low_repair_context AND confirmation,"{""close_position_in_range_min"":0.6,""distance_from_low_60_min"":0.08,""near_high_60_max"":0.95,""prior_below_ema60_days_20_min"":10,""return_5d_min"":0.03,""stock_vs_board_20d_min"":-0.02}",close_to_ema60 < -0.03,20,t0_close,next_open,pit_safe_same_day_close,runnable_existing_data,,pass,True
B3,B3b_strict_ema60_low_reclaim,B3_B3b_strict_ema60_low_reclaim,primary_candidate,EMA60 low-reclaim repair,prior_below_ema60_days_20;ema60_reclaim_today;distance_from_low_60;near_high_60;return_5d;stock_vs_board_20d;close_position_in_range,20/60 sessions,same-day close features; executable at next open,strict ema60_reclaim_today AND low_repair_context AND confirmation,"{""close_position_in_range_min"":0.6,""distance_from_low_60_min"":0.12,""near_high_60_max"":0.95,""prior_below_ema60_days_20_min"":15,""return_5d_min"":0.04,""stock_vs_board_20d_min"":-0.02}",close_to_ema60 < -0.03,20,t0_close,next_open,pit_safe_same_day_close,runnable_existing_data,,pass,True
B4,B4a_board_regime_turn,B4_B4a_board_regime_turn,primary_candidate,Top-N board/all-A regime context,market_return_20d;all_a_drawdown_60d;board_relative_cusum_20d;board_return_20d;residual_ret_5d;stock_vs_board_20d,20/60 sessions,same-day close features; executable at next open,market_turn AND board_turn AND stock_participation,"{""board_relative_cusum_20d_min"":0.04,""residual_ret_5d_min"":0.015}",all_a_drawdown_60d < -0.15 OR board_relative_cusum_20d < 0,20,t0_close,next_open,pit_safe_same_day_close,runnable_existing_data,,pass,True
B4,B4b_strict_board_regime_turn,B4_B4b_strict_board_regime_turn,primary_candidate,Top-N board/all-A regime context,market_return_20d;all_a_drawdown_60d;board_relative_cusum_20d;board_return_20d;residual_ret_5d;stock_vs_board_20d,20/60 sessions,same-day close features; executable at next open,strict market_turn AND board_turn AND stock_participation,"{""board_relative_cusum_20d_min"":0.06,""residual_ret_5d_min"":0.02}",all_a_drawdown_60d < -0.15 OR board_relative_cusum_20d < 0,20,t0_close,next_open,pit_safe_same_day_close,runnable_existing_data,,pass,True
B4_industry_breadth_context,blocked_missing_pit_industry_classification,B4_industry_breadth_context_blocked_missing_pit_industry_classification,blocked_state_change_dimension,PIT industry breadth,pit_industry_code,20 sessions,same-day close features; executable at next open,blocked: B4 industry breadth context unavailable,"{""industry_up_share_z_min"":1.0}",not_applicable,20,t0_close,next_open,pit_safe_same_day_close,blocked_missing_pit_industry_classification,missing_pit_industry_classification,pass,False
R4_industry_breadth_expansion,blocked_missing_pit_industry_classification,R4_industry_breadth_expansion_blocked_missing_pit_industry_classification,blocked_state_change_dimension,PIT industry breadth,pit_industry_code,20 sessions,same-day close features; executable at next open,blocked: PIT industry breadth expansion unavailable,"{""industry_up_share_z_min"":1.0}",not_applicable,20,t0_close,next_open,pit_safe_same_day_close,blocked_missing_pit_industry_classification,missing_pit_industry_classification,pass,False
T1_stock_vs_industry_CUSUM_break,blocked_missing_pit_industry_classification,T1_stock_vs_industry_CUSUM_break_blocked_missing_pit_industry_classification,blocked_state_change_dimension,PIT industry residual,pit_industry_code,20 sessions,same-day close features; executable at next open,blocked: stock-vs-industry CUSUM unavailable,"{""cusum_20d_min"":0.1}",not_applicable,20,t0_close,next_open,pit_safe_same_day_close,blocked_missing_pit_industry_classification,missing_pit_industry_classification,pass,False
T2_industry_vs_market_CUSUM_break,blocked_missing_pit_industry_classification,T2_industry_vs_market_CUSUM_break_blocked_missing_pit_industry_classification,blocked_state_change_dimension,PIT industry residual,pit_industry_code,20 sessions,same-day close features; executable at next open,blocked: industry-vs-market CUSUM unavailable,"{""cusum_20d_min"":0.08}",not_applicable,20,t0_close,next_open,pit_safe_same_day_close,blocked_missing_pit_industry_classification,missing_pit_industry_classification,pass,False
B5,B5a_amount_regime_shift,B5_B5a_amount_regime_shift,primary_candidate,money/amount expansion,amount_ratio_20d;amount_ratio_60d;return_5d;residual_ret_5d;close_position_in_range,20/60 sessions,same-day close features; executable at next open,volume_regime_shift AND positive_price_confirmation,"{""amount_ratio_20d_min"":1.8,""amount_ratio_60d_min"":1.3,""close_position_in_range_min"":0.6,""residual_ret_5d_min"":0.015,""return_5d_min"":0.035}",amount_ratio_20d < 1.00 OR close_to_ema20 < -0.03,20,t0_close,next_open,pit_safe_same_day_close,runnable_existing_data,,pass,True
B5,B5b_strict_amount_regime_shift,B5_B5b_strict_amount_regime_shift,primary_candidate,money/amount expansion,amount_ratio_20d;amount_ratio_60d;return_5d;residual_ret_5d;close_position_in_range,20/60 sessions,same-day close features; executable at next open,strict amount expansion with lower short-return but higher volume and location confirmation,"{""amount_ratio_20d_min"":2.2,""amount_ratio_60d_min"":1.5,""close_position_in_range_min"":0.65,""residual_ret_5d_min"":0.01,""return_5d_min"":0.025}",amount_ratio_20d < 1.00 OR close_to_ema20 < -0.03,20,t0_close,next_open,pit_safe_same_day_close,runnable_existing_data,,pass,True
B6,B6a_first_leadership_rank_entry,B6_B6a_first_leadership_rank_entry,primary_candidate,cross-sectional momentum rank jump,momentum_percentile_20d_lag20;momentum_percentile_20d;momentum_rank_jump_20d;residual_ret_5d;close_to_ema60,20 sessions,same-day close features; executable at next open,rank_entry AND quality_confirmation,"{""close_to_ema60_min"":-0.02,""lag_momentum_percentile_20d_max"":0.5,""momentum_percentile_20d_min"":0.8,""momentum_rank_jump_20d_min"":0.25,""residual_ret_5d_min"":0.015}",momentum_percentile_20d < 0.55 OR close_to_ema60 < -0.05,20,t0_close,next_open,pit_safe_same_day_close,runnable_existing_data,,pass,True
B6,B6b_strict_first_leadership_rank_entry,B6_B6b_strict_first_leadership_rank_entry,primary_candidate,cross-sectional momentum rank jump,momentum_percentile_20d_lag20;momentum_percentile_20d;momentum_rank_jump_20d;residual_ret_5d;close_to_ema60,20 sessions,same-day close features; executable at next open,strict rank_entry AND quality_confirmation,"{""close_to_ema60_min"":0.0,""lag_momentum_percentile_20d_max"":0.4,""momentum_percentile_20d_min"":0.85,""momentum_rank_jump_20d_min"":0.3,""residual_ret_5d_min"":0.02}",momentum_percentile_20d < 0.55 OR close_to_ema60 < -0.05,20,t0_close,next_open,pit_safe_same_day_close,runnable_existing_data,,pass,True
