artifact_id,relative_path,exists,artifact_type,row_count,column_count,columns,observed_hash,expected_hash,hash_verified,input_artifact_gate,blocking_reason
nineteen_b_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,True,.csv,1,43,run_id|created_at|requirement_file_hash|config_file_hash|upstream_19a_manifest_hash|upstream_19b0_manifest_hash|decision_state|next_allowed_requirement|upstream_19a_contract_gate|upstream_19b0_contract_gate|outcome_boundary_gate|robustness_candidate_manifest_gate|baseline_repair_registry_gate|baseline_matching_quality_gate|positive_exposure_robustness_gate|matched_baseline_residual_gate|false_positive_burden_gate|topk_positive_exposure_gate|topk_residual_gate|cluster_bootstrap_gate|search_accounting_gate|output_contract_gate|N_family_brought_to_robustness|N_tested_family_cell_pairs|N_positive_exposure_robustness_pass|N_matched_baseline_residual_pass|N_original_frozen_baseline_quality_pass|N_cell_false_positive_burden_fail|N_cell_topk_concentration_fail|positive_beta_exposure_correction_scope|residual_alpha_correction_scope_19b0_frozen|residual_style_readout_correction_scope_19b|validation_outcome_read|max_ep19_terminal_state_if_no_residual_pass|blocking_reason|model_training_authorized|entry_policy_authorized|exit_policy_authorized|holding_policy_authorized|portfolio_backtest_authorized|model_deployment_authorized|production_signal_authorized|live_trading_authorized,62a567a3e4af61e4bca12b386256be4aa8ea88dd0d3baf835e00c49171039f9d,62a567a3e4af61e4bca12b386256be4aa8ea88dd0d3baf835e00c49171039f9d,True,pass,
nineteen_b_manifest,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/manifest_19b_robust_right_tail_enrichment_and_false_positive_burden_readout.json,True,.json,1,0,,0bdf5b7ec74c749808c0c7763d290300870097766deb10ef54d2c7b1ca0713c8,,True,pass,
nineteen_b_output_hashes,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/output_hashes_19b_robust_right_tail_enrichment_and_false_positive_burden_readout.json,True,.json,1,0,,bcec8a443d9cb3698c417b9716aef4787d9f1ccae235f98e8858c0f3f76e3ba8,,True,pass,
nineteen_b_handoff_contract,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/19B_handoff_contract.md,True,.md,1,0,,9a6e2b7ee18f9db12636870470b015dc675e5e11ed0391ab3df29c0c89ae9d1c,9a6e2b7ee18f9db12636870470b015dc675e5e11ed0391ab3df29c0c89ae9d1c,True,pass,
nineteen_b_robustness_candidate_row_manifest,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/robustness_candidate_row_manifest.csv,True,.csv,19868,14,family_id|grid_cell_id|parameter_hash|split|row_key|instrument_id|decision_date|executable_next_open_date|primary_enrichment_denominator_flag|candidate_flag|manifest_frozen_before_label_readout|label_read_before_manifest_freeze|row_source_hash|blocking_reason,6c431cc4c3aaa98e562bca2a8532df88a1e686104bb7047dfbdd2195cfcd92ca,6c431cc4c3aaa98e562bca2a8532df88a1e686104bb7047dfbdd2195cfcd92ca,True,pass,
nineteen_b_robustness_outcome_boundary_audit,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/robustness_outcome_boundary_audit.csv,True,.csv,1,10,selected_family_cell_pair_n|robustness_candidate_manifest_frozen_before_label_readout|robustness_baseline_manifest_frozen_before_label_readout|robustness_outcome_row_n_loaded|validation_outcome_columns_loaded|validation_outcome_row_n|validation_label_value_access_n|robustness_outcome_used_to_expand_or_select_test_set|boundary_gate|blocking_reason,eba39e58fd017e64aed0fcfb45f8a13216c42ccf0e0d625d66a1c279221530ca,eba39e58fd017e64aed0fcfb45f8a13216c42ccf0e0d625d66a1c279221530ca,True,pass,
nineteen_b_robustness_metric_readout,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/robustness_metric_readout.csv,True,.csv,2,48,family_id|grid_cell_id|parameter_hash|split|label_anchor_type|promotion_claim_type_19b0|candidate_n|tradable_n|instrument_n|instrument_month_n|decision_month_n|cooldown_entry_n|primary_denominator_n|path_complete_20_n|path_complete_30_n|path_complete_60_n|path_complete_120_n|p_candidate_50|p_eligible_universe_50|positive_exposure_delta_50|positive_exposure_ratio_50|positive_exposure_SE_delta_probability|cluster_bootstrap_SE_margin_50|positive_exposure_margin_50|positive_exposure_score_50|positive_exposure_p_value_50|positive_exposure_p_value_method|positive_exposure_sidak_alpha|positive_exposure_robustness_pass|p_matched_50_primary_residual_baseline|residual_SE_delta_probability|residual_corrected_margin_ratio_50|primary_tail_lift_50|primary_tail_lift_50_margin_adjusted|residual_p_value_method|primary_tail_lift_50_p_value|residual_alpha_sidak_alpha|matched_baseline_residual_pass_19b|residual_alpha_support_claim_allowed_19b|residual_readout_status|residual_blocking_reason|false_positive_burden_gate|topk_positive_exposure_gate|topk_residual_gate|cell_positive_exposure_gate|cell_residual_style_gate|cell_decision_state|blocking_reason,6f0630a5297839eec4abad0a386ef75897ed2e1eabc6cd49fa44045238730fdf,6f0630a5297839eec4abad0a386ef75897ed2e1eabc6cd49fa44045238730fdf,True,pass,
nineteen_b_false_positive_burden_readout,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/false_positive_burden_readout.csv,True,.csv,2,26,family_id|grid_cell_id|parameter_hash|split|candidate_n|winner_n|non_winner_n|non_winner_rate|candidate_per_winner|fast_fail_rate|false_repair_rate|MAE_20_p10|MAE_20_p05|burden_comparator_scope|burden_comparator_MAE_20_p10|burden_comparator_MAE_20_p05|mae_abs_worsening|mae_relative_worsening|candidate_per_winner_cap|fast_fail_rate_cap|false_repair_rate_cap|mae_abs_worsening_cap|false_positive_burden_gate|matched_baseline_MAE_20_p10_if_quality_pass|matched_baseline_MAE_20_p05_if_quality_pass|blocking_reason,83e395cdb26c0ce12cf85963b1a8914417b2cfed88a82136134fbf57bebc5c32,83e395cdb26c0ce12cf85963b1a8914417b2cfed88a82136134fbf57bebc5c32,True,pass,
nineteen_b_mfe_mae_joint_readout,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/mfe_mae_joint_readout.csv,True,.csv,13605,15,family_id|grid_cell_id|parameter_hash|split|row_scope|row_key|instrument_id|decision_date|MFE_120|MAE_20|forward_big_winner_120d|fast_fail_flag|false_repair_flag|diagnostic_only_flag|blocking_reason,53e2565be872d837ddce5ecfcdbc713827e2f28f40b767e2b5b52430d78f80a6,53e2565be872d837ddce5ecfcdbc713827e2f28f40b767e2b5b52430d78f80a6,True,pass,
nineteen_b_robustness_baseline_quality_audit,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/robustness_baseline_quality_audit.csv,True,.csv,10,24,candidate_n|matched_candidate_n|unmatched_candidate_n|unmatched_candidate_rate|baseline_reuse_rate|max_standardized_mean_difference_after_matching|per_feature_smd_json|decision_month_coverage_delta|instrument_coverage_delta|matched_baseline_primary_row_count|primary_enrichment_denominator_row_count|common_support_pass|baseline_matching_quality_gate|failure_reason|family_id|grid_cell_id|split|repair_variant_id|baseline_family|variant_role|primary_residual_claim_allowed|quality_blocks_residual_alpha_only|positive_exposure_readout_allowed|diagnostic_repair_only_flag,0ff987ca9ce1b4d3c59bf1667fd2bfad417f62aac781530943a9bc14d12a4b0d,0ff987ca9ce1b4d3c59bf1667fd2bfad417f62aac781530943a9bc14d12a4b0d,True,pass,
nineteen_b_topk_concentration_sensitivity,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/topk_concentration_sensitivity.csv,True,.csv,2,17,family_id|grid_cell_id|parameter_hash|split|baseline_family|top_1_instrument_removed_tail_lift_against_original_frozen_baseline|top_3_instruments_removed_tail_lift_against_original_frozen_baseline|top_1_instrument_removed_positive_exposure_score_50|top_3_instruments_removed_positive_exposure_score_50|max_instrument_candidate_share|max_instrument_winner_share|max_instrument_month_candidate_share|max_decision_month_candidate_share|topk_positive_exposure_gate|topk_residual_gate|diagnostic_only_flag|blocking_reason,e0c10ab9a90477d1c443288ed433c00a1ac8c50307da95a9ea67fb96faedc5cd,e0c10ab9a90477d1c443288ed433c00a1ac8c50307da95a9ea67fb96faedc5cd,True,pass,
