fetched_at_utc,snapshot_date,provider,board_type,board_name,board_code,role,source_api,日期,概念名称,驱动事件,龙头股,成分股数量
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2026-07-01,玻璃基板,上周机构调研个股有170多只，238家机构调研京东方,--,49
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2026-06-29,2026中报预增,2026中报预增板块大幅高开,--,41
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2026-04-02,2026一季报预增,概念新服|新建“2026一季报预增”概念指数,--,101
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2026-01-12,AI应用,腾讯混元Hy3正式上线：Agent任务解决率跃升至90%,--,512
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2025-07-20,雅下水电概念,电力央企再落子，投资设立二级子公司！,--,89
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2025-03-10,中国AI 50,除了AI，头部私募下半年还在买什么？景林三大配置方向曝光——有色板块跌出性价比,--,50
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2025-02-10,兵装重组概念,2026年7月中铁 兵器装备 航空航发 上海电气商票贴现利率是多少？,--,7
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2025-02-04,DeepSeek概念,重塑AI投研基建——三个Skill破局底层架构痛点,--,768
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2025-01-24,AI智能体,腾讯混元Hy3正式上线：Agent任务解决率跃升至90%,--,446
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2025-01-14,小红书概念,调研凯福珠宝发展痛点，解锁非遗珠宝全域电商升级之路,--,54
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-12-09,同花顺新质50,宁夏银川经开区两大实验室加速培育新质生产力,--,50
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-11-25,IP经济(谷子经济),"天猫618""谷子""单品卖出近亿元，明星周边集中入驻，淘天玩具潮玩稳居第一",--,196
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-11-12,华为盘古,最新电视排行榜 教育用户关注亮度、色准与响应速度,--,29
2026-07-06T08:00:56Z,2026-07-06,ths,concept,,,concept_event_table,stock_board_concept_summary_ths,2024-11-12,华为数字能源,最新电视排行榜 教育用户关注亮度、色准与响应速度,--,46
