spec_section,spec_item,frozen_value_json,formula_text,source_config_key,formula_hash
return,weighted_simple_return,"{""basis"": ""weighted_net_return""}",gross=exit/entry-1;unweighted=gross-cost;weighted=position_weight*unweighted,return,1684cfaec3f0af6b235372deaaba44275eec0f021a61ec52d31955b3c289904c
cost,a_share_daily_replay_default_v1,"{""commission_bps_per_side"": 3.0, ""cost_model_id"": ""a_share_daily_replay_default_v1"", ""entry_slippage_bps"": 5.0, ""exit_slippage_bps"": 5.0, ""min_fee_policy"": ""none"", ""stamp_tax_bps_on_exit"": 5.0}",entry/exit bps frozen in config,cost,6926b8b3f81ba2d7d7c3bcef795fc5e082cb8af3d8bd93356c3c2b87ed136c5d
sizing,fixed_and_volatility_scaled,"{""fixed_size"": {""position_weight"": 1.0}, ""volatility_scaled"": {""max_weight"": 1.0, ""min_weight"": 0.25, ""target_vol"": 0.02}}",volatility_scaled uses 20 complete pre-entry close returns,sizing,f0783ba0aa38678b28b1b8ee0064f3d8ea32070887b9b8eff5d88146040bdae2
execution,close_signal_next_open,"{""execution_policy"": ""close_signal_next_open"", ""max_entry_execution_lag_trading_days"": 5, ""max_exit_execution_lag_trading_days"": 5, ""max_holding_days"": 120, ""pre_entry_lookback_trading_days"": 60, ""return_type"": ""simple_return""}",exit_signal_date close; execution first executable next open,execution,b618bebef305147e3b780eecc5811e2bbd6150f039fe771e74fe5d2d13aa440b
censored,status_set,"{""statuses"": [""replay_complete"", ""censored_by_split_boundary"", ""censored_by_missing_price"", ""censored_by_missing_required_indicator"", ""censored_by_no_exit_execution"", ""invalid_entry""]}",headline uses replay_complete only,censored,5a16e8597534ef6a8dadb6d0a2f22cf561c8408970ca1d1056e2dfac07b4fbbb
matched_comparator,same_policy_matched_baseline_A,"""ep4/outputs/r04c_candidate_pool_scanner_v1/cache/r04c_matched_baseline_panel.parquet""",same policy_id replay on matched baseline panel,matched_comparator,c3d42a9acd04e15918772cdefcc378c84bdc86c77b39a5abcb98978a65fd791e
max_gain50_retention,volume_money_hold120_denominator,"{""threshold"": 0.5}",policy exit execution date must be after first +50 close hit,max_gain50_retention,5671a637aa84ed838ee1f54a01b3fcdfdcfccb056a9f2ea2003422c65e35f520
baseline_delta,volume_money_hold120_primary,"{""volume_money_hold120_baseline_policy_id"": ""volume_money_hold120_no_exit_fixed_size""}",primary deltas use volume_money hold120 no-exit fixed-size,baseline_delta,faf6f6ab6785f200491f64161049670d6459c1a7af9676cb60f7a64ff3c73fd4
gate_threshold,r04d_v1,"{""baseline_A_robustness_net_return_mean"": 0.061177, ""max_gain50_threshold"": 0.5, ""max_robustness_censored_share"": 0.25, ""max_validation_censored_share"": 0.25, ""min_max_gain50_retention_vs_volume_money_hold120"": 0.5, ""minimum_robustness_max_gain50_count"": 50, ""minimum_robustness_replay_complete_count"": 1000, ""minimum_train_replay_complete_count"": 1000, ""minimum_validation_max_gain50_count"": 50, ""minimum_validation_replay_complete_count"": 1000, ""robustness_min_net_return_mean_delta_vs_volume_money_hold120"": -0.01, ""validation_min_net_return_mean"": 0.0, ""validation_min_net_return_mean_delta_vs_volume_money_hold120"": 0.02}",validation/robustness hard gates frozen,gate_threshold,39fbf13d1a9439f42ad8175ab9b07bcab828b91dd3afd88aa1965701a7da43a6
selection_score,train_policy_score,{},z(net_delta)+z(p10_delta)-z(loss_delta)-0.5*z(avg_holding_days)-retention_penalty,selection_score,932eef80e8ea69a67e314add696aad3edec78f7d52a212c4f650f2367a745118
