seed_episode_id,instrument_id,seed_trade_date,seed_split,seed_same_day_bundle_key,seed_same_day_family_count,seed_label,fresh_family_id,fresh_signal_date,fresh_offset,fresh_offset_bucket,seed_failure_offset,seed_failure_offset_bucket,fresh_vs_observable_failure_state,fresh_evidence_status,seed_pre_fresh_state,survival_checkpoint_state,posterior_denominator_policy
e982c590471edd8a,SH600000,2017-10-09,train,oscillator|range_breakout|volume_money,3,bad_path,none,none,none,none,27.0,T21_T30,not_applicable,seed_failed_before_fresh,failed_before_fresh,survived_t10,include_labeled
073823d03bfdf538,SH600000,2017-11-21,train,oscillator|range_breakout|volume_money,3,bad_path,none,none,none,none,56.0,after_T30,not_applicable,none_within_t3_t30,no_fresh_observed,survived_t10,include_labeled
5a64beac68ae3bd1,SH600000,2018-01-10,train,oscillator|range_breakout|volatility_band|volume_money,4,bad_path,price_trend,2018-01-24,10,T6_T10,21.0,T21_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t10,include_labeled
81f053ce15b79873,SH600000,2018-04-10,train,range_breakout,1,bad_path,none,none,none,none,13.0,T11_T20,not_applicable,seed_failed_before_fresh,failed_before_fresh,survived_t10,include_labeled
6299dcf1ee85b652,SH600000,2018-07-09,train,range_breakout|volatility_band,2,good_path,oscillator,2018-07-20,9,T6_T10,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t5,include_labeled
00c8c37ee4d2a110,SH600000,2018-08-24,train,oscillator|range_breakout|volume_money,3,bad_path,volatility_band,2018-09-21,20,T11_T20,27.0,T21_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t10,include_labeled
314d47812eae0bcd,SH600000,2018-10-22,train,oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,6,bad_path,none,none,none,none,42.0,after_T30,not_applicable,none_within_t3_t30,no_fresh_observed,survived_t10,include_labeled
acf071e0a9d87a6f,SH600000,2018-12-04,train,pullback_drawdown|range_breakout|volatility_band,3,bad_path,none,none,none,none,11.0,T11_T20,not_applicable,seed_failed_before_fresh,failed_before_fresh,survived_t10,include_labeled
93dc616676258d7a,SH600000,2019-01-18,train,oscillator|range_breakout|volatility_band|volume_money,4,good_path,price_trend,2019-02-25,21,T21_T30,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t10,include_labeled
173f3d04e075a24a,SH600000,2019-04-04,train,pullback_drawdown|range_breakout|volatility_band,3,bad_path,price_trend,2019-04-16,7,T6_T10,20.0,T11_T20,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t5,include_labeled
727367ce596d4388,SH600000,2019-06-04,train,oscillator|range_breakout,2,good_path,volatility_band,2019-06-11,4,T3_T5,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
e8a7c82e55266ecc,SH600000,2019-07-19,train,range_breakout,1,good_path,oscillator,2019-07-25,4,T3_T5,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
2bc09da328f345cf,SH600000,2019-09-05,train,oscillator|range_breakout|volume_money,3,good_path,volatility_band,2019-09-10,3,T3_T5,93.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t3,include_labeled
5fff9d1fc4d09c2a,SH600000,2019-12-13,train,oscillator|range_breakout|volume_money,3,bad_path,none,none,none,none,27.0,T21_T30,not_applicable,seed_failed_before_fresh,failed_before_fresh,survived_t10,include_labeled
6faff1be618485ef,SH600000,2020-02-17,train,oscillator|range_breakout|volatility_band,3,bad_path,volume_money,2020-03-05,13,T11_T20,18.0,T11_T20,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t10,include_labeled
4839bb7ce7aaa245,SH600000,2020-04-07,train,range_breakout,1,good_path,volume_money,2020-04-27,14,T11_T20,none,none,no_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t10,include_labeled
90b57d6713bc2497,SH600000,2020-05-28,train,oscillator|range_breakout|volume_money,3,good_path,price_trend,2020-07-02,23,T21_T30,86.0,after_T30,before_observable_failure,found_within_t3_t30,alive_before_fresh,survived_t10,include_labeled
701fa7ae5fa67735,SH600000,2020-08-17,train,oscillator|range_breakout|volume_money,3,bad_path,none,none,none,none,10.0,T6_T10,not_applicable,seed_failed_before_fresh,failed_before_fresh,not_survived_t10,include_labeled
