feature_field,source_type,source_artifact,source_columns,asof_rule,window_rule,cross_section_universe,reconstruction_formula,candidate_column_alias_if_ep07,baseline_rebuild_required,pit_guard,missing_policy,materialization_status,blocking_reason
close_asof_decision_date,qfq_rebuild,data/raw/akshare/day/qfq/{instrument}.csv,date|close,event_t0_date close,,,qfq close on decision date,,True,no future bars,missing blocks dependent cell,materialized_before_label_readout,
rolling_120d_high_asof_decision_date,qfq_rebuild,data/raw/akshare/day/qfq/{instrument}.csv,date|high,event_t0_date close,rolling 120 sessions ending at t,,max(high[t-119:t]),,True,window ends at decision date,missing blocks dependent cell,materialized_before_label_readout,
amount_ratio_20d_asof_decision_date,ep07_direct_or_qfq_rebuild,EP07 canonical or qfq money,amount_ratio_20d|money,event_t0_date close,rolling 20 sessions ending at t,,money[t]/mean(money[t-19:t]),amount_ratio_20d,True,same qfq formula for baseline,missing blocks dependent cell,materialized_before_label_readout,
return_5d_asof_decision_date,ep07_direct_or_qfq_rebuild,EP07 canonical or qfq close,return_5d|close,event_t0_date close,5 sessions,,close[t]/close[t-5]-1,return_5d,True,same qfq formula for baseline,missing blocks dependent cell,materialized_before_label_readout,
return_10d_asof_decision_date,ep07_direct_or_qfq_rebuild,EP07 canonical or qfq close,return_10d|close,event_t0_date close,10 sessions,,close[t]/close[t-10]-1,return_10d,True,same qfq formula for baseline,missing blocks dependent cell,materialized_before_label_readout,
return_20d_asof_decision_date,ep07_direct_or_qfq_rebuild,EP07 canonical or qfq close,return_20d|close,event_t0_date close,20 sessions,,close[t]/close[t-20]-1,return_20d,True,same qfq formula for baseline,missing blocks dependent cell,materialized_before_label_readout,
return_60d_asof_decision_date,ep07_direct_or_qfq_rebuild,EP07 canonical or qfq close,return_60d|close,event_t0_date close,60 sessions,,close[t]/close[t-60]-1,return_60d,True,same qfq formula for baseline,missing blocks dependent cell,materialized_before_label_readout,
stock_vs_market_return_20d_asof_decision_date,ep07_direct_or_benchmark_rebuild,EP07 canonical or qfq + benchmark,stock_vs_market_20d|close|benchmark_close,event_t0_date close,20 sessions,,stock_return_20d - benchmark_return_20d,stock_vs_market_20d,True,benchmark as of decision date,missing blocks dependent cell,materialized_before_label_readout,
return_60d_cross_section_rank_pct_asof_decision_date,universe_cross_section_rebuild,baseline eligible universe + qfq close,return_60d,event_t0_date close,60 sessions,all baseline-eligible instruments on decision date,percentile_rank(return_60d),,True,rank universe fixed before label readout,missing blocks dependent cell,materialized_before_label_readout,
close_to_ema60_asof_decision_date,ep07_direct_or_qfq_rebuild,EP07 canonical or qfq close,close_to_ema60|close,event_t0_date close,ema span 60 adjust false,,close/ema60-1,close_to_ema60,True,ema ends at decision date,missing blocks dependent cell,materialized_before_label_readout,
atr_20_pct_asof_decision_date,ep07_direct_or_qfq_rebuild,EP07 canonical or qfq high/low/close,atr_20_pct|high|low|close,event_t0_date close,20 sessions,,"rolling_mean(true_range,20)/close",atr_20_pct,True,window ends at decision date,missing blocks dependent cell,materialized_before_label_readout,
atr_20_pct_rank_asof_decision_date,universe_cross_section_rebuild,baseline eligible universe + atr_20_pct,atr_20_pct,event_t0_date close,20 sessions,all baseline-eligible instruments on decision date,percentile_rank(atr_20_pct),,True,rank universe fixed before label readout,missing blocks dependent cell,materialized_before_label_readout,
intraday_range_pct_asof_decision_date,ep07_direct_or_qfq_rebuild,EP07 canonical or qfq high/low/close,intraday_range_pct|high|low|close,event_t0_date close,1 session,,(high-low)/close,intraday_range_pct,True,same day range only,missing blocks dependent cell,materialized_before_label_readout,
close_position_in_120d_range_asof_decision_date,qfq_rebuild,qfq high/low/close,high|low|close,event_t0_date close,rolling 120 sessions ending at t,,(close-low120)/(high120-low120),,True,window ends at decision date,missing blocks dependent cell,materialized_before_label_readout,
market_regime_risk_on_asof_decision_date,ep07_direct_or_benchmark_rebuild,EP07 canonical or benchmark,market_regime_bucket|benchmark_close,event_t0_date close,60 sessions,,risk_on from frozen benchmark rule,market_regime_bucket,True,benchmark as of decision date,missing blocks dependent cell,materialized_before_label_readout,
market_drawdown_60d_asof_decision_date,ep07_direct_or_benchmark_rebuild,EP07 canonical or benchmark,market_drawdown_60d|benchmark_close,event_t0_date close,60 sessions,,benchmark_close/rolling_60d_high-1,market_drawdown_60d,True,benchmark as of decision date,missing blocks dependent cell,materialized_before_label_readout,
quality_amount_flag_asof_decision_date,ep07_direct_or_qfq_rebuild,EP07 canonical or qfq money,quality_amount_flag|money,event_t0_date close,20 sessions,,money and rolling 20d mean available,quality_amount_flag,True,no future bars,missing allowed when parameter permits,materialized_before_label_readout,
early_no_false_repair_10d_asof_decision_date,ep07_direct_only,EP07 canonical,early_no_false_repair_10d,event_t0_date close,,,use only EP07 PIT-asof flag,early_no_false_repair_10d,False,no forward failure label reconstruction,non-EP07 rows missing; true-required B6 cells blocked,materialized_before_label_readout,
