required_fact,expected_value,observed_value,fact_gate,blocking_reason
decision_state,19A_entry_universe_contract_ready,19A_entry_universe_contract_ready,pass,
next_allowed_requirement,requirement_19b0_fast_rule_grid_enrichment_scan.md,requirement_19b0_fast_rule_grid_enrichment_scan.md,pass,
all_critical_gates_pass,True,True,pass,
model_training_authorized,False,False,pass,
entry_policy_authorized,False,False,pass,
exit_policy_authorized,False,False,pass,
holding_policy_authorized,False,False,pass,
portfolio_backtest_authorized,False,False,pass,
model_deployment_authorized,False,False,pass,
production_signal_authorized,False,False,pass,
live_trading_authorized,False,False,pass,
nineteen_a_candidate_density_exists,True,True,pass,
nineteen_a_effective_sample_exists,True,True,pass,
nineteen_a_manifest_exists,True,True,pass,
manifest_hash_match:baseline_budget_freeze,a80475041a35083802cad297b335a26204c97d1e1804c10d8445e2183a6efc03,a80475041a35083802cad297b335a26204c97d1e1804c10d8445e2183a6efc03,pass,
manifest_hash_match:baseline_matching_quality_audit,37f61cf85405c4b99ea68e8c9744288f40a088bd58a6793b143f58a4645d3e8e,37f61cf85405c4b99ea68e8c9744288f40a088bd58a6793b143f58a4645d3e8e,pass,
manifest_hash_match:baseline_matching_spec,6879b6947fcd1dab2a6c1a2cb881c4487cdc04bd1cec69505be8322c9f9783ef,6879b6947fcd1dab2a6c1a2cb881c4487cdc04bd1cec69505be8322c9f9783ef,pass,
manifest_hash_match:board_source_quarantine_audit,decf2981a7ab6548cfcd0a19bace8cca9ae28a8d4e8376c31138a07ec9cb0dbb,decf2981a7ab6548cfcd0a19bace8cca9ae28a8d4e8376c31138a07ec9cb0dbb,pass,
manifest_hash_match:candidate_density_and_overlap_audit,73cb8b988f22b07c68e33e55761d90f77deeaf0d033aab2717a925622f64edf8,73cb8b988f22b07c68e33e55761d90f77deeaf0d033aab2717a925622f64edf8,pass,
manifest_hash_match:censoring_treatment_freeze,ab6ede0b7e40c43b79865bf60bf2d875e371f323a695ddc0e820258f0c8529ae,ab6ede0b7e40c43b79865bf60bf2d875e371f323a695ddc0e820258f0c8529ae,pass,
manifest_hash_match:contract_freeze,796e6c58b1434fec0109c3e6d37db8045162e7c591682949c87b8d40d12e7a70,796e6c58b1434fec0109c3e6d37db8045162e7c591682949c87b8d40d12e7a70,pass,
manifest_hash_match:cooldown_audit,4a6769435668bc593494741ab6c7d78817417446f9adc29a49fc7821aa3c70eb,4a6769435668bc593494741ab6c7d78817417446f9adc29a49fc7821aa3c70eb,pass,
manifest_hash_match:effective_sample_size_readout,4c942a582440996a44e1fa363a2cb75a83bb4c7693cfd81c510dea10c4560d48,4c942a582440996a44e1fa363a2cb75a83bb4c7693cfd81c510dea10c4560d48,pass,
manifest_hash_match:entry_candidate_lineage_audit,0d892cbd77485d52f9eb8f51b2ccf8d541ac8c86e076b81bfba5b2a2a2e1999b,0d892cbd77485d52f9eb8f51b2ccf8d541ac8c86e076b81bfba5b2a2a2e1999b,pass,
manifest_hash_match:entry_execution_convention_audit,09d915c66d4be59d47ba508131e579affb0adb1c78914ccdf9689d733a79654d,09d915c66d4be59d47ba508131e579affb0adb1c78914ccdf9689d733a79654d,pass,
manifest_hash_match:entry_fill_feasibility_audit,935f4395335439b999961f470d73e66e530a3595234db9b1257953fd8b2382ee,935f4395335439b999961f470d73e66e530a3595234db9b1257953fd8b2382ee,pass,
manifest_hash_match:entry_universe_preflight_decision,10a86f073207bd42ae16048fdd1604e6cbcea12c6a79c35b0c05f121a1e3456b,10a86f073207bd42ae16048fdd1604e6cbcea12c6a79c35b0c05f121a1e3456b,pass,
manifest_hash_match:event_canonicalization_audit,cad05fabf03c9b1629e92bf687e5781b7ec7ac65639b2d23692d0ba911ebdadb,cad05fabf03c9b1629e92bf687e5781b7ec7ac65639b2d23692d0ba911ebdadb,pass,
manifest_hash_match:family_search_accounting_manifest,9ec9ce05b91109064196d5c1badd48bf73c34fdc7d877cd4e5fd3761a05efce9,9ec9ce05b91109064196d5c1badd48bf73c34fdc7d877cd4e5fd3761a05efce9,pass,
manifest_hash_match:forward_outcome_label_freeze,517fc31afa8f171596d5dee8bbe00e9224b22360e6b788e9c876293749d7c08e,517fc31afa8f171596d5dee8bbe00e9224b22360e6b788e9c876293749d7c08e,pass,
manifest_hash_match:grid_search_manifest,2a8cea25ba17db44a5b9264c14162e990144c3d055b1f5615d06eee49ac2c9d2,2a8cea25ba17db44a5b9264c14162e990144c3d055b1f5615d06eee49ac2c9d2,pass,
manifest_hash_match:industry_data_contract,92afcbc295f4bf152bb57b7a3bf3c86cf50f090507c192161428c9ab28fec110,92afcbc295f4bf152bb57b7a3bf3c86cf50f090507c192161428c9ab28fec110,pass,
manifest_hash_match:industry_pit_audit,73ceb1b4d6023727ee37544a20a408d7fcd35ac2c3ec3cccc2e2ca4b80e03f33,73ceb1b4d6023727ee37544a20a408d7fcd35ac2c3ec3cccc2e2ca4b80e03f33,pass,
manifest_hash_match:input_artifact_audit,44d24588536a15d80e5a7254d84ba16d03ffc19e70913036b544cbc94da21429,44d24588536a15d80e5a7254d84ba16d03ffc19e70913036b544cbc94da21429,pass,
manifest_hash_match:multiple_testing_correction_freeze,100edafe9085105ca93b5cf4a639372f24263848ae6a58d8e8bacc8c36b358b8,100edafe9085105ca93b5cf4a639372f24263848ae6a58d8e8bacc8c36b358b8,pass,
manifest_hash_match:pit_feature_availability_audit,3b291544e7755bfdc30d872197d18369645638c39067362e6039bc7f8ebb70b8,3b291544e7755bfdc30d872197d18369645638c39067362e6039bc7f8ebb70b8,pass,
manifest_hash_match:primary_metric_and_margin_freeze,ba444539087c726246414a87a5514abcce7f759270777fac661b17abee6444bb,ba444539087c726246414a87a5514abcce7f759270777fac661b17abee6444bb,pass,
manifest_hash_match:replay_cost_assumption_freeze,2b164c5aff823b1ebddb679a93936dc3a637b4252ca10c8d4252d92e3bfee7ac,2b164c5aff823b1ebddb679a93936dc3a637b4252ca10c8d4252d92e3bfee7ac,pass,
manifest_hash_match:replay_path_eligibility_freeze,28e4b6614b3542943882fc6ec31d9aa9375342d6aa045c8a10ad055e4d52110d,28e4b6614b3542943882fc6ec31d9aa9375342d6aa045c8a10ad055e4d52110d,pass,
manifest_hash_match:report,bd1a1e1d4143e462b47849f7280f04fc27149b8896b4ff3ead57f642ab740768,bd1a1e1d4143e462b47849f7280f04fc27149b8896b4ff3ead57f642ab740768,pass,
manifest_hash_match:robustness_test_manifest,f42ff5f8381493a9f4fd4dbf553cf8a4cee61710df26362f82346b99cf9d186f,f42ff5f8381493a9f4fd4dbf553cf8a4cee61710df26362f82346b99cf9d186f,pass,
manifest_hash_match:split_construction_freeze,ac041fd8b2ffd8c0f70d2fa828f8e4466e9468b1cbf9332e7144b96a0d86b48c,ac041fd8b2ffd8c0f70d2fa828f8e4466e9468b1cbf9332e7144b96a0d86b48c,pass,
manifest_hash_match:theme_snapshot_status,7b8b25a8a4112c247dcccb18232739e9d8715b5854622e63618a9a0c40d4c9ab,7b8b25a8a4112c247dcccb18232739e9d8715b5854622e63618a9a0c40d4c9ab,pass,
manifest_hash_match:tradability_field_availability_audit,f68bce4179c5003f1fd12b89892382cebd1244f86d77e27f5fa074a2891faab2,f68bce4179c5003f1fd12b89892382cebd1244f86d77e27f5fa074a2891faab2,pass,
