policy_id,scored_model_id,bucket_id,sector_tilt_lambda,stop_threshold,board_semantics_role,execution_role,claim_ceiling,run_id,contract_version
B0_P4_RAW_RANK__D8__L100__STOPNONE,B0_P4_RAW_RANK,8,1,,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L100__STOP05,B0_P4_RAW_RANK,8,1,0.05,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L100__STOP10,B0_P4_RAW_RANK,8,1,0.1,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L100__STOP15,B0_P4_RAW_RANK,8,1,0.15,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D8__L100__STOP20,B0_P4_RAW_RANK,8,1,0.2,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D9__L000__STOPNONE,B0_P4_RAW_RANK,9,0,,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D9__L000__STOP05,B0_P4_RAW_RANK,9,0,0.05,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D9__L000__STOP10,B0_P4_RAW_RANK,9,0,0.1,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D9__L000__STOP15,B0_P4_RAW_RANK,9,0,0.15,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D9__L000__STOP20,B0_P4_RAW_RANK,9,0,0.2,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D9__L050__STOPNONE,B0_P4_RAW_RANK,9,0.5,,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D9__L050__STOP05,B0_P4_RAW_RANK,9,0.5,0.05,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D9__L050__STOP10,B0_P4_RAW_RANK,9,0.5,0.1,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D9__L050__STOP15,B0_P4_RAW_RANK,9,0.5,0.15,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D9__L050__STOP20,B0_P4_RAW_RANK,9,0.5,0.2,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D9__L100__STOPNONE,B0_P4_RAW_RANK,9,1,,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D9__L100__STOP05,B0_P4_RAW_RANK,9,1,0.05,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D9__L100__STOP10,B0_P4_RAW_RANK,9,1,0.1,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D9__L100__STOP15,B0_P4_RAW_RANK,9,1,0.15,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D9__L100__STOP20,B0_P4_RAW_RANK,9,1,0.2,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOPNONE,B0_P4_RAW_RANK,10,0,,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,B0_P4_RAW_RANK,10,0,0.05,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP10,B0_P4_RAW_RANK,10,0,0.1,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP15,B0_P4_RAW_RANK,10,0,0.15,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP20,B0_P4_RAW_RANK,10,0,0.2,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOPNONE,B0_P4_RAW_RANK,10,0.5,,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP05,B0_P4_RAW_RANK,10,0.5,0.05,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP10,B0_P4_RAW_RANK,10,0.5,0.1,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP15,B0_P4_RAW_RANK,10,0.5,0.15,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP20,B0_P4_RAW_RANK,10,0.5,0.2,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L100__STOPNONE,B0_P4_RAW_RANK,10,1,,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L100__STOP05,B0_P4_RAW_RANK,10,1,0.05,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L100__STOP10,B0_P4_RAW_RANK,10,1,0.1,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L100__STOP15,B0_P4_RAW_RANK,10,1,0.15,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L100__STOP20,B0_P4_RAW_RANK,10,1,0.2,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D8__L000__STOPNONE,S0_SELECTED_FULL,8,0,,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D8__L000__STOP05,S0_SELECTED_FULL,8,0,0.05,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D8__L000__STOP10,S0_SELECTED_FULL,8,0,0.1,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D8__L000__STOP15,S0_SELECTED_FULL,8,0,0.15,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D8__L000__STOP20,S0_SELECTED_FULL,8,0,0.2,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D8__L050__STOPNONE,S0_SELECTED_FULL,8,0.5,,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D8__L050__STOP05,S0_SELECTED_FULL,8,0.5,0.05,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D8__L050__STOP10,S0_SELECTED_FULL,8,0.5,0.1,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D8__L050__STOP15,S0_SELECTED_FULL,8,0.5,0.15,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D8__L050__STOP20,S0_SELECTED_FULL,8,0.5,0.2,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D8__L100__STOPNONE,S0_SELECTED_FULL,8,1,,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D8__L100__STOP05,S0_SELECTED_FULL,8,1,0.05,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D8__L100__STOP10,S0_SELECTED_FULL,8,1,0.1,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D8__L100__STOP15,S0_SELECTED_FULL,8,1,0.15,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D8__L100__STOP20,S0_SELECTED_FULL,8,1,0.2,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D9__L000__STOPNONE,S0_SELECTED_FULL,9,0,,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D9__L000__STOP05,S0_SELECTED_FULL,9,0,0.05,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D9__L000__STOP10,S0_SELECTED_FULL,9,0,0.1,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D9__L000__STOP15,S0_SELECTED_FULL,9,0,0.15,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D9__L000__STOP20,S0_SELECTED_FULL,9,0,0.2,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D9__L050__STOPNONE,S0_SELECTED_FULL,9,0.5,,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D9__L050__STOP05,S0_SELECTED_FULL,9,0.5,0.05,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D9__L050__STOP10,S0_SELECTED_FULL,9,0.5,0.1,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D9__L050__STOP15,S0_SELECTED_FULL,9,0.5,0.15,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D9__L050__STOP20,S0_SELECTED_FULL,9,0.5,0.2,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D9__L100__STOPNONE,S0_SELECTED_FULL,9,1,,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D9__L100__STOP05,S0_SELECTED_FULL,9,1,0.05,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D9__L100__STOP10,S0_SELECTED_FULL,9,1,0.1,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D9__L100__STOP15,S0_SELECTED_FULL,9,1,0.15,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D9__L100__STOP20,S0_SELECTED_FULL,9,1,0.2,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D10__L000__STOPNONE,S0_SELECTED_FULL,10,0,,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D10__L000__STOP05,S0_SELECTED_FULL,10,0,0.05,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D10__L000__STOP10,S0_SELECTED_FULL,10,0,0.1,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D10__L000__STOP15,S0_SELECTED_FULL,10,0,0.15,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D10__L000__STOP20,S0_SELECTED_FULL,10,0,0.2,equal_weight_no_board_decision,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D10__L050__STOPNONE,S0_SELECTED_FULL,10,0.5,,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D10__L050__STOP05,S0_SELECTED_FULL,10,0.5,0.05,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D10__L050__STOP10,S0_SELECTED_FULL,10,0.5,0.1,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D10__L050__STOP15,S0_SELECTED_FULL,10,0.5,0.15,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D10__L050__STOP20,S0_SELECTED_FULL,10,0.5,0.2,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D10__L100__STOPNONE,S0_SELECTED_FULL,10,1,,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D10__L100__STOP05,S0_SELECTED_FULL,10,1,0.05,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D10__L100__STOP10,S0_SELECTED_FULL,10,1,0.1,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D10__L100__STOP15,S0_SELECTED_FULL,10,1,0.15,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
S0_SELECTED_FULL__D10__L100__STOP20,S0_SELECTED_FULL,10,1,0.2,retrospective_non_pit_concentration_tilt,stateful_reference_5bps_path,design_contaminated_posthoc_portfolio_sensitivity_only,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
