comparison_id,comparison_family,lhs_policy_id,lhs_cost_scenario_id,rhs_policy_id,rhs_cost_scenario_id,changed_dimension,only_one_dimension_changed,primary_OFAT,favorable_direction,run_id,contract_version
OFAT_BUCKET__D9_MINUS_D8,OFAT_BUCKET,S0_SELECTED_FULL__D9__L000__STOPNONE,SLIP005,S0_SELECTED_FULL__D8__L000__STOPNONE,SLIP005,bucket_id,True,True,lhs_minus_rhs_higher_is_better,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
OFAT_BUCKET__D10_MINUS_D9,OFAT_BUCKET,S0_SELECTED_FULL__D10__L000__STOPNONE,SLIP005,S0_SELECTED_FULL__D9__L000__STOPNONE,SLIP005,bucket_id,True,True,lhs_minus_rhs_higher_is_better,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
OFAT_BUCKET__D10_MINUS_D8,OFAT_BUCKET,S0_SELECTED_FULL__D10__L000__STOPNONE,SLIP005,S0_SELECTED_FULL__D8__L000__STOPNONE,SLIP005,bucket_id,True,True,lhs_minus_rhs_higher_is_better,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
OFAT_SECTOR__L050_MINUS_L000,OFAT_SECTOR_CONCENTRATION,S0_SELECTED_FULL__D10__L050__STOPNONE,SLIP005,S0_SELECTED_FULL__D10__L000__STOPNONE,SLIP005,sector_tilt_lambda,True,True,lhs_minus_rhs_higher_is_better,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
OFAT_SECTOR__L100_MINUS_L000,OFAT_SECTOR_CONCENTRATION,S0_SELECTED_FULL__D10__L100__STOPNONE,SLIP005,S0_SELECTED_FULL__D10__L000__STOPNONE,SLIP005,sector_tilt_lambda,True,True,lhs_minus_rhs_higher_is_better,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
OFAT_STOP__STOP05_MINUS_NONE,OFAT_STOP,S0_SELECTED_FULL__D10__L000__STOP05,SLIP005,S0_SELECTED_FULL__D10__L000__STOPNONE,SLIP005,stop_threshold,True,True,lhs_minus_rhs_higher_is_better,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
OFAT_STOP__STOP10_MINUS_NONE,OFAT_STOP,S0_SELECTED_FULL__D10__L000__STOP10,SLIP005,S0_SELECTED_FULL__D10__L000__STOPNONE,SLIP005,stop_threshold,True,True,lhs_minus_rhs_higher_is_better,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
OFAT_STOP__STOP15_MINUS_NONE,OFAT_STOP,S0_SELECTED_FULL__D10__L000__STOP15,SLIP005,S0_SELECTED_FULL__D10__L000__STOPNONE,SLIP005,stop_threshold,True,True,lhs_minus_rhs_higher_is_better,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
OFAT_STOP__STOP20_MINUS_NONE,OFAT_STOP,S0_SELECTED_FULL__D10__L000__STOP20,SLIP005,S0_SELECTED_FULL__D10__L000__STOPNONE,SLIP005,stop_threshold,True,True,lhs_minus_rhs_higher_is_better,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
OFAT_COST__GROSS_MINUS_SLIP005,OFAT_COST,S0_SELECTED_FULL__D10__L000__STOPNONE,GROSS,S0_SELECTED_FULL__D10__L000__STOPNONE,SLIP005,cost_scenario_id,True,True,lhs_minus_rhs_higher_is_better,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
