lineage_check_id,observed_value,expected_value,status,source_artifact
13c.decision_state,13C_stop_residual_probability_only_no_utility,13C_stop_residual_probability_only_no_utility,pass,upstream_13c_decision
13c.selected_state_id,repair_range_participation_core_30,repair_range_participation_core_30,pass,upstream_13c_decision
13c.input_gate_status,pass,pass,pass,upstream_13c_decision
13c.row_level_rebuild_gate_status,pass,pass,pass,upstream_13c_decision
13c.meta_labeling_authorized,False,False,pass,upstream_13c_decision
13c.bet_sizing_authorized,False,False,pass,upstream_13c_decision
13e.decision_state,13E_stop_no_nonlinear_auc_improvement,13E_stop_no_nonlinear_auc_improvement,pass,upstream_13e_decision
13e.selected_state_id,repair_range_participation_core_30,repair_range_participation_core_30,pass,upstream_13e_decision
13e.row_level_rebuild_gate_status,pass,pass,pass,upstream_13e_decision
13e.purged_cv_integrity_gate_status,pass,pass,pass,upstream_13e_decision
13e.validation_used_in_13e,False,False,pass,upstream_13e_decision
13e.robustness_used_in_13e,False,False,pass,upstream_13e_decision
13e.meta_labeling_authorized,False,False,pass,upstream_13e_decision
13e.bet_sizing_authorized,False,False,pass,upstream_13e_decision
morphology_residual_panel.row_count_positive,431239,>0,pass,upstream_13c_morphology_residual_panel_cache
13c.manifest_readable,readable,readable,pass,upstream_13c_manifest
morphology_residual_panel.manifest_schema_hash,6c980cae1dcf516620b03f74d194cba11128f86f465e294ce3e9b02fdc242a23,6c980cae1dcf516620b03f74d194cba11128f86f465e294ce3e9b02fdc242a23,pass,upstream_13c_morphology_residual_panel_cache
morphology_residual_panel.manifest_row_count,431239,431239,pass,upstream_13c_morphology_residual_panel_cache
13c.row_level_rebuild_audit_all_pass,0,0,pass,upstream_13c_manifest
morphology_residual_panel.row_key_uniqueness,unique,unique,pass,upstream_13c_morphology_residual_panel_cache
morphology_residual_panel.split_boundary_coverage,robustness;train;validation,train;validation;robustness,pass,upstream_13c_morphology_residual_panel_cache
morphology_residual_panel.selected_membership_available,repair_range_participation_core_30,repair_range_participation_core_30,pass,upstream_13c_morphology_residual_panel_cache
feature_cluster_dictionary.required_features_pass,,,pass,upstream_13c_feature_cluster_dictionary
