artifact_key,artifact_role,required_flag,resolver_alias,resolved_path,relative_path,source_experiment_id,source_phase_id,row_count,sha256,source_kind,cache_sha256,cache_hash_validated,cache_hash_manifest_status,cache_schema_validated,cache_key_reconciliation_gate,expected_feature_row_n,observed_feature_row_n,expected_matrix_identity_key_n,observed_matrix_identity_key_n,schema_status,read_status,absolute_path_mismatch_ignored,blocking_reason
research_plan,ep18_local_planning,required,research_plan,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/research_plan.md,experiments/pending/18_payoff_state_representation_research/research_plan.md,18_payoff_state_representation_research,18B,817,0e5504d192aa92d925977292acf82ec18601f2070dbb536b15f75432fe99d903,,,,,,,,,,,pass,pass,False,
umbrella_requirement,ep18_local_planning,required,umbrella_requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/requirement_18_payoff_state_representation_research.md,experiments/pending/18_payoff_state_representation_research/requirement_18_payoff_state_representation_research.md,18_payoff_state_representation_research,18B,238,90a21c0e37138310f7d879dab9943b941c96db64327f5cc6b2062df1a3c8b3ba,,,,,,,,,,,pass,pass,False,
requirement_18a,ep18_local_planning,required,requirement_18a,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/requirement_18a_payoff_state_contract_preflight.md,experiments/pending/18_payoff_state_representation_research/requirement_18a_payoff_state_contract_preflight.md,18_payoff_state_representation_research,18A,931,ae3bc03ec5b7fcb774a47964bfcb81ee4cbdda42d7a39c0572df51429ad38aa5,,,,,,,,,,,pass,pass,False,
requirement_18b,ep18_local_planning,required,requirement_18b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/requirement_18b_payoff_state_feature_matrix_audit.md,experiments/pending/18_payoff_state_representation_research/requirement_18b_payoff_state_feature_matrix_audit.md,18_payoff_state_representation_research,18B,1266,04fd8e1151a7a6857154544f9183674a72d39bdf9afc6fdf4d34088052244c5b,,,,,,,,,,,pass,pass,False,
eighteen_a_target_contract_doc,eighteen_a_handoff,required,eighteen_a_target_contract_doc,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/payoff_state_target_contract.md,experiments/pending/18_payoff_state_representation_research/outputs/publishable/payoff_state_target_contract.md,18_payoff_state_representation_research,18A,51,e5db7639d27386d1ac643213c4b09566887fe7c633b299d97d22553c94e2c6d2,,,,,,,,,,,pass,pass,False,
eighteen_a_feature_contract_doc,eighteen_a_handoff,required,eighteen_a_feature_contract_doc,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/payoff_state_feature_contract.md,experiments/pending/18_payoff_state_representation_research/outputs/publishable/payoff_state_feature_contract.md,18_payoff_state_representation_research,18A,35,a9e23df9468a727c932e7a5504262bd5b6a3818ee160e7bb8fe741f20eb5b0c3,,,,,,,,,,,pass,pass,False,
eighteen_a_report,eighteen_a_handoff,required,eighteen_a_report,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/reports/payoff_state_contract_preflight_report.md,experiments/pending/18_payoff_state_representation_research/outputs/publishable/reports/payoff_state_contract_preflight_report.md,18_payoff_state_representation_research,18A,75,8466b1d94103cfded81eb1cf5e73836e372f2f7d58c0e5c43c7d952fd15fd31c,,,,,,,,,,,pass,pass,False,
eighteen_a_decision,eighteen_a_decision,required,eighteen_a_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/payoff_state_contract_decision.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/payoff_state_contract_decision.csv,18_payoff_state_representation_research,18A,1,317ef5f7a3aaf81c80537b4a3e0f95cb7e4464501a9ef03ff0e228c12de069f4,,,,,,,,,,,pass,pass,False,
eighteen_a_target_denominator_reconciliation,eighteen_a_handoff,required,eighteen_a_target_denominator_reconciliation,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_denominator_reconciliation.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_denominator_reconciliation.csv,18_payoff_state_representation_research,18A,3,bca81068d09e4a9a65a36cd0bfe3ee6d7b48721ed23f402fc4cc133e695ebc15,,,,,,,,,,,pass,pass,False,
eighteen_a_oracle_reference_denominator_map,eighteen_a_handoff,required,eighteen_a_oracle_reference_denominator_map,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/oracle_reference_denominator_map.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/oracle_reference_denominator_map.csv,18_payoff_state_representation_research,18A,4,5bf63a34b862ecc334b4d17a9b15f9114c9276655a2630bd21f6597c580dd708,,,,,,,,,,,pass,pass,False,
