contract_check_id,observed_value,expected_value,upstream_18a_contract_gate,blocking_reason
decision_state,18A_payoff_state_contract_ready,18A_payoff_state_contract_ready,pass,
next_allowed_requirement,requirement_18b_payoff_state_feature_matrix_audit.md,requirement_18b_payoff_state_feature_matrix_audit.md,pass,
all_hard_gates_pass,True,True,pass,
input_artifact_gate,pass,pass,pass,
denominator_reconciliation_gate,pass,pass,pass,
target_lineage_gate,pass,pass,pass,
o5_incremental_definition_replay_gate,pass,pass,pass,
train_frozen_cutoff_gate,pass,pass,pass,
neutral_preservation_gate,pass,pass,pass,
feature_source_pit_gate,pass,pass,pass,
leakage_forbidden_column_gate,pass,pass,pass,
search_accounting_gate,pass,pass,pass,
entry_policy_authorized,False,False,pass,
exit_policy_authorized,False,False,pass,
holding_policy_authorized,False,False,pass,
portfolio_backtest_authorized,False,False,pass,
model_deployment_authorized,False,False,pass,
production_signal_authorized,False,False,pass,
live_trading_authorized,False,False,pass,
