rule_version_id,rule_family_id,entry_family,exit_family,entry_formula,exit_formula,param_suite,sizing_suite,sizing_family,scope
ema_state_ema60_base__fixed_w05,ema_state_ema60_base,ema_state_baseline,ema60_exit_only,shared_entry_gate_T,close_T < EMA60_T only; final research-date forced close,base,fixed_w05,fixed_weight,baseline
ema_state_ema60_base__risk_unit_w03_ind20,ema_state_ema60_base,ema_state_baseline,ema60_exit_only,shared_entry_gate_T,close_T < EMA60_T only; final research-date forced close,base,risk_unit_w03_ind20,risk_unit_with_industry_cap,baseline
ema_state_stop_time_base__fixed_w05,ema_state_stop_time_base,ema_state_baseline,stop_plus_time,shared_entry_gate_T,"close_T <= current_stop_T, or holding_days >= time_stop_days and close_T <= entry_price, or close_T < EMA60_T",base,fixed_w05,fixed_weight,baseline
ema_state_stop_time_base__risk_unit_w03_ind20,ema_state_stop_time_base,ema_state_baseline,stop_plus_time,shared_entry_gate_T,"close_T <= current_stop_T, or holding_days >= time_stop_days and close_T <= entry_price, or close_T < EMA60_T",base,risk_unit_w03_ind20,risk_unit_with_industry_cap,baseline
breakout_layered_base__fixed_w05,breakout_layered_base,breakout_core,layered_exit,"shared_entry_gate_T and close_T > rolling_high(close, 60, exclude_T) and money_ratio20_T >= breakout_money_min and close_pos_T >= 0.5 and upper_shadow_ratio_T <= 0.40","1R break-even, 2R max(EMA20, close - atr_stop_multiplier * ATR20) trailing, 3R EMA20 tighten, plus stop/time/EMA60 exits",base,fixed_w05,fixed_weight,year_diagnostic
breakout_layered_base__risk_unit_w03_ind20,breakout_layered_base,breakout_core,layered_exit,"shared_entry_gate_T and close_T > rolling_high(close, 60, exclude_T) and money_ratio20_T >= breakout_money_min and close_pos_T >= 0.5 and upper_shadow_ratio_T <= 0.40","1R break-even, 2R max(EMA20, close - atr_stop_multiplier * ATR20) trailing, 3R EMA20 tighten, plus stop/time/EMA60 exits",base,risk_unit_w03_ind20,risk_unit_with_industry_cap,year_diagnostic
breakout_layered_base__risk_unit_w05_ind25,breakout_layered_base,breakout_core,layered_exit,"shared_entry_gate_T and close_T > rolling_high(close, 60, exclude_T) and money_ratio20_T >= breakout_money_min and close_pos_T >= 0.5 and upper_shadow_ratio_T <= 0.40","1R break-even, 2R max(EMA20, close - atr_stop_multiplier * ATR20) trailing, 3R EMA20 tighten, plus stop/time/EMA60 exits",base,risk_unit_w05_ind25,risk_unit_with_industry_cap,year_diagnostic
breakout_stop_time_base__fixed_w05,breakout_stop_time_base,breakout_core,stop_plus_time,"shared_entry_gate_T and close_T > rolling_high(close, 60, exclude_T) and money_ratio20_T >= breakout_money_min and close_pos_T >= 0.5 and upper_shadow_ratio_T <= 0.40","close_T <= current_stop_T, or holding_days >= time_stop_days and close_T <= entry_price, or close_T < EMA60_T",base,fixed_w05,fixed_weight,year_diagnostic
breakout_stop_time_base__risk_unit_w03_ind20,breakout_stop_time_base,breakout_core,stop_plus_time,"shared_entry_gate_T and close_T > rolling_high(close, 60, exclude_T) and money_ratio20_T >= breakout_money_min and close_pos_T >= 0.5 and upper_shadow_ratio_T <= 0.40","close_T <= current_stop_T, or holding_days >= time_stop_days and close_T <= entry_price, or close_T < EMA60_T",base,risk_unit_w03_ind20,risk_unit_with_industry_cap,year_diagnostic
breakout_stop_time_base__risk_unit_w05_ind25,breakout_stop_time_base,breakout_core,stop_plus_time,"shared_entry_gate_T and close_T > rolling_high(close, 60, exclude_T) and money_ratio20_T >= breakout_money_min and close_pos_T >= 0.5 and upper_shadow_ratio_T <= 0.40","close_T <= current_stop_T, or holding_days >= time_stop_days and close_T <= entry_price, or close_T < EMA60_T",base,risk_unit_w05_ind25,risk_unit_with_industry_cap,year_diagnostic
breakout_fast_failure_diag__risk_unit_w03_ind20,breakout_fast_failure_diag,breakout_core,fast_failure_exit_diagnostic,"shared_entry_gate_T and close_T > rolling_high(close, 60, exclude_T) and money_ratio20_T >= breakout_money_min and close_pos_T >= 0.5 and upper_shadow_ratio_T <= 0.40","stop_plus_time plus holding_days >= 3 and close < EMA20, ret20_excess <= 0, or industry_ok false for 2 consecutive trading days",fast_failure,risk_unit_w03_ind20,risk_unit_with_industry_cap,diagnostic_only
pullback_original_layered_base__fixed_w05,pullback_original_layered_base,pullback_original,layered_exit,shared_entry_gate_T and near EMA20/EMA30 within pullback_band_pct and close_T > EMA60 and recent_low5_T touches EMA20/EMA30 band and pullback_money_floor <= money_ratio20_T <= pullback_money_ceiling and close_T >= EMA20 and close_T > open_T,"1R break-even, 2R max(EMA20, close - atr_stop_multiplier * ATR20) trailing, 3R EMA20 tighten, plus stop/time/EMA60 exits",base,fixed_w05,fixed_weight,year_diagnostic
pullback_original_layered_base__risk_unit_w03_ind20,pullback_original_layered_base,pullback_original,layered_exit,shared_entry_gate_T and near EMA20/EMA30 within pullback_band_pct and close_T > EMA60 and recent_low5_T touches EMA20/EMA30 band and pullback_money_floor <= money_ratio20_T <= pullback_money_ceiling and close_T >= EMA20 and close_T > open_T,"1R break-even, 2R max(EMA20, close - atr_stop_multiplier * ATR20) trailing, 3R EMA20 tighten, plus stop/time/EMA60 exits",base,risk_unit_w03_ind20,risk_unit_with_industry_cap,year_diagnostic
pullback_original_layered_base__risk_unit_w05_ind25,pullback_original_layered_base,pullback_original,layered_exit,shared_entry_gate_T and near EMA20/EMA30 within pullback_band_pct and close_T > EMA60 and recent_low5_T touches EMA20/EMA30 band and pullback_money_floor <= money_ratio20_T <= pullback_money_ceiling and close_T >= EMA20 and close_T > open_T,"1R break-even, 2R max(EMA20, close - atr_stop_multiplier * ATR20) trailing, 3R EMA20 tighten, plus stop/time/EMA60 exits",base,risk_unit_w05_ind25,risk_unit_with_industry_cap,year_diagnostic
pullback_original_stop_time_base__fixed_w05,pullback_original_stop_time_base,pullback_original,stop_plus_time,shared_entry_gate_T and near EMA20/EMA30 within pullback_band_pct and close_T > EMA60 and recent_low5_T touches EMA20/EMA30 band and pullback_money_floor <= money_ratio20_T <= pullback_money_ceiling and close_T >= EMA20 and close_T > open_T,"close_T <= current_stop_T, or holding_days >= time_stop_days and close_T <= entry_price, or close_T < EMA60_T",base,fixed_w05,fixed_weight,year_diagnostic
pullback_original_stop_time_base__risk_unit_w03_ind20,pullback_original_stop_time_base,pullback_original,stop_plus_time,shared_entry_gate_T and near EMA20/EMA30 within pullback_band_pct and close_T > EMA60 and recent_low5_T touches EMA20/EMA30 band and pullback_money_floor <= money_ratio20_T <= pullback_money_ceiling and close_T >= EMA20 and close_T > open_T,"close_T <= current_stop_T, or holding_days >= time_stop_days and close_T <= entry_price, or close_T < EMA60_T",base,risk_unit_w03_ind20,risk_unit_with_industry_cap,year_diagnostic
pullback_strict_trend_layered__risk_unit_w03_ind20,pullback_strict_trend_layered,pullback_strict_trend,layered_exit,pullback_original and trend_score_pct_T <= 0.10 and EMA20 > EMA60 and EMA60 slope20 > 0 and ret20_T > 0 and ret60_excess_T > 0,"1R break-even, 2R max(EMA20, close - atr_stop_multiplier * ATR20) trailing, 3R EMA20 tighten, plus stop/time/EMA60 exits",strict_score,risk_unit_w03_ind20,risk_unit_with_industry_cap,year_diagnostic
pullback_strict_trend_layered__risk_unit_w05_ind25,pullback_strict_trend_layered,pullback_strict_trend,layered_exit,pullback_original and trend_score_pct_T <= 0.10 and EMA20 > EMA60 and EMA60 slope20 > 0 and ret20_T > 0 and ret60_excess_T > 0,"1R break-even, 2R max(EMA20, close - atr_stop_multiplier * ATR20) trailing, 3R EMA20 tighten, plus stop/time/EMA60 exits",strict_score,risk_unit_w05_ind25,risk_unit_with_industry_cap,year_diagnostic
pullback_strict_money_layered__risk_unit_w03_ind20,pullback_strict_money_layered,pullback_strict_money,layered_exit,"pullback_original with strict_pullback suite, especially pullback_money_floor=0.80 and pullback_band_pct=0.02","1R break-even, 2R max(EMA20, close - atr_stop_multiplier * ATR20) trailing, 3R EMA20 tighten, plus stop/time/EMA60 exits",strict_pullback,risk_unit_w03_ind20,risk_unit_with_industry_cap,year_diagnostic
