candidate_family_id,feature_id,feature_name,feature_role,formula_id,formula_text,source_artifact_alias,source_columns,window_id,minimum_observation_count,primary_model_feature,appendix_only,inherited_from_18d_candidate,lineage_before_target_evidence,blocking_reason
F1,ret_5d,ret_5d,existing_18b_retained,18B_retained::ret_5d,retained without recomputation from 18B payoff_state_feature_matrix.parquet,ep18_current_feature_matrix,ret_5d,18B_retained,,True,False,False,True,
F1,ret_10d,ret_10d,existing_18b_retained,18B_retained::ret_10d,retained without recomputation from 18B payoff_state_feature_matrix.parquet,ep18_current_feature_matrix,ret_10d,18B_retained,,True,False,False,True,
F1,ret_20d,ret_20d,existing_18b_retained,18B_retained::ret_20d,retained without recomputation from 18B payoff_state_feature_matrix.parquet,ep18_current_feature_matrix,ret_20d,18B_retained,,True,False,False,True,
F1,ma_5_20_spread,ma_5_20_spread,existing_18b_retained,18B_retained::ma_5_20_spread,retained without recomputation from 18B payoff_state_feature_matrix.parquet,ep18_current_feature_matrix,ma_5_20_spread,18B_retained,,True,False,False,True,
F1,ma_20_60_spread,ma_20_60_spread,existing_18b_retained,18B_retained::ma_20_60_spread,retained without recomputation from 18B payoff_state_feature_matrix.parquet,ep18_current_feature_matrix,ma_20_60_spread,18B_retained,,True,False,False,True,
F1,distance_to_20d_high,distance_to_20d_high,existing_18b_retained,18B_retained::distance_to_20d_high,retained without recomputation from 18B payoff_state_feature_matrix.parquet,ep18_current_feature_matrix,distance_to_20d_high,18B_retained,,True,False,False,True,
F1,distance_to_60d_high,distance_to_60d_high,existing_18b_retained,18B_retained::distance_to_60d_high,retained without recomputation from 18B payoff_state_feature_matrix.parquet,ep18_current_feature_matrix,distance_to_60d_high,18B_retained,,True,False,False,True,
F2,turnover_rate_20d_mean,turnover_rate_20d_mean,existing_18b_retained,18B_retained::turnover_rate_20d_mean,retained without recomputation from 18B payoff_state_feature_matrix.parquet,ep18_current_feature_matrix,turnover_rate_20d_mean,18B_retained,,True,False,False,True,
F2,turnover_rate_60d_mean,turnover_rate_60d_mean,existing_18b_retained,18B_retained::turnover_rate_60d_mean,retained without recomputation from 18B payoff_state_feature_matrix.parquet,ep18_current_feature_matrix,turnover_rate_60d_mean,18B_retained,,True,False,False,True,
F2,turnover_rate_20d_zscore,turnover_rate_20d_zscore,existing_18b_retained,18B_retained::turnover_rate_20d_zscore,retained without recomputation from 18B payoff_state_feature_matrix.parquet,ep18_current_feature_matrix,turnover_rate_20d_zscore,18B_retained,,True,False,False,True,
F2,volume_20d_zscore,volume_20d_zscore,existing_18b_retained,18B_retained::volume_20d_zscore,retained without recomputation from 18B payoff_state_feature_matrix.parquet,ep18_current_feature_matrix,volume_20d_zscore,18B_retained,,True,False,False,True,
