source_artifact,field_name,observed_value,expected_value,status,blocking_reason
representation_refresh_decision.csv,decision_state,18D_feature_representation_refresh_supported,18D_feature_representation_refresh_supported,pass,
representation_refresh_decision.csv,next_allowed_requirement,requirement_18e_payoff_state_feature_matrix_refresh.md,requirement_18e_payoff_state_feature_matrix_refresh.md,pass,
representation_refresh_decision.csv,all_hard_gates_pass,True,True,pass,
representation_refresh_decision.csv,upstream_18c_contract_gate,pass,pass,pass,
representation_refresh_decision.csv,input_artifact_gate,pass,pass,pass,
representation_refresh_decision.csv,capacity_vs_representation_gate,pass,pass,pass,
representation_refresh_decision.csv,candidate_lineage_gate,pass,pass,pass,
representation_refresh_decision.csv,pit_t0_availability_gate,pass,pass,pass,
representation_refresh_decision.csv,orthogonal_payoff_information_gate,pass,pass,pass,
representation_refresh_decision.csv,feature_family_prioritization_gate,pass,pass,pass,
representation_refresh_decision.csv,search_accounting_gate,pass,pass,pass,
representation_refresh_decision.csv,recommended_refresh_family_ids,M1|M3|M5|M2,M1|M3|M5|M2,pass,
representation_refresh_decision.csv,deferred_family_ids,M4,M4,pass,
18D_payoff_state_feature_representation_diagnostic_manifest.json,decision_state,18D_feature_representation_refresh_supported,18D_feature_representation_refresh_supported,pass,
18D_payoff_state_feature_representation_diagnostic_manifest.json,next_allowed_requirement,requirement_18e_payoff_state_feature_matrix_refresh.md,requirement_18e_payoff_state_feature_matrix_refresh.md,pass,
18D_payoff_state_feature_representation_diagnostic_manifest.json,all_hard_gates_pass,True,True,pass,
18D_payoff_state_feature_representation_diagnostic_manifest.json,recommended_refresh_family_ids,M1|M3|M5|M2,M1|M3|M5|M2,pass,
18D_payoff_state_feature_representation_diagnostic_manifest.json,deferred_family_ids,M4,M4,pass,
representation_refresh_decision.csv,entry_policy_authorized,False,False,pass,
representation_refresh_decision.csv,exit_policy_authorized,False,False,pass,
representation_refresh_decision.csv,holding_policy_authorized,False,False,pass,
representation_refresh_decision.csv,portfolio_backtest_authorized,False,False,pass,
representation_refresh_decision.csv,model_deployment_authorized,False,False,pass,
representation_refresh_decision.csv,production_signal_authorized,False,False,pass,
representation_refresh_decision.csv,live_trading_authorized,False,False,pass,
