artifact_key,artifact_role,required_flag,resolver_alias,resolved_path,relative_path,source_experiment_id,source_phase_id,row_count,column_count,sha256,source_kind,cache_sha256,cache_hash_validated,cache_hash_manifest_status,schema_status,read_status,key_reconciliation_status,expected_row_n,observed_row_n,absolute_path_mismatch_ignored,blocking_reason
research_plan,ep18_local_planning,True,ep18_planning,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/research_plan.md,experiments/pending/18_payoff_state_representation_research/research_plan.md,18_payoff_state_representation_research,18E,1029,0,113caa5103d9b35c57f32b4516f82e2122ce77b1df7503c58789b3e6ec403dd7,md,,,not_checked,pass,pass,not_checked,,,False,
requirement_18e,ep18_local_requirement,True,ep18_planning,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/requirement_18e_payoff_state_feature_matrix_refresh.md,experiments/pending/18_payoff_state_representation_research/requirement_18e_payoff_state_feature_matrix_refresh.md,18_payoff_state_representation_research,18E,1770,0,ef6b73ea13a9c3b1f9424d1d06abb682e22b4ed11422d7dd264d0fb727d139fa,md,,,not_checked,pass,pass,not_checked,,,False,
requirement_18d,ep18_local_requirement,True,ep18_planning,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/requirement_18d_payoff_state_feature_representation_diagnostic.md,experiments/pending/18_payoff_state_representation_research/requirement_18d_payoff_state_feature_representation_diagnostic.md,18_payoff_state_representation_research,18D,2102,0,8a6c06bfdff159d8902c69bd6461a988dd97880550918e1a81ac01a9805ea74a,md,,,not_checked,pass,pass,not_checked,,,False,
eighteen_a_target_definition_registry,ep18a_target_registry,True,ep18_target_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_definition_registry.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_definition_registry.csv,18_payoff_state_representation_research,18A,6,12,a1defde0c5fc74b78c05f17e08494aa1d2e55f960d8eb4daa0a0d7cdc26c878e,csv,,,not_checked,pass,pass,not_checked,,,False,
eighteen_a_target_denominator_reconciliation,ep18a_denominator,True,ep18_target_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_denominator_reconciliation.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_denominator_reconciliation.csv,18_payoff_state_representation_research,18A,3,9,bca81068d09e4a9a65a36cd0bfe3ee6d7b48721ed23f402fc4cc133e695ebc15,csv,,,not_checked,pass,pass,not_checked,,,False,
eighteen_a_payoff_cutoff_freeze,ep18a_cutoff_freeze,True,ep18_target_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/payoff_cutoff_freeze.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/payoff_cutoff_freeze.csv,18_payoff_state_representation_research,18A,3,11,90f11e08b53b144c72986a79a27ccc87e68813410978c4b647db0f613dceec4a,csv,,,not_checked,pass,pass,not_checked,,,False,
eighteen_a_manifest,ep18a_manifest,True,ep18_target_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/18A_payoff_state_contract_preflight_manifest.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/18A_payoff_state_contract_preflight_manifest.json,18_payoff_state_representation_research,18A,1,0,1d7d4162874e09ce53e656e53f90105ebfb516173fadda0da76ba82ce6743e1e,json,,,not_checked,pass,pass,not_checked,,,False,
eighteen_b_matrix,ep18_current_feature_matrix,True,ep18_current_feature_matrix,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/local_cache/18B_payoff_state_feature_matrix_audit/payoff_state_feature_matrix.parquet,experiments/pending/18_payoff_state_representation_research/outputs/local_cache/18B_payoff_state_feature_matrix_audit/payoff_state_feature_matrix.parquet,18_payoff_state_representation_research,18B,23405,75,efcb6d6082a52f917702435fd9995604f4afa5881dda06cd4a5f6fa7f4de7293,parquet,efcb6d6082a52f917702435fd9995604f4afa5881dda06cd4a5f6fa7f4de7293,,not_checked,pass,pass,not_checked,23405.0,23405.0,False,
eighteen_b_matrix_schema,ep18_current_feature_schema,True,ep18_current_feature_matrix,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/payoff_state_feature_matrix_schema.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/payoff_state_feature_matrix_schema.csv,18_payoff_state_representation_research,18B,75,15,878408c2be3046dbe396262a9296ba209be6f08f18e00419d1a632608e837b8b,csv,,,not_checked,pass,pass,not_checked,,,False,
eighteen_b_feature_target_binding_audit,ep18_current_target_binding,True,ep18_current_feature_matrix,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/feature_target_binding_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/feature_target_binding_audit.csv,18_payoff_state_representation_research,18B,1,34,0d1c84009f8d9d28ac5da85bd9328430c22c5847294506b114acb1bf70b351da,csv,,,not_checked,pass,pass,not_checked,,,False,
