arm_id,mandatory,paper_reported_or_project_control,input_feature_route,uses_return_sequence,uses_feature_sequence,uses_gate,operator_mode,selector_context,residual_mode,loss_terms,score_head,primary_comparator_role,parameter_match_target,historical_stage,forward_eligible,claim_if_pass,claim_if_fail
M0_HASH_NULL_SCORE,true,project_control,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,false,false,false,none,none,none,none,none,pipeline_null,,historical_design_diagnostic,false,diagnostic_increment_only,no_mechanism_support
M1_LIGHTGBM_ALPHA158,true,project_baseline,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,false,true,false,none,none,none,regression_l2,tabular,strong_baseline,,historical_design_diagnostic,true,diagnostic_increment_only,no_mechanism_support
M2_RETURN_LSTM,true,paper_baseline,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,true,false,false,none,none,none,L_forecast_direct,direct,return_baseline,,historical_design_diagnostic,false,diagnostic_increment_only,no_mechanism_support
M3_GATED_DUAL_PATH_LSTM,true,paper_baseline,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,true,true,true,none,none,none,L_forecast_direct,direct,sequence_comparator,,historical_design_diagnostic,true,diagnostic_increment_only,no_mechanism_support
A0_VANILLA_AUTOENCODER,true,project_ablation,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,true,true,true,none,none,none,L_A0_source_rec+L_forecast_direct,direct,vanilla_ae,,historical_design_diagnostic,false,diagnostic_increment_only,no_mechanism_support
K1_SINGLE_KOOPMAN_AE,true,paper_ablation,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,true,true,true,single,none,none,L_rec+L_koop,decoded,koopman_test,,historical_design_diagnostic,false,diagnostic_increment_only,no_mechanism_support
K1C_STATE_INDEPENDENT_MULTI_OPERATOR_CONTROL,true,project_control,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,true,true,true,global_multi,constant_ones,none,L_rec+L_koop,decoded,capacity_control,K2,historical_design_diagnostic,false,diagnostic_increment_only,no_mechanism_support
K2_ADAPTIVE_KOOPMAN_AE,true,paper_ablation,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,true,true,true,adaptive_multi,Z_source|H_y,none,L_rec+L_koop,decoded,adaptive_test,,historical_design_diagnostic,false,diagnostic_increment_only,no_mechanism_support
R1_AKS_MLP_RESIDUAL,true,project_control,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,true,true,true,adaptive_multi,Z_source|H_y,mlp,L_rec_mlp+L_koop+L_residual_mlp,decoded,residual_control,R2_denoiser,historical_design_diagnostic,false,diagnostic_increment_only,no_mechanism_support
R2_REAKA_DIFFUSION,true,paper_project_adaptation,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,true,true,true,adaptive_multi,Z_source|H_y,ddpm,L_rec+L_koop+L_diff,eight_draw_mean,primary,,historical_design_diagnostic,true,diagnostic_increment_only,no_mechanism_support
