artifact_id,path,artifact_type,exists,size_bytes,sha256_or_root_hash,schema_status,read_authorized,status
benchmark,topics/02_AFML_BIG_WINNER/data/processed/index/benchmark_indices_daily.csv,file,true,998166,5a423eca433727c40eb59799301f31d49065bb17cd3bb49e61074af70d87e54d,pass,true,pass
config,topics/02_AFML_BIG_WINNER/experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/configs/config_21a_paper_lineage_pit_data_and_architecture_contract.yaml,file,true,14458,68e262124b80388dd9ca31d3995b0e31eb80fa426bd713b65f142a3cd9777ff6,pass,true,pass
ep19_censor,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/censoring_treatment_freeze.csv,file,true,391,ab6ede0b7e40c43b79865bf60bf2d875e371f323a695ddc0e820258f0c8529ae,pass,true,pass
ep19_cost,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/replay_cost_assumption_freeze.csv,file,true,515,2b164c5aff823b1ebddb679a93936dc3a637b4252ca10c8d4252d92e3bfee7ac,pass,true,pass
ep19_decision,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/entry_universe_preflight_decision.csv,file,true,1560,10a86f073207bd42ae16048fdd1604e6cbcea12c6a79c35b0c05f121a1e3456b,pass,true,pass
ep19_execution,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/entry_execution_convention_audit.csv,file,true,274,09d915c66d4be59d47ba508131e579affb0adb1c78914ccdf9689d733a79654d,pass,true,pass
ep19_hashes,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/output_hashes_19a_entry_universe_pit_lineage_tradability_and_data_contract.json,file,true,3203,e0989e06452a44d1f15c2d965b7ce04ffa77ccf848fa4be7a823510e5de8f18b,pass,true,pass
ep19_manifest,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/manifest_19a_entry_universe_pit_lineage_tradability_and_data_contract.json,file,true,4326,e3f54ca404ae0cac81f438ab61eb255a71c2c8f53a7b48e43039c3124035875c,pass,true,pass
ep20_cost_capacity,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20A_paper_lineage_data_and_replication_contract/freeze/turnover_cost_capacity_formula_freeze.csv,file,true,1470,b95a5bbe2f0edcb7726b7da35cc2d3886a62104fcfb2869d119ae50b2469e284,pass,true,pass
ep20_decision,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20A_paper_lineage_data_and_replication_contract/20A_preoutcome_contract_decision.csv,file,true,2349,40aff56b1aa3e7505ff63a373955e247d54d007f70eb1548c62853e5dbef948a,pass,true,pass
