gap_id,paper_disclosure_status,local_evidence,frozen_project_choice,choice_source,sensitivity_allowed,exact_replication_impact,blocking_for_project_adaptation,status
operator_count,not_disclosed_or_incomplete,five_page_vor_and_research_plan,4,21A_requirement,true,exact_replication_false,false,pass
latent_width,not_disclosed_or_incomplete,five_page_vor_and_research_plan,64,21A_requirement,true,exact_replication_false,false,pass
lstm_depth,not_disclosed_or_incomplete,five_page_vor_and_research_plan,1,21A_requirement,false,exact_replication_false,false,pass
gumbel_schedule,not_disclosed_or_incomplete,five_page_vor_and_research_plan,1.0_to_0.1_linear,21A_requirement,false,exact_replication_false,false,pass
ddpm_steps,not_disclosed_or_incomplete,five_page_vor_and_research_plan,20,21A_requirement,true,exact_replication_false,false,pass
beta_schedule,not_disclosed_or_incomplete,five_page_vor_and_research_plan,linear_1e-4_to_2e-2,21A_requirement,false,exact_replication_false,false,pass
optimizer,not_disclosed_or_incomplete,five_page_vor_and_research_plan,AdamW_lr_0.001,21A_requirement,false,exact_replication_false,false,pass
batch_size,not_disclosed_or_incomplete,five_page_vor_and_research_plan,mechanical_256_to_16,21A_requirement,false,exact_replication_false,false,pass
normalization,not_disclosed_or_incomplete,five_page_vor_and_research_plan,train_median_IQR,21A_requirement,false,exact_replication_false,false,pass
seed,not_disclosed_or_incomplete,five_page_vor_and_research_plan,20260713|20260714|20260715,21A_requirement,false,exact_replication_false,false,pass
inference_sampling,not_disclosed_or_incomplete,five_page_vor_and_research_plan,eight_draw_mean,21A_requirement,false,exact_replication_false,false,pass
TopK_rebalance,not_disclosed_or_incomplete,five_page_vor_and_research_plan,Top30_equal_weight,21A_requirement,false,exact_replication_false,false,pass
cost,not_disclosed_or_incomplete,five_page_vor_and_research_plan,EP19_EP20_inherited,21A_requirement,false,exact_replication_false,false,pass
official_code,not_disclosed_or_incomplete,five_page_vor_and_research_plan,not_disclosed,21A_requirement,false,exact_replication_false,false,pass
appendix,not_disclosed_or_incomplete,five_page_vor_and_research_plan,not_disclosed,21A_requirement,false,exact_replication_false,false,pass
