factor_id,paper_factor_name,required_raw_fields,available_raw_fields,availability_status,replication_action,local_formula_id,asof_policy,coverage_train_months,coverage_validation_months,coverage_robustness_months,coverage_train_instruments_median,coverage_validation_instruments_median,coverage_robustness_instruments_median,expected_train_months,expected_validation_months,expected_robustness_months,block_reason
SIZE,Size,market_cap_asof_T,market_cap_asof_T,available_full,retain,local_SIZE_market_cap_high_minus_low_v0,PIT market_cap_asof_T at signal_month_end S_m,52,24,24,156.0,227.0,222.5,53,24,24,
BM,Book-to-market / value,book equity; shareholder equity; market equity,market equity only,missing_required_fundamental_fields,remove,,requires PIT accounting announcement dates,0,0,0,,,,53,24,24,local PIT accounting fields and announcement timestamps are unavailable
GP,Gross profitability,gross profit; revenue/COGS; total assets,,missing_required_fundamental_fields,remove,,requires PIT accounting announcement dates,0,0,0,,,,53,24,24,local PIT accounting fields and announcement timestamps are unavailable
CINVEST,Investment,total assets; lagged total assets,,missing_required_fundamental_fields,remove,,requires PIT accounting announcement dates,0,0,0,,,,53,24,24,local PIT accounting fields and announcement timestamps are unavailable
ILL,Illiquidity,daily close return; money,daily close return; money,available_full,retain,local_ILL_amihud_21d_v0,"prior 21 trading days ending S_m, min 15 observations",52,24,24,155.5,226.0,222.0,53,24,24,
EP,Earnings-to-price,earnings; net income; market equity,market equity only,missing_required_fundamental_fields,remove,,requires PIT accounting announcement dates,0,0,0,,,,53,24,24,local PIT accounting fields and announcement timestamps are unavailable
ACC,Accruals,accrual statement components; operating cash flow,,missing_required_fundamental_fields,remove,,requires PIT accounting announcement dates,0,0,0,,,,53,24,24,local PIT accounting fields and announcement timestamps are unavailable
CFP,Cash-flow-to-price,operating cash flow; market equity,market equity only,missing_required_fundamental_fields,remove,,requires PIT accounting announcement dates,0,0,0,,,,53,24,24,local PIT accounting fields and announcement timestamps are unavailable
TURN,Turnover,volume; total_share,volume; total_share,available_full,retain,local_TURN_share_turnover_21d_v0,"prior 21 trading days ending S_m, min 15 observations",52,24,24,156.0,227.0,222.5,53,24,24,
BAB,Betting-against-beta,daily stock close returns; SH000300 close returns,daily stock close returns; SH000300 close returns,available_full,retain,local_BAB_beta_sort_252d_v0,"prior 252 trading days ending S_m, min 126 observations",52,24,24,156.0,227.0,222.5,53,24,24,
