family_id,grid_cell_id,parameter_hash,split,repair_variant_id,baseline_family,variant_role,candidate_row_key,baseline_row_key,baseline_instrument_id,baseline_decision_date,matching_weight,manifest_frozen_before_label_readout,label_read_before_manifest_freeze,row_source_hash,blocking_reason
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,original_calendar_time_random_same_budget,calendar_time_random_same_budget,primary_original_frozen,,SZ300450_2025-01-17,SZ300450,2025-01-17,1.0,True,False,d970e2bafa0cc8b6ed4ec45fb05fcd598355a0b584d3179c54340be3892e71ca,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,original_calendar_time_random_same_budget,calendar_time_random_same_budget,primary_original_frozen,,SH601236_2025-07-22,SH601236,2025-07-22,1.0,True,False,3d4e8ecaa1afbf6ad9c4b0b6410d774654be422a0b6d6f6527efd32452d44a8f,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,original_calendar_time_random_same_budget,calendar_time_random_same_budget,primary_original_frozen,,SZ300724_2024-10-16,SZ300724,2024-10-16,1.0,True,False,4613a62203d999a4394f1f031494ffb07c9c8dbf6f08b2b60d1ce91aa9c2e33d,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,original_calendar_time_random_same_budget,calendar_time_random_same_budget,primary_original_frozen,,SH600760_2025-05-20,SH600760,2025-05-20,1.0,True,False,41307c121b8776f6e9f28e3300cdd6d289d805ccdcc6325592ba462cf439d5f0,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,original_calendar_time_random_same_budget,calendar_time_random_same_budget,primary_original_frozen,,SH600570_2025-11-14,SH600570,2025-11-14,1.0,True,False,ec1ec26f34851e53a6532e3812409c785058327f431b36e90fc31442d6c83762,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,original_calendar_time_random_same_budget,calendar_time_random_same_budget,primary_original_frozen,,SH603296_2024-09-04,SH603296,2024-09-04,1.0,True,False,7cebd8e09fcef3c3659cb5a7e3c5603c1b66fb76b15f8a5877d96a26fa662aa5,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,original_calendar_time_random_same_budget,calendar_time_random_same_budget,primary_original_frozen,,SZ000063_2024-08-21,SZ000063,2024-08-21,1.0,True,False,26a81aa6d64533a478ce6d5f36a220b9ebee612b38c4fd0211ffebf79f0419eb,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,original_calendar_time_random_same_budget,calendar_time_random_same_budget,primary_original_frozen,,SH600026_2025-09-05,SH600026,2025-09-05,1.0,True,False,9747e6572476f14b56c77c18c7c73169f8f69ad78dd0cf4ac3d12991abffea81,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,original_calendar_time_random_same_budget,calendar_time_random_same_budget,primary_original_frozen,,SZ300207_2024-09-05,SZ300207,2024-09-05,1.0,True,False,d5ad72f7db8d70f3d2c4360f7f0c18c71070832b445e914c532703dc5699bd30,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,original_calendar_time_random_same_budget,calendar_time_random_same_budget,primary_original_frozen,,SZ001286_2024-07-05,SZ001286,2024-07-05,1.0,True,False,dfb81df6902df2cf036c20915162c9985c11ec8ecbadc6c0e0ffd534ba7482ed,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,original_calendar_time_random_same_budget,calendar_time_random_same_budget,primary_original_frozen,,SZ002128_2025-03-28,SZ002128,2025-03-28,1.0,True,False,b62a2003e381626d8a812d40ef2297f5d6c0165a4c61659cc5600d5959e7c552,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,original_calendar_time_random_same_budget,calendar_time_random_same_budget,primary_original_frozen,,SH600989_2024-06-04,SH600989,2024-06-04,1.0,True,False,f69b7fe0f6f590da7d67258818d4ad84fc0a124515b652d4db1a0dc0c70bffdc,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,original_calendar_time_random_same_budget,calendar_time_random_same_budget,primary_original_frozen,,SZ000002_2024-10-16,SZ000002,2024-10-16,1.0,True,False,c730071baa982dd5bbbe26e4a68f3b57537bd9882be801d987e3dea3f49cf763,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,original_calendar_time_random_same_budget,calendar_time_random_same_budget,primary_original_frozen,,SZ300418_2024-09-24,SZ300418,2024-09-24,1.0,True,False,c4b2e7100fafc8c69629030ee8983ccdfe178b025188a41e85f61efd65a16a3f,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,original_calendar_time_random_same_budget,calendar_time_random_same_budget,primary_original_frozen,,SH603369_2025-10-15,SH603369,2025-10-15,1.0,True,False,54d3849f4f6715e2cee49e0b733af23cb74a248a44adae7414b5a0bc1122445a,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,original_calendar_time_random_same_budget,calendar_time_random_same_budget,primary_original_frozen,,SZ301236_2024-09-05,SZ301236,2024-09-05,1.0,True,False,3169a5a7db9db62e2aa54058a00e4070190f606fb550295251878d1b8b613ab5,
