family_id,variant_id,family_variant_id,input_series,transform,lookback_window,threshold_grid,direction,confirmation_window,cooldown_or_density_window,missing_policy,event_regime_gating,event_t0_confirmation_time,fallback_policy,family_input_status
R1_relative_strength_breakout,ungated,R1_relative_strength_breakout__ungated,stock_daily + all_a benchmark,stock-vs-market multi-window relative strength threshold,5/10/20/60/120 sessions depending on formula spec,"{""close_to_ema60_min"": [0.0], ""stock_vs_market_10d"": [0.035], ""stock_vs_market_20d"": [0.06, 0.08]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,ungated,t0_close_next_open_executable,,runnable_existing_data
R1_relative_strength_breakout,event_regime_gated,R1_relative_strength_breakout__event_regime_gated,stock_daily + all_a benchmark,stock-vs-market multi-window relative strength threshold,5/10/20/60/120 sessions depending on formula spec,"{""close_to_ema60_min"": [0.0], ""stock_vs_market_10d"": [0.035], ""stock_vs_market_20d"": [0.06, 0.08]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,event_regime_gated,t0_close_next_open_executable,,runnable_existing_data
R2_near_high_volume_expansion,ungated,R2_near_high_volume_expansion__ungated,stock_daily,near rolling high plus volume/range quality expansion,5/10/20/60/120 sessions depending on formula spec,"{""amount_ratio_20d"": [1.5], ""close_position_in_range"": [0.65], ""near_high_60"": [0.96]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,ungated,t0_close_next_open_executable,,runnable_existing_data
R2_near_high_volume_expansion,event_regime_gated,R2_near_high_volume_expansion__event_regime_gated,stock_daily,near rolling high plus volume/range quality expansion,5/10/20/60/120 sessions depending on formula spec,"{""amount_ratio_20d"": [1.5], ""close_position_in_range"": [0.65], ""near_high_60"": [0.96]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,event_regime_gated,t0_close_next_open_executable,,runnable_existing_data
R3_vcp_breakout,ungated,R3_vcp_breakout__ungated,stock_daily,range contraction ratio plus upper-range positive breakout,5/10/20/60/120 sessions depending on formula spec,"{""amount_ratio_20d"": [1.15], ""close_position_in_range"": [0.7], ""range_width_ratio"": [0.7]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,ungated,t0_close_next_open_executable,,runnable_existing_data
R3_vcp_breakout,event_regime_gated,R3_vcp_breakout__event_regime_gated,stock_daily,range contraction ratio plus upper-range positive breakout,5/10/20/60/120 sessions depending on formula spec,"{""amount_ratio_20d"": [1.15], ""close_position_in_range"": [0.7], ""range_width_ratio"": [0.7]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,event_regime_gated,t0_close_next_open_executable,,runnable_existing_data
R4_industry_breadth_expansion,ungated,R4_industry_breadth_expansion__ungated,PIT industry classification,blocked PIT industry breadth expansion,5/10/20/60/120 sessions depending on formula spec,"{""industry_up_share_z"": [1.0]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,ungated,t0_close_next_open_executable,,family_data_blocked
R4_industry_breadth_expansion,event_regime_gated,R4_industry_breadth_expansion__event_regime_gated,PIT industry classification,blocked PIT industry breadth expansion,5/10/20/60/120 sessions depending on formula spec,"{""industry_up_share_z"": [1.0]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,event_regime_gated,t0_close_next_open_executable,,family_data_blocked
R5_growth_or_small_style_confirmation,ungated,R5_growth_or_small_style_confirmation__ungated,PIT board bucket style proxy,diagnostic board/style relative confirmation,5/10/20/60/120 sessions depending on formula spec,"{""board_relative_20d"": [0.03], ""stock_vs_board_20d"": [0.0]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,ungated,t0_close_next_open_executable,,diagnostic_only
R5_growth_or_small_style_confirmation,event_regime_gated,R5_growth_or_small_style_confirmation__event_regime_gated,PIT board bucket style proxy,diagnostic board/style relative confirmation,5/10/20/60/120 sessions depending on formula spec,"{""board_relative_20d"": [0.03], ""stock_vs_board_20d"": [0.0]}",positive_leadership_or_breakout,t0 close confirmation; next-open execution convention,20,missing feature disables trigger for that instrument-day; no forward fill from future dates,event_regime_gated,t0_close_next_open_executable,,diagnostic_only
