audit_item,status,value,notes
event_generation_scope,pass,events generated on evaluated Top-N/proxy instrument-days before episode linking,No target-only event search.
future_feature_leakage,pass,all formulas use t0 or trailing rolling windows,Forward MFE/first +50pct is used only in labels/evaluation.
next_open_execution_convention,pass,p04 observable execution_status,Same-day close features are next-open executable by convention.
event_instance_count,pass,238679,
canonical_event_count,pass,90576,
execution_label_R1_relative_strength_breakout__all_variants,pass,"{""candidate_scope_id"": ""R1_relative_strength_breakout__all_variants"", ""event_precision_label_complete_rate"": 0.9979097045824177, ""next_open_executable_rate"": 0.9986367074001955}",event-anchored label/execution completeness
execution_label_R1_relative_strength_breakout__event_regime_gated,pass,"{""candidate_scope_id"": ""R1_relative_strength_breakout__event_regime_gated"", ""event_precision_label_complete_rate"": 0.9974632764893833, ""next_open_executable_rate"": 0.9985682637438765}",event-anchored label/execution completeness
execution_label_R1_relative_strength_breakout__ungated,pass,"{""candidate_scope_id"": ""R1_relative_strength_breakout__ungated"", ""event_precision_label_complete_rate"": 0.9978211779530797, ""next_open_executable_rate"": 0.9987641565496593}",event-anchored label/execution completeness
execution_label_R2_near_high_volume_expansion__all_variants,pass,"{""candidate_scope_id"": ""R2_near_high_volume_expansion__all_variants"", ""event_precision_label_complete_rate"": 0.9973437532898076, ""next_open_executable_rate"": 0.9990312299974167}",event-anchored label/execution completeness
execution_label_R2_near_high_volume_expansion__event_regime_gated,pass,"{""candidate_scope_id"": ""R2_near_high_volume_expansion__event_regime_gated"", ""event_precision_label_complete_rate"": 0.9961818371607344, ""next_open_executable_rate"": 0.9987135144018447}",event-anchored label/execution completeness
execution_label_R2_near_high_volume_expansion__ungated,pass,"{""candidate_scope_id"": ""R2_near_high_volume_expansion__ungated"", ""event_precision_label_complete_rate"": 0.9974057715432507, ""next_open_executable_rate"": 0.9992276269000236}",event-anchored label/execution completeness
execution_label_R3_vcp_breakout__all_variants,pass,"{""candidate_scope_id"": ""R3_vcp_breakout__all_variants"", ""event_precision_label_complete_rate"": 0.9983021642739046, ""next_open_executable_rate"": 0.9995989448751076}",event-anchored label/execution completeness
execution_label_R3_vcp_breakout__event_regime_gated,pass,"{""candidate_scope_id"": ""R3_vcp_breakout__event_regime_gated"", ""event_precision_label_complete_rate"": 0.9979739229493281, ""next_open_executable_rate"": 0.9999190938511328}",event-anchored label/execution completeness
execution_label_R3_vcp_breakout__ungated,pass,"{""candidate_scope_id"": ""R3_vcp_breakout__ungated"", ""event_precision_label_complete_rate"": 0.9981936795714369, ""next_open_executable_rate"": 0.9995928472971354}",event-anchored label/execution completeness
execution_label_R5_growth_or_small_style_confirmation__all_variants,pass,"{""candidate_scope_id"": ""R5_growth_or_small_style_confirmation__all_variants"", ""event_precision_label_complete_rate"": 0.9994845360824742, ""next_open_executable_rate"": 0.9994845360824742}",event-anchored label/execution completeness
execution_label_R5_growth_or_small_style_confirmation__event_regime_gated,pass,"{""candidate_scope_id"": ""R5_growth_or_small_style_confirmation__event_regime_gated"", ""event_precision_label_complete_rate"": 0.9993127147766323, ""next_open_executable_rate"": 0.9993127147766323}",event-anchored label/execution completeness
execution_label_R5_growth_or_small_style_confirmation__ungated,pass,"{""candidate_scope_id"": ""R5_growth_or_small_style_confirmation__ungated"", ""event_precision_label_complete_rate"": 0.9994845360824742, ""next_open_executable_rate"": 0.9994845360824742}",event-anchored label/execution completeness
execution_label_R6_market_breadth_thrust__all_variants,pass,"{""candidate_scope_id"": ""R6_market_breadth_thrust__all_variants"", ""event_precision_label_complete_rate"": 0.9988059904042088, ""next_open_executable_rate"": 0.9989583860424014}",event-anchored label/execution completeness
execution_label_R6_market_breadth_thrust__event_regime_gated,pass,"{""candidate_scope_id"": ""R6_market_breadth_thrust__event_regime_gated"", ""event_precision_label_complete_rate"": 0.998608317266262, ""next_open_executable_rate"": 0.9988410730302997}",event-anchored label/execution completeness
execution_label_R6_market_breadth_thrust__ungated,pass,"{""candidate_scope_id"": ""R6_market_breadth_thrust__ungated"", ""event_precision_label_complete_rate"": 0.9989019654060702, ""next_open_executable_rate"": 0.9991184156225204}",event-anchored label/execution completeness
execution_label_R7_cross_sectional_momentum_rank_jump__all_variants,pass,"{""candidate_scope_id"": ""R7_cross_sectional_momentum_rank_jump__all_variants"", ""event_precision_label_complete_rate"": 0.9972474784130383, ""next_open_executable_rate"": 0.9987295712086248}",event-anchored label/execution completeness
execution_label_R7_cross_sectional_momentum_rank_jump__event_regime_gated,pass,"{""candidate_scope_id"": ""R7_cross_sectional_momentum_rank_jump__event_regime_gated"", ""event_precision_label_complete_rate"": 0.9965234683969015, ""next_open_executable_rate"": 0.9987466929899447}",event-anchored label/execution completeness
execution_label_R7_cross_sectional_momentum_rank_jump__ungated,pass,"{""candidate_scope_id"": ""R7_cross_sectional_momentum_rank_jump__ungated"", ""event_precision_label_complete_rate"": 0.9969494106840303, ""next_open_executable_rate"": 0.9988109711629666}",event-anchored label/execution completeness
execution_label_R8_persistent_distance_above_ema__all_variants,pass,"{""candidate_scope_id"": ""R8_persistent_distance_above_ema__all_variants"", ""event_precision_label_complete_rate"": 0.9989806329645208, ""next_open_executable_rate"": 0.9991902064554724}",event-anchored label/execution completeness
execution_label_R8_persistent_distance_above_ema__event_regime_gated,pass,"{""candidate_scope_id"": ""R8_persistent_distance_above_ema__event_regime_gated"", ""event_precision_label_complete_rate"": 0.9984308972534813, ""next_open_executable_rate"": 0.9987505045172426}",event-anchored label/execution completeness
execution_label_R8_persistent_distance_above_ema__ungated,pass,"{""candidate_scope_id"": ""R8_persistent_distance_above_ema__ungated"", ""event_precision_label_complete_rate"": 0.9989667729874507, ""next_open_executable_rate"": 0.999241564602127}",event-anchored label/execution completeness
execution_label_T3_style_rotation_break__all_variants,pass,"{""candidate_scope_id"": ""T3_style_rotation_break__all_variants"", ""event_precision_label_complete_rate"": 0.9979381443298969, ""next_open_executable_rate"": 0.9979381443298969}",event-anchored label/execution completeness
execution_label_T3_style_rotation_break__event_regime_gated,pass,"{""candidate_scope_id"": ""T3_style_rotation_break__event_regime_gated"", ""event_precision_label_complete_rate"": 0.9974226804123711, ""next_open_executable_rate"": 0.9974226804123711}",event-anchored label/execution completeness
execution_label_T3_style_rotation_break__ungated,pass,"{""candidate_scope_id"": ""T3_style_rotation_break__ungated"", ""event_precision_label_complete_rate"": 0.9979381443298969, ""next_open_executable_rate"": 0.9979381443298969}",event-anchored label/execution completeness
execution_label_T4_entropy_compression_then_directional_expansion__all_variants,pass,"{""candidate_scope_id"": ""T4_entropy_compression_then_directional_expansion__all_variants"", ""event_precision_label_complete_rate"": 0.9960274004391777, ""next_open_executable_rate"": 0.9960274004391777}",event-anchored label/execution completeness
execution_label_T4_entropy_compression_then_directional_expansion__event_regime_gated,pass,"{""candidate_scope_id"": ""T4_entropy_compression_then_directional_expansion__event_regime_gated"", ""event_precision_label_complete_rate"": 0.9954299895476554, ""next_open_executable_rate"": 0.9954299895476554}",event-anchored label/execution completeness
execution_label_T4_entropy_compression_then_directional_expansion__ungated,pass,"{""candidate_scope_id"": ""T4_entropy_compression_then_directional_expansion__ungated"", ""event_precision_label_complete_rate"": 0.9963745880581614, ""next_open_executable_rate"": 0.9963745880581614}",event-anchored label/execution completeness
execution_label_T5_volume_regime_shift__all_variants,pass,"{""candidate_scope_id"": ""T5_volume_regime_shift__all_variants"", ""event_precision_label_complete_rate"": 0.9978154602976185, ""next_open_executable_rate"": 0.9989573617684674}",event-anchored label/execution completeness
execution_label_T5_volume_regime_shift__event_regime_gated,pass,"{""candidate_scope_id"": ""T5_volume_regime_shift__event_regime_gated"", ""event_precision_label_complete_rate"": 0.9968904155546087, ""next_open_executable_rate"": 0.9986037816407779}",event-anchored label/execution completeness
execution_label_T5_volume_regime_shift__ungated,pass,"{""candidate_scope_id"": ""T5_volume_regime_shift__ungated"", ""event_precision_label_complete_rate"": 0.9978238941301397, ""next_open_executable_rate"": 0.9991375988080975}",event-anchored label/execution completeness
execution_label_T6_stock_vs_market_CUSUM_break__all_variants,pass,"{""candidate_scope_id"": ""T6_stock_vs_market_CUSUM_break__all_variants"", ""event_precision_label_complete_rate"": 0.9977050714605445, ""next_open_executable_rate"": 0.9983150355220152}",event-anchored label/execution completeness
execution_label_T6_stock_vs_market_CUSUM_break__event_regime_gated,pass,"{""candidate_scope_id"": ""T6_stock_vs_market_CUSUM_break__event_regime_gated"", ""event_precision_label_complete_rate"": 0.9970828423933752, ""next_open_executable_rate"": 0.9980035968049018}",event-anchored label/execution completeness
execution_label_T6_stock_vs_market_CUSUM_break__ungated,pass,"{""candidate_scope_id"": ""T6_stock_vs_market_CUSUM_break__ungated"", ""event_precision_label_complete_rate"": 0.997567471266703, ""next_open_executable_rate"": 0.9983895980954046}",event-anchored label/execution completeness
execution_label_T7_board_relative_strength_break__all_variants,pass,"{""candidate_scope_id"": ""T7_board_relative_strength_break__all_variants"", ""event_precision_label_complete_rate"": 0.9979381443298969, ""next_open_executable_rate"": 0.9979381443298969}",event-anchored label/execution completeness
execution_label_T7_board_relative_strength_break__event_regime_gated,pass,"{""candidate_scope_id"": ""T7_board_relative_strength_break__event_regime_gated"", ""event_precision_label_complete_rate"": 0.9974226804123711, ""next_open_executable_rate"": 0.9974226804123711}",event-anchored label/execution completeness
execution_label_T7_board_relative_strength_break__ungated,pass,"{""candidate_scope_id"": ""T7_board_relative_strength_break__ungated"", ""event_precision_label_complete_rate"": 0.9979381443298969, ""next_open_executable_rate"": 0.9979381443298969}",event-anchored label/execution completeness
execution_label_T8_volatility_regime_contraction_break__all_variants,pass,"{""candidate_scope_id"": ""T8_volatility_regime_contraction_break__all_variants"", ""event_precision_label_complete_rate"": 0.9984132074992519, ""next_open_executable_rate"": 0.9993186362523502}",event-anchored label/execution completeness
execution_label_T8_volatility_regime_contraction_break__event_regime_gated,pass,"{""candidate_scope_id"": ""T8_volatility_regime_contraction_break__event_regime_gated"", ""event_precision_label_complete_rate"": 0.9980393997961458, ""next_open_executable_rate"": 0.9993994870527083}",event-anchored label/execution completeness
execution_label_T8_volatility_regime_contraction_break__ungated,pass,"{""candidate_scope_id"": ""T8_volatility_regime_contraction_break__ungated"", ""event_precision_label_complete_rate"": 0.9983362477083892, ""next_open_executable_rate"": 0.9993523905098883}",event-anchored label/execution completeness
execution_label_all_new_candidate_union,pass,"{""candidate_scope_id"": ""all_new_candidate_union"", ""event_precision_label_complete_rate"": 0.9986138570189242, ""next_open_executable_rate"": 0.9993582714711686}",event-anchored label/execution completeness
execution_label_selected_candidate_union,pass,"{""candidate_scope_id"": ""selected_candidate_union"", ""event_precision_label_complete_rate"": 0.9947197622749281, ""next_open_executable_rate"": 0.9947197622749281}",event-anchored label/execution completeness
