split,error_type,seed_episode_id,instrument,episode_start_signal_date,exit_trigger_type,exit_signal_date,h20_after_cost_return,return_r,loss_r,captured_reference_event_id,price_structure_component,initial_risk_pct,audit_only_status
train,false_reject_winner,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600009_20180926_a8f501e168,SH600009,,close_below_seed_day_low|close_below_breakout_reference,2018-10-08,-0.1190291220561267,-0.6231385765773071,0.6231385765773071,,,0.02579262751528817,report_only
train,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600011_20180719_895e925521,SH600011,,natural_exit_h20,2018-08-17,-0.0777116592002467,-0.7916882807993053,0.7916882807993053,,,0.024539853969351218,report_only
train,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600011_20211213_2768bd0ad1,SH600011,,natural_exit_h20,2022-01-12,-0.12802649747020323,-0.9138444002656113,0.9138444002656113,,,0.03502415111177351,report_only
robustness,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600011_20240408_9e93f1cbca,SH600011,,natural_exit_h20,2024-05-10,-0.06662690724734643,-0.4663884470047355,0.4663884470047355,,,0.0357142783420351,report_only
train,false_reject_winner,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600019_20210301_08b4baa401,SH600019,,close_below_breakout_reference,2021-03-02,0.0017536458174982616,-0.15713584771144412,0.15713584771144412,,,0.022508017879094178,report_only
robustness,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600023_20240527_164eef45a3,SH600023,,natural_exit_h20,2024-06-26,-0.01727671249074303,-0.09671866590883658,0.09671866590883658,,,0.044657130886780985,report_only
train,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600048_20180115_fb0dbe9926,SH600048,,natural_exit_h20,2018-02-13,-0.09241683161123815,-0.8331519054373441,0.8331519054373441,,,0.027731086914674356,report_only
validation,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600050_20230301_611dc6ce7b,SH600050,,natural_exit_h20,2023-03-30,-0.10691804590516418,-0.4093434974849509,0.4093434974849509,,,0.06529848804370889,report_only
train,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600061_20190225_8b3653a87f,SH600061,,natural_exit_h20,2019-03-26,-0.03894712120823651,-0.10697297087230989,0.10697297087230989,,,0.09102093942666696,report_only
validation,false_reject_winner,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600085_20220331_947b6d28b8,SH600085,,close_below_breakout_reference,2022-04-01,-0.13123349260254935,-0.0076869414374953725,0.0076869414374953725,,,0.025828595842633927,report_only
validation,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600085_20220613_a94dbac519,SH600085,,natural_exit_h20,2022-07-12,-0.02991488374104667,-0.12420949951519829,0.12420949951519829,,,0.060210539165296055,report_only
robustness,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600089_20251103_20c5def793,SH600089,,natural_exit_h20,2025-12-02,-0.03101509622010723,-0.13241049108113367,0.13241049108113367,,,0.05855860809605889,report_only
validation,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600115_20221207_857c0b4888,SH600115,,natural_exit_h20,2023-01-06,-0.05798098471728841,-0.41166537164607003,0.41166537164607003,,,0.03521123508970877,report_only
validation,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600150_20230620_bb4ae24275,SH600150,,natural_exit_h20,2023-07-21,-0.07076911148217147,-0.226418991142309,0.226418991142309,,,0.07813954907794331,report_only
robustness,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600160_20250506_795e3cda53,SH600160,,natural_exit_h20,2025-06-05,-0.04794708355261357,-0.1595116758599321,0.1595116758599321,,,0.07514666762500212,report_only
train,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600176_20180102_81bc5d5477,SH600176,,natural_exit_h20,2018-01-31,-0.08810616580618313,-0.2758438292492865,0.2758438292492865,,,0.07985149246039462,report_only
validation,false_reject_winner,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600188_20220608_5e1bcbed11,SH600188,,close_below_breakout_reference,2022-06-16,-0.10899622359327898,-0.397974257183918,0.397974257183918,,,0.06376264009800689,report_only
robustness,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600188_20240219_0d51ddf277,SH600188,,natural_exit_h20,2024-03-19,-0.07080185407429929,-0.26885555101826253,0.26885555101826253,,,0.065836332750193,report_only
robustness,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600236_20240701_c94aee6487,SH600236,,natural_exit_h20,2024-07-30,-0.10783117205263615,-0.4358176492493777,0.4358176492493777,,,0.0618556707365782,report_only
validation,false_reject_winner,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600256_20220303_836a8c4c6b,SH600256,,close_below_seed_day_low,2022-03-08,0.08610459839410867,-0.27971333309080665,0.27971333309080665,,,0.07037039032034714,report_only
train,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600276_20180319_bc462f362b,SH600276,,natural_exit_h20,2018-04-19,-0.041026491541228616,-0.2979231294386625,0.2979231294386625,,,0.03442707823535676,report_only
train,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600346_20180507_1382be0214,SH600346,,natural_exit_h20,2018-06-05,-0.013069135672509224,-0.10248373874602698,0.10248373874602698,,,0.0318809984696618,report_only
train,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600346_20201116_62e4d3e185,SH600346,,natural_exit_h20,2020-12-15,-0.015569409940235701,-0.11949541537811115,0.11949541537811115,,,0.0325732369961025,report_only
train,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600362_20210426_75b2272636,SH600362,,natural_exit_h20,2021-05-28,-0.04825788584319568,-0.5433557939648349,0.5433557939648349,,,0.022203630834163355,report_only
robustness,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600377_20240205_50ca496a6c,SH600377,,natural_exit_h20,2024-03-13,-0.04664011232014975,-0.4171275424293928,0.4171275424293928,,,0.027953148363515534,report_only
train,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600406_20211125_3e10d7d89d,SH600406,,natural_exit_h20,2021-12-24,-0.010967098703888234,-0.03476570372804893,0.03476570372804893,,,0.0788643514142358,report_only
robustness,false_reject_winner,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600415_20250327_156c961a28,SH600415,,close_below_seed_day_low|close_below_breakout_reference,2025-04-07,0.016655743951911273,-0.4879823020083607,0.4879823020083607,,,0.07016353305403929,report_only
robustness,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600418_20250611_8a7f46e810,SH600418,,natural_exit_h20,2025-07-10,-0.06044226798033725,-0.5421731523805666,0.5421731523805666,,,0.027870371169684514,report_only
robustness,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600489_20240705_09350ad8cb,SH600489,,natural_exit_h20,2024-08-05,-0.05233348495148049,-0.1404460483514297,0.1404460483514297,,,0.0931558515988459,report_only
train,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600516_20180104_5735923af8,SH600516,,natural_exit_h20,2018-02-02,-0.2518509739889241,-0.5873866262988607,0.5873866262988607,,,0.1071913126350203,report_only
validation,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600536_20230120_a11cc0ee3d,SH600536,,natural_exit_h20,2023-02-27,-0.11591986777015806,-0.3553467552605111,0.3553467552605111,,,0.08155404970925871,report_only
robustness,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600547_20250613_ee28641ded,SH600547,,natural_exit_h20,2025-07-14,-0.02345487583208794,-0.21854415883720116,0.21854415883720116,,,0.02683081986368719,report_only
robustness,false_reject_winner,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600549_20250901_b449512a79,SH600549,,close_below_seed_day_low|close_below_breakout_reference,2025-09-03,-0.07374367271981297,-0.32774792809728376,0.32774792809728376,,,0.06499850590055782,report_only
robustness,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600549_20251027_9ad8df28ea,SH600549,,natural_exit_h20,2025-11-25,-0.0737000772236861,-0.3771204801002133,0.3771204801002133,,,0.04885711669921875,report_only
train,missed_failure,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600563_20211110_c987e733e3,SH600563,,natural_exit_h20,2021-12-09,-0.03309567980880135,-0.18453005075232312,0.18453005075232312,,,0.04483779156006206,report_only
