artifact_key,artifact_role,required_flag,resolver_alias,resolved_path,relative_path,source_experiment_id,source_phase_id,row_count,sha256,source_kind,schema_status,read_status,expected_row_n,observed_row_n,cache_hash_validated,cache_schema_validated,cache_key_reconciliation_gate,absolute_path_mismatch_ignored,blocking_reason
research_plan,ep18_local_planning,required,research_plan,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/research_plan.md,experiments/pending/18_payoff_state_representation_research/research_plan.md,18_payoff_state_representation_research,18,1135,0687c6cc2f95d4e00323d49988bc738fe4bb51652845e1881380a4ff1b72e412,publishable_or_local_cache,pass,pass,,1135,not_manifested,True,pass,False,
umbrella_requirement,ep18_local_planning,required,umbrella_requirement,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/requirement_18_payoff_state_representation_research.md,experiments/pending/18_payoff_state_representation_research/requirement_18_payoff_state_representation_research.md,18_payoff_state_representation_research,18,238,90a21c0e37138310f7d879dab9943b941c96db64327f5cc6b2062df1a3c8b3ba,publishable_or_local_cache,pass,pass,,238,not_manifested,True,pass,False,
requirement_18c_base,ep18_local_planning,required,requirement_18c_base,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/requirement_18c_payoff_state_separability_diagnostic.md,experiments/pending/18_payoff_state_representation_research/requirement_18c_payoff_state_separability_diagnostic.md,18_payoff_state_representation_research,18C,1458,6c5f26a212261286bd0f63e78cc20f4a3f40dedf127ac7b7bee2721387f5ae09,publishable_or_local_cache,pass,pass,,1458,not_manifested,True,pass,False,
requirement_18c_refresh,ep18_local_planning,required,requirement_18c_refresh,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/requirement_18c_refresh_payoff_state_separability_diagnostic.md,experiments/pending/18_payoff_state_representation_research/requirement_18c_refresh_payoff_state_separability_diagnostic.md,18_payoff_state_representation_research,18C,790,6bcc1ae10179865231f09c96cd67e14028058e5e68794dedbebaca941b9364c9,publishable_or_local_cache,pass,pass,,790,not_manifested,True,pass,False,
requirement_18e,ep18_local_planning,required,requirement_18e,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/requirement_18e_payoff_state_feature_matrix_refresh.md,experiments/pending/18_payoff_state_representation_research/requirement_18e_payoff_state_feature_matrix_refresh.md,18_payoff_state_representation_research,18E,1770,ef6b73ea13a9c3b1f9424d1d06abb682e22b4ed11422d7dd264d0fb727d139fa,publishable_or_local_cache,pass,pass,,1770,not_manifested,True,pass,False,
eighteen_e_refreshed_matrix,eighteen_e_handoff_matrix,required,eighteen_e_refreshed_matrix,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/local_cache/18E_payoff_state_feature_matrix_refresh/refreshed_payoff_state_feature_matrix.parquet,experiments/pending/18_payoff_state_representation_research/outputs/local_cache/18E_payoff_state_feature_matrix_refresh/refreshed_payoff_state_feature_matrix.parquet,18_payoff_state_representation_research,18E,,,publishable_or_local_cache,fail,missing,,,missing,False,fail,False,missing;missing_local_cache_refreshed_matrix;rerun_18e_full_to_regenerate
eighteen_e_decision,eighteen_e_handoff,required,eighteen_e_decision,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/refreshed_feature_matrix_decision.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/refreshed_feature_matrix_decision.csv,18_payoff_state_representation_research,18E,1,a1947a031c354e974130a4322272c883162f09658bf4fec3fbde018fc7cc7658,publishable_or_local_cache,pass,pass,,1,exact_match,True,pass,False,
eighteen_e_schema,eighteen_e_handoff,required,eighteen_e_schema,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/refreshed_feature_matrix_schema.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/refreshed_feature_matrix_schema.csv,18_payoff_state_representation_research,18E,127,56429807004c0d3ad69101c87d1f125b4c8e33713d702f53f251002fea235a26,publishable_or_local_cache,pass,pass,,127,exact_match,True,pass,False,
eighteen_e_family_coverage,eighteen_e_handoff,required,eighteen_e_family_coverage,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/refreshed_feature_family_coverage.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/refreshed_feature_family_coverage.csv,18_payoff_state_representation_research,18E,10,bcbbb94dd4a72d272fade5a335c2804eaa48ff7e766642451e85748391de89e0,publishable_or_local_cache,pass,pass,,10,exact_match,True,pass,False,
eighteen_e_lineage_audit,eighteen_e_handoff,required,eighteen_e_lineage_audit,/Users/xiaowang/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/refreshed_feature_lineage_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/refreshed_feature_lineage_audit.csv,18_payoff_state_representation_research,18E,49,1f622f7bd8d69e2eb805df2dd9d40736f50201c436f40575d864b6c2dbd9998a,publishable_or_local_cache,fail,pass,,49,exact_match,False,fail,False,"schema_missing:feature_lineage_gate,feature_name"
