stage_id,stage_name,stage_order,started_at_utc,finished_at_utc,input_artifact_hashes,output_artifact_hashes,stage_status
1,upstream authority check for EP3 P0 and P0.5,1,2026-05-10T15:58:13.495681+00:00,2026-05-10T15:58:13.495691+00:00,,a5815a7fb42464ae206fa9af1404a567c4232164d0971e661094e8d6b9dbbd0a,passed
2,P0.5 transition-decision validation,2,2026-05-10T15:58:13.495759+00:00,2026-05-10T15:58:13.495760+00:00,,dcf64dd7d6eaed1eaae24f67d0d02524c86acd9b064461c8c3a2ab29b11ad0e2,passed
3,train-only lifecycle deferred-family source audit,3,2026-05-10T15:58:13.495782+00:00,2026-05-10T15:58:13.495783+00:00,,8f8bdadf42d37e1fbc0a99ee73ac871d4a9e3ab7df4306931d9ea6c66358c185,passed
4,formula dictionary and formula diagnostic precompute,4,2026-05-10T15:58:13.495799+00:00,2026-05-10T15:58:13.495801+00:00,,5463de8446f488aa208ad18fe22b9e0139ea2df7d270757ee68e79c9e17952bb,passed
5,train-only diagnostic bin freeze,5,2026-05-10T15:58:13.511190+00:00,2026-05-10T15:58:13.511205+00:00,,f2bec46eef4a5ff28ede38f9179cfbc45c921d427a0fed6a98750ef3eca4b8c8,passed
6,deferred-family event panel construction,6,2026-05-10T15:58:13.511295+00:00,2026-05-10T15:58:13.511297+00:00,,c4f6c271cd23e6d28c2a3a62f648d0dbe0ba3d422598a6c7ce5aa6163ffef599,passed
7,matched baseline construction,7,2026-05-10T15:58:13.511689+00:00,2026-05-10T15:58:13.511694+00:00,,84ef91ba92be9676169cbef2642b13ab34b9ea1e16d6f82171141b3d31f7acd6,passed
8,forward-audit metric computation,8,2026-05-10T15:58:13.512012+00:00,2026-05-10T15:58:13.512014+00:00,,26e9faddd41d82a94e377f9ff7746196fa86751a945fb2077283c918b3fdb944,passed
9,A/C failure attribution and comparison,9,2026-05-10T15:58:13.512364+00:00,2026-05-10T15:58:13.512365+00:00,,cd1d7ffc47c530330810776fe4f702cc70786523b18effcb538d30496b6f9b7e,passed
10,"gate audit, decision report, and manifest",10,2026-05-10T15:58:13.512381+00:00,2026-05-10T15:58:13.512382+00:00,,6579127c042c6378cb16c424adce94990458bfc2bd1d8c1093be6c715cd0364c,passed
