instrument_id,canonical_instrument_id,hash_input_description,hash_value,instrument_fold_id,train_signal_count,validation_signal_count,robustness_signal_count
SH600000,SH600000,utf-8 bytes of canonical_instrument_id.lower(),1417245297302032171,1,226,98,102
SH600009,SH600009,utf-8 bytes of canonical_instrument_id.lower(),11933031515010547599,4,219,93,102
SH600010,SH600010,utf-8 bytes of canonical_instrument_id.lower(),17816710807505796288,3,211,98,102
SH600011,SH600011,utf-8 bytes of canonical_instrument_id.lower(),3557927119484380702,2,223,98,102
SH600015,SH600015,utf-8 bytes of canonical_instrument_id.lower(),5595151334597923595,0,226,98,102
SH600016,SH600016,utf-8 bytes of canonical_instrument_id.lower(),2700761143974948197,2,226,98,102
SH600018,SH600018,utf-8 bytes of canonical_instrument_id.lower(),10084013711527245509,4,213,98,102
SH600019,SH600019,utf-8 bytes of canonical_instrument_id.lower(),9119916285931973197,2,226,98,102
SH600023,SH600023,utf-8 bytes of canonical_instrument_id.lower(),8650730610790598656,1,129,47,102
SH600028,SH600028,utf-8 bytes of canonical_instrument_id.lower(),8852698774367570,0,226,98,102
SH600029,SH600029,utf-8 bytes of canonical_instrument_id.lower(),7095630126084730499,4,226,98,102
SH600030,SH600030,utf-8 bytes of canonical_instrument_id.lower(),12135322474473874681,1,215,92,102
SH600031,SH600031,utf-8 bytes of canonical_instrument_id.lower(),16720165370871645186,1,226,98,102
SH600036,SH600036,utf-8 bytes of canonical_instrument_id.lower(),17291114755870014956,1,226,98,102
SH600048,SH600048,utf-8 bytes of canonical_instrument_id.lower(),538011415161671251,1,226,98,102
SH600061,SH600061,utf-8 bytes of canonical_instrument_id.lower(),7298950712510948676,1,175,6,12
SH600104,SH600104,utf-8 bytes of canonical_instrument_id.lower(),14847275108754736627,2,226,98,102
SH600111,SH600111,utf-8 bytes of canonical_instrument_id.lower(),9223889887633521813,3,71,98,102
SH600115,SH600115,utf-8 bytes of canonical_instrument_id.lower(),9838529578980911552,2,226,98,102
SH600188,SH600188,utf-8 bytes of canonical_instrument_id.lower(),2713204944936004410,0,144,98,102
SH600196,SH600196,utf-8 bytes of canonical_instrument_id.lower(),6320137737254384801,1,226,98,102
SH600221,SH600221,utf-8 bytes of canonical_instrument_id.lower(),16801483960535203151,1,21,0,0
SH600233,SH600233,utf-8 bytes of canonical_instrument_id.lower(),15554828251848468161,1,22,84,56
SH600276,SH600276,utf-8 bytes of canonical_instrument_id.lower(),11807936126469848044,4,226,98,102
SH600297,SH600297,utf-8 bytes of canonical_instrument_id.lower(),15954111988565335260,0,49,0,0
SH600309,SH600309,utf-8 bytes of canonical_instrument_id.lower(),7576403692358742169,4,186,98,102
SH600340,SH600340,utf-8 bytes of canonical_instrument_id.lower(),13037035908217367199,4,173,0,0
SH600362,SH600362,utf-8 bytes of canonical_instrument_id.lower(),759684781047063346,1,161,98,102
SH600383,SH600383,utf-8 bytes of canonical_instrument_id.lower(),2848980946693247687,2,160,32,0
SH600390,SH600390,utf-8 bytes of canonical_instrument_id.lower(),11640575928863328504,4,5,0,0
SH600518,SH600518,utf-8 bytes of canonical_instrument_id.lower(),2302454761884309694,4,77,0,0
SH600519,SH600519,utf-8 bytes of canonical_instrument_id.lower(),11752567232767640977,2,226,98,102
SH600547,SH600547,utf-8 bytes of canonical_instrument_id.lower(),1789668154193146039,4,200,98,102
SH600585,SH600585,utf-8 bytes of canonical_instrument_id.lower(),7009993481871309545,0,226,98,102
SH600606,SH600606,utf-8 bytes of canonical_instrument_id.lower(),6735295050270560977,2,221,18,0
SH600637,SH600637,utf-8 bytes of canonical_instrument_id.lower(),1705639754948885791,1,11,0,0
SH600660,SH600660,utf-8 bytes of canonical_instrument_id.lower(),6438422762726255542,2,216,98,102
SH600663,SH600663,utf-8 bytes of canonical_instrument_id.lower(),12664320371579228778,3,65,1,12
SH600688,SH600688,utf-8 bytes of canonical_instrument_id.lower(),4488597767845622899,4,76,0,0
SH600690,SH600690,utf-8 bytes of canonical_instrument_id.lower(),326720425605163549,4,222,98,102
