filter_family,filter_variant,filter_formula,filter_formula_resolved,required_features,required_thresholds,signal_date_definition,formula_window_trading_days,filter_formula_observation_timing,effective_date_rule,filter_action,filter_severity,uses_quantile_alias,quantile_alias_resolved_text
break_launch_low_filter,break_launch_low_3d,low < stratum_low_at_signal,low < stratum_low_at_signal,low;stratum_low_at_signal,,first_hit_within_window,3,close_derived,next_trading_day_open,remove_from_watchlist,high,False,
break_launch_low_filter,break_launch_low_5d,low < stratum_low_at_signal,low < stratum_low_at_signal,low;stratum_low_at_signal,,first_hit_within_window,5,close_derived,next_trading_day_open,remove_from_watchlist,high,False,
break_median20_or_ema20_filter,break_ema20_after_launch_5d,close <= ema20,close <= ema20,close;ema20,,first_hit_within_window,5,close_derived,next_trading_day_open,no_new_entry,medium,False,
break_median20_or_ema20_filter,break_median20_after_launch_5d,close <= median20,close <= median20,close;median20,,first_hit_within_window,5,close_derived,next_trading_day_open,no_new_entry,medium,False,
gap_fade_filter,gap_fade_after_launch_5d,open >= prior_close * (1 + thresholds.gap_up_min_ret) and close_location <= thresholds.gap_fade_after_launch_5d__close_location__max and close <= open,open >= prior_close * (1 + 0.03) and close_location <= 0.35 and close <= open,open;prior_close;close_location;close,thresholds.gap_up_min_ret;thresholds.gap_fade_after_launch_5d__close_location__max,instantaneous_day,5,close_derived,next_trading_day_open,reduce_risk,medium,False,
gap_fade_filter,gap_fade_break_prior_close_5d,open >= prior_close * (1 + thresholds.gap_up_min_ret) and close <= prior_close and close_location <= thresholds.gap_fade_break_prior_close_5d__close_location__max,open >= prior_close * (1 + 0.03) and close <= prior_close and close_location <= 0.40,open;prior_close;close;close_location,thresholds.gap_up_min_ret;thresholds.gap_fade_break_prior_close_5d__close_location__max,instantaneous_day,5,close_derived,next_trading_day_open,reduce_risk,medium,False,
upper_shadow_volume_failure_filter,upper_shadow_volume_failure_5d,upper_shadow_pct >= thresholds.upper_shadow_volume_failure_5d__upper_shadow_pct__min and close_location <= thresholds.upper_shadow_volume_failure_5d__close_location__max and money_ratio_20 >= thresholds.upper_shadow_volume_failure_5d__money_ratio_20__min,upper_shadow_pct >= 0.45 and close_location <= 0.40 and money_ratio_20 >= 1.50,upper_shadow_pct;close_location;money_ratio_20,thresholds.upper_shadow_volume_failure_5d__upper_shadow_pct__min;thresholds.upper_shadow_volume_failure_5d__close_location__max;thresholds.upper_shadow_volume_failure_5d__money_ratio_20__min,instantaneous_day,5,close_derived,next_trading_day_open,reduce_risk,high,False,
upper_shadow_volume_failure_filter,upper_shadow_money_distribution_10d,upper_shadow_pct >= thresholds.upper_shadow_money_distribution_10d__upper_shadow_pct__min and close_location <= thresholds.upper_shadow_money_distribution_10d__close_location__max and money_ratio_20 >= thresholds.upper_shadow_money_distribution_10d__money_ratio_20__min,upper_shadow_pct >= 0.40 and close_location <= 0.45 and money_ratio_20 >= 1.30,upper_shadow_pct;close_location;money_ratio_20,thresholds.upper_shadow_money_distribution_10d__upper_shadow_pct__min;thresholds.upper_shadow_money_distribution_10d__close_location__max;thresholds.upper_shadow_money_distribution_10d__money_ratio_20__min,instantaneous_day,10,close_derived,next_trading_day_open,reduce_risk,medium,False,
rank_evaporation_filter,rank_evaporation_5d,ret_rank_20d_market <= ret_rank_20d_market_at_stratum - thresholds.rank_drop and ret_rank_20d_market <= thresholds.rank_evaporation_floor,ret_rank_20d_market <= ret_rank_20d_market_at_stratum - 0.25 and ret_rank_20d_market <= 0.50,ret_rank_20d_market;ret_rank_20d_market_at_stratum,thresholds.rank_drop;thresholds.rank_evaporation_floor,first_hit_within_window,5,close_derived,next_trading_day_open,no_new_entry,medium,False,
rank_evaporation_filter,rank_evaporation_10d,ret_rank_20d_market <= ret_rank_20d_market_at_stratum - thresholds.rank_drop and ret_rank_20d_market <= thresholds.rank_evaporation_floor,ret_rank_20d_market <= ret_rank_20d_market_at_stratum - 0.25 and ret_rank_20d_market <= 0.50,ret_rank_20d_market;ret_rank_20d_market_at_stratum,thresholds.rank_drop;thresholds.rank_evaporation_floor,first_hit_within_window,10,close_derived,next_trading_day_open,no_new_entry,medium,False,
money_distribution_filter,money_distribution_5d,money_ratio_20 >= thresholds.money_distribution_5d__money_ratio_20__min and close_location <= thresholds.money_distribution_5d__close_location__max and close < prior_close,money_ratio_20 >= 1.30 and close_location <= 0.45 and close < prior_close,money_ratio_20;close_location;close;prior_close,thresholds.money_distribution_5d__money_ratio_20__min;thresholds.money_distribution_5d__close_location__max,instantaneous_day,5,close_derived,next_trading_day_open,reduce_risk,medium,False,
money_distribution_filter,money_distribution_10d,money_ratio_20 >= thresholds.money_distribution_10d__money_ratio_20__min and upper_shadow_pct >= thresholds.money_distribution_10d__upper_shadow_pct__min and close < open,money_ratio_20 >= 1.20 and upper_shadow_pct >= 0.35 and close < open,money_ratio_20;upper_shadow_pct;close;open,thresholds.money_distribution_10d__money_ratio_20__min;thresholds.money_distribution_10d__upper_shadow_pct__min,instantaneous_day,10,close_derived,next_trading_day_open,reduce_risk,medium,False,
industry_breadth_evaporation_filter,industry_breadth_evaporation_5d,industry_breadth_20d <= industry_breadth_20d_at_stratum - thresholds.industry_breadth_drop,industry_breadth_20d <= industry_breadth_20d_at_stratum - 0.15,industry_breadth_20d;industry_breadth_20d_at_stratum,thresholds.industry_breadth_drop,first_hit_within_window,5,close_derived,next_trading_day_open,hold_review_only,medium,False,
industry_breadth_evaporation_filter,industry_breadth_evaporation_10d,industry_breadth_20d <= industry_breadth_20d_at_stratum - thresholds.industry_breadth_drop,industry_breadth_20d <= industry_breadth_20d_at_stratum - 0.15,industry_breadth_20d;industry_breadth_20d_at_stratum,thresholds.industry_breadth_drop,first_hit_within_window,10,close_derived,next_trading_day_open,hold_review_only,medium,False,
no_followthrough_filter,no_followthrough_5d,max(high over stratum_date+1 to stratum_date+5) <= stratum_close_at_signal * (1 + thresholds.min_followthrough_gain) and min(close over stratum_date+1 to stratum_date+5) < stratum_close_at_signal,max(high over window) <= stratum_close_at_signal * (1 + 0.05) and min(close over window) < stratum_close_at_signal,high;close;stratum_close_at_signal,thresholds.min_followthrough_gain,fixed_window_end,5,close_derived,next_trading_day_open,no_new_entry,medium,False,
no_followthrough_filter,no_followthrough_10d,max(high over stratum_date+1 to stratum_date+10) <= stratum_close_at_signal * (1 + thresholds.min_followthrough_gain) and min(close over stratum_date+1 to stratum_date+10) < stratum_close_at_signal,max(high over window) <= stratum_close_at_signal * (1 + 0.05) and min(close over window) < stratum_close_at_signal,high;close;stratum_close_at_signal,thresholds.min_followthrough_gain,fixed_window_end,10,close_derived,next_trading_day_open,no_new_entry,medium,False,
destructive_high_vol_filter,destructive_high_vol_3d,atr20_pct >= q80_market and close_location <= thresholds.destructive_high_vol_3d__close_location__max and close < median20,"atr20_pct >= cross_section_quantile(atr20_pct, 0.80, date, PIT universe) and close_location <= 0.40 and close < median20",atr20_pct;close_location;close;median20,thresholds.destructive_high_vol_3d__close_location__max,first_hit_within_window,3,close_derived,next_trading_day_open,remove_from_watchlist,high,True,"atr20_pct >= cross_section_quantile(atr20_pct, 0.80, date, PIT universe) and close_location <= 0.40 and close < median20"
destructive_high_vol_filter,destructive_high_vol_5d,atr20_pct >= q80_market and close_location <= thresholds.destructive_high_vol_5d__close_location__max and close < median20,"atr20_pct >= cross_section_quantile(atr20_pct, 0.80, date, PIT universe) and close_location <= 0.40 and close < median20",atr20_pct;close_location;close;median20,thresholds.destructive_high_vol_5d__close_location__max,first_hit_within_window,5,close_derived,next_trading_day_open,remove_from_watchlist,high,True,"atr20_pct >= cross_section_quantile(atr20_pct, 0.80, date, PIT universe) and close_location <= 0.40 and close < median20"
