entry_family,entry_variant_id,allowed_launch_families,excluded_launch_families,signal_window_start_after_launch,signal_window_end_after_launch,entry_signal_condition,entry_signal_date_definition,entry_execution_lag_trading_days,entry_execution_price_reference,entry_execution_assumption,invalidation_rule_id,invalidation_price_reference,pre_entry_failure_filter_ids,post_entry_invalidation_audit_ids,primary_leaderboard_eligible,same_close_proxy_allowed
price_hold_after_launch,hold_3d_close_ge_launch_close,expansion_high_volatility;high_vol_money_upper_close;rank_jump_leadership;repair_reclaim,,3,3,launch+3 close >= launch close,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,launch_low_stop,launch_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True,False
price_hold_after_launch,hold_5d_close_ge_launch_close,expansion_high_volatility;high_vol_money_upper_close;rank_jump_leadership;repair_reclaim,,5,5,launch+5 close >= launch close,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,launch_low_stop,launch_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True,False
price_hold_after_launch,hold_10d_close_ge_launch_close,expansion_high_volatility;high_vol_money_upper_close;rank_jump_leadership;repair_reclaim,,10,10,launch+10 close >= launch close,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,launch_low_stop,launch_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True,False
price_hold_after_launch,hold_20d_close_ge_launch_close,expansion_high_volatility;high_vol_money_upper_close;rank_jump_leadership;repair_reclaim,,20,20,launch+20 close >= launch close,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,launch_low_stop,launch_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True,False
price_hold_after_launch,hold_3d_low_ge_launch_low,expansion_high_volatility;high_vol_money_upper_close;rank_jump_leadership;repair_reclaim,,3,3,launch+3 window low >= launch low,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,launch_low_stop,launch_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True,False
price_hold_after_launch,hold_5d_low_ge_launch_low,expansion_high_volatility;high_vol_money_upper_close;rank_jump_leadership;repair_reclaim,,5,5,launch+5 window low >= launch low,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,launch_low_stop,launch_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True,False
price_hold_after_launch,hold_10d_low_ge_launch_low,expansion_high_volatility;high_vol_money_upper_close;rank_jump_leadership;repair_reclaim,,10,10,launch+10 window low >= launch low,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,launch_low_stop,launch_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True,False
price_hold_after_launch,hold_3d_close_above_ema20,expansion_high_volatility;high_vol_money_upper_close;rank_jump_leadership;repair_reclaim,,3,3,launch+3 close >= ema20,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,ema20_stop,ema20,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True,False
price_hold_after_launch,hold_5d_close_above_median20,expansion_high_volatility;high_vol_money_upper_close;rank_jump_leadership;repair_reclaim,,5,5,launch+5 close >= median20,signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,median20_stop,median20,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True,False
pullback_hold_entry,pullback_3_8_reclaim_ema20,expansion_high_volatility;high_vol_money_upper_close;rank_jump_leadership;repair_reclaim;first_limit_up_like;first_near_limit_up_like;gap_up_upper_close;strong_body_day,,3,20,"3%-8% pullback, no launch-low break, money contraction, close reclaims ema20",signal generated at the first close satisfying the condition; entry_date is next trading day,1,next_open,next_open,pullback_low_stop,pullback_low,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True,False
