target_industry,model_task,fold_id,fold_trainability_pass,aggregate_trainability_pass,sample_sufficiency_pass,sample_sufficiency_fail_reason,diagnostic_only_due_to_insufficient_sample,candidate_for_industry_p1_refine_allowed
汽车,industry_failure_reject_score_lgbm,fold_2024,False,False,False,fold_trainability_gate_failed,True,False
交通运输,industry_failure_reject_score_lgbm,fold_2020,False,False,False,fold_trainability_gate_failed,True,False
交通运输,industry_failure_reject_score_lgbm,fold_2021,False,False,False,fold_trainability_gate_failed,True,False
交通运输,industry_failure_reject_score_lgbm,fold_2022,False,False,False,fold_trainability_gate_failed,True,False
交通运输,industry_failure_reject_score_lgbm,fold_2023,False,False,False,fold_trainability_gate_failed,True,False
交通运输,industry_failure_reject_score_lgbm,fold_2024,False,False,False,fold_trainability_gate_failed,True,False
机械设备,industry_failure_reject_score_lgbm,fold_2020,False,False,False,fold_trainability_gate_failed,True,False
机械设备,industry_failure_reject_score_lgbm,fold_2021,False,False,False,fold_trainability_gate_failed,True,False
机械设备,industry_failure_reject_score_lgbm,fold_2022,False,False,False,fold_trainability_gate_failed,True,False
机械设备,industry_failure_reject_score_lgbm,fold_2023,False,False,False,fold_trainability_gate_failed,True,False
机械设备,industry_failure_reject_score_lgbm,fold_2024,False,False,False,fold_trainability_gate_failed,True,False
建筑材料,industry_failure_reject_score_lgbm,fold_2020,False,False,False,fold_trainability_gate_failed,True,False
建筑材料,industry_failure_reject_score_lgbm,fold_2021,False,False,False,fold_trainability_gate_failed,True,False
建筑材料,industry_failure_reject_score_lgbm,fold_2022,False,False,False,fold_trainability_gate_failed,True,False
建筑材料,industry_failure_reject_score_lgbm,fold_2023,False,False,False,fold_trainability_gate_failed,True,False
建筑材料,industry_failure_reject_score_lgbm,fold_2024,False,False,False,fold_trainability_gate_failed,True,False
传媒,industry_failure_reject_score_lgbm,fold_2020,False,False,False,fold_trainability_gate_failed,True,False
传媒,industry_failure_reject_score_lgbm,fold_2021,False,False,False,fold_trainability_gate_failed,True,False
传媒,industry_failure_reject_score_lgbm,fold_2022,False,False,False,fold_trainability_gate_failed,True,False
传媒,industry_failure_reject_score_lgbm,fold_2023,False,False,False,fold_trainability_gate_failed,True,False
传媒,industry_failure_reject_score_lgbm,fold_2024,False,False,False,fold_trainability_gate_failed,True,False
电力设备,industry_failure_reject_score_lgbm,fold_2020,False,False,False,fold_trainability_gate_failed,True,False
电力设备,industry_failure_reject_score_lgbm,fold_2021,False,False,False,fold_trainability_gate_failed,True,False
电力设备,industry_failure_reject_score_lgbm,fold_2022,False,False,False,fold_trainability_gate_failed,True,False
电力设备,industry_failure_reject_score_lgbm,fold_2023,False,False,False,fold_trainability_gate_failed,True,False
电力设备,industry_failure_reject_score_lgbm,fold_2024,False,False,False,fold_trainability_gate_failed,True,False
电子,industry_failure_reject_score_lgbm,fold_2020,False,False,False,fold_trainability_gate_failed,True,False
电子,industry_failure_reject_score_lgbm,fold_2021,False,False,False,fold_trainability_gate_failed,True,False
电子,industry_failure_reject_score_lgbm,fold_2022,False,False,False,fold_trainability_gate_failed,True,False
电子,industry_failure_reject_score_lgbm,fold_2023,False,False,False,fold_trainability_gate_failed,True,False
电子,industry_failure_reject_score_lgbm,fold_2024,False,False,False,fold_trainability_gate_failed,True,False
