formula_id,token,token_type,mapped,unmapped_count,threshold_source,threshold_source_allowed,validation_threshold_used,leakage_audit_pass
repair_higher_low_reclaim,repair_higher_low_reclaim,gate_token,True,0,fixed_config,True,False,True
money_price_upper_keep,money_price_upper_keep,gate_token,True,0,fixed_config,True,False,True
money_expansion_no_distribution,money_expansion_no_distribution,gate_token,True,0,fixed_config,True,False,True
first_near_limit_upper_close,first_near_limit_upper_close,gate_token,True,0,fixed_config,True,False,True
high_vol_quality_permit,high_vol_quality_permit,gate_token,True,0,fixed_config,True,False,True
industry_breadth_coherence,industry_breadth_coherence,gate_token,True,0,fixed_config,True,False,True
market_regime_risk_on,market_regime_risk_on,gate_token,True,0,fixed_config,True,False,True
high_vol_destructive_warning,high_vol_destructive_warning,gate_token,True,0,fixed_config,True,False,True
market_regime_risk_off,market_regime_risk_off,gate_token,True,0,fixed_config,True,False,True
rank_evaporation_2d,rank_evaporation_2d,gate_token,True,0,fixed_config,True,False,True
rank_evaporation_3d,rank_evaporation_3d,gate_token,True,0,fixed_config,True,False,True
rank_evaporation_5d,rank_evaporation_5d,gate_token,True,0,fixed_config,True,False,True
destructive_high_vol_3d,destructive_high_vol_3d,gate_token,True,0,fixed_config,True,False,True
destructive_high_vol_5d,destructive_high_vol_5d,gate_token,True,0,fixed_config,True,False,True
gap_fade_break_prior_close_5d,gap_fade_break_prior_close_5d,gate_token,True,0,fixed_config,True,False,True
money_distribution_5d,money_distribution_5d,gate_token,True,0,fixed_config,True,False,True
