stratum_family,stratum_variant,formula_text,formula_text_resolved,required_features,required_thresholds,declared_stratum_role,declared_lifecycle_stage,formula_observation_cutoff,formula_uses_future_data,uses_quantile_alias,quantile_alias_resolved_text
high_vol_quality_permit,expansion_high_vol_upper_close,atr20_pct >= q80_market and day_range >= q80_market and close_location >= thresholds.expansion_high_vol_upper_close__close_location__min and ret_rank_20d_market >= thresholds.expansion_high_vol_upper_close__ret_rank_20d_market__min and launch_gain_from_recent_low_60d < thresholds.expansion_high_vol_upper_close__launch_gain_from_recent_low_60d__max,"atr20_pct >= cross_section_quantile(atr20_pct, 0.80, date, PIT universe) and day_range >= cross_section_quantile(day_range, 0.80, date, PIT universe) and close_location >= 0.65 and ret_rank_20d_market >= 0.70 and launch_gain_from_recent_low_60d < 0.30",atr20_pct;day_range;close_location;ret_rank_20d_market;launch_gain_from_recent_low_60d,thresholds.expansion_high_vol_upper_close__close_location__min;thresholds.expansion_high_vol_upper_close__ret_rank_20d_market__min;thresholds.expansion_high_vol_upper_close__launch_gain_from_recent_low_60d__max,launch_observation_context,pre_20_launch,stratum_date,False,True,"atr20_pct >= cross_section_quantile(atr20_pct, 0.80, date, PIT universe) and day_range >= cross_section_quantile(day_range, 0.80, date, PIT universe) and close_location >= 0.65 and ret_rank_20d_market >= 0.70 and launch_gain_from_recent_low_60d < 0.30"
high_vol_quality_permit,high_vol_controlled_drawdown,atr20_pct >= q80_market and close_location >= thresholds.high_vol_controlled_drawdown__close_location__min and low >= median20 * thresholds.high_vol_controlled_drawdown__median20_low_ratio__min and ret_rank_20d_market >= thresholds.high_vol_controlled_drawdown__ret_rank_20d_market__min and industry_breadth_20d >= q50_market,"atr20_pct >= cross_section_quantile(atr20_pct, 0.80, date, PIT universe) and close_location >= 0.60 and low >= median20 * 0.95 and ret_rank_20d_market >= 0.65 and industry_breadth_20d >= cross_section_quantile(industry_breadth_20d, 0.50, date, PIT universe)",atr20_pct;close_location;low;median20;ret_rank_20d_market;industry_breadth_20d,thresholds.high_vol_controlled_drawdown__close_location__min;thresholds.high_vol_controlled_drawdown__median20_low_ratio__min;thresholds.high_vol_controlled_drawdown__ret_rank_20d_market__min,launch_observation_context,pre_20_launch,stratum_date,False,True,"atr20_pct >= cross_section_quantile(atr20_pct, 0.80, date, PIT universe) and close_location >= 0.60 and low >= median20 * 0.95 and ret_rank_20d_market >= 0.65 and industry_breadth_20d >= cross_section_quantile(industry_breadth_20d, 0.50, date, PIT universe)"
high_vol_destructive_warning,destructive_high_vol_upper_shadow,atr20_pct >= q80_market and close_location <= thresholds.destructive_high_vol_upper_shadow__close_location__max and upper_shadow_pct >= thresholds.destructive_high_vol_upper_shadow__upper_shadow_pct__min,"atr20_pct >= cross_section_quantile(atr20_pct, 0.80, date, PIT universe) and close_location <= 0.40 and upper_shadow_pct >= 0.45",atr20_pct;close_location;upper_shadow_pct,thresholds.destructive_high_vol_upper_shadow__close_location__max;thresholds.destructive_high_vol_upper_shadow__upper_shadow_pct__min,risk_warning_context,risk_warning,stratum_date,False,True,"atr20_pct >= cross_section_quantile(atr20_pct, 0.80, date, PIT universe) and close_location <= 0.40 and upper_shadow_pct >= 0.45"
high_vol_destructive_warning,high_vol_break_median_warning,atr20_pct >= q80_market and close < median20 and money_ratio_20 >= thresholds.high_vol_break_median_warning__money_ratio_20__min,"atr20_pct >= cross_section_quantile(atr20_pct, 0.80, date, PIT universe) and close < median20 and money_ratio_20 >= 1.30",atr20_pct;close;median20;money_ratio_20,thresholds.high_vol_break_median_warning__money_ratio_20__min,risk_warning_context,risk_warning,stratum_date,False,True,"atr20_pct >= cross_section_quantile(atr20_pct, 0.80, date, PIT universe) and close < median20 and money_ratio_20 >= 1.30"
rank_jump_persistence_watchlist,rank_jump_5d_persist_3d,ret_rank_20d_market - ret_rank_20d_market_5d_ago >= thresholds.rank_jump_5d_persist_3d__rank_jump__min and ret_rank_20d_market_5d_median >= thresholds.rank_jump_5d_persist_3d__ret_rank_20d_market_5d_median__min,ret_rank_20d_market - ret_rank_20d_market_5d_ago >= 0.25 and ret_rank_20d_market_5d_median >= 0.60,ret_rank_20d_market;ret_rank_20d_market_5d_ago;ret_rank_20d_market_5d_median,thresholds.rank_jump_5d_persist_3d__rank_jump__min;thresholds.rank_jump_5d_persist_3d__ret_rank_20d_market_5d_median__min,watchlist_observation_context,watchlist,stratum_date,False,False,
rank_jump_persistence_watchlist,industry_rank_jump_leader,ret_rank_20d_industry >= thresholds.industry_rank_jump_leader__ret_rank_20d_industry__min and ret_rank_20d_market >= thresholds.industry_rank_jump_leader__ret_rank_20d_market__min and relative_ret20_vs_industry >= thresholds.industry_rank_jump_leader__relative_ret20_vs_industry__min,ret_rank_20d_industry >= 0.80 and ret_rank_20d_market >= 0.60 and relative_ret20_vs_industry >= 0,ret_rank_20d_industry;ret_rank_20d_market;relative_ret20_vs_industry,thresholds.industry_rank_jump_leader__ret_rank_20d_industry__min;thresholds.industry_rank_jump_leader__ret_rank_20d_market__min;thresholds.industry_rank_jump_leader__relative_ret20_vs_industry__min,watchlist_observation_context,watchlist,stratum_date,False,False,
repair_quality_watchlist,repair_reclaim_ema20_quality,close >= ema20 and ema20 >= ema20_5d_ago and prelaunch_drawdown_120d <= thresholds.repair_reclaim_ema20_quality__prelaunch_drawdown_120d__max and close_location >= thresholds.repair_reclaim_ema20_quality__close_location__min,close >= ema20 and ema20 >= ema20_5d_ago and prelaunch_drawdown_120d <= -0.20 and close_location >= 0.60,close;ema20;ema20_5d_ago;prelaunch_drawdown_120d;close_location,thresholds.repair_reclaim_ema20_quality__prelaunch_drawdown_120d__max;thresholds.repair_reclaim_ema20_quality__close_location__min,watchlist_observation_context,watchlist,stratum_date,False,True,close >= ema20 and ema20 >= ema20_5d_ago and prelaunch_drawdown_120d <= -0.20 and close_location >= 0.60
repair_quality_watchlist,repair_higher_low_reclaim,higher_low_count_20d >= thresholds.repair_higher_low_reclaim__higher_low_count_20d__min and close >= median20 and max_drawdown_20d >= thresholds.repair_higher_low_reclaim__max_drawdown_20d__min,higher_low_count_20d >= 1 and close >= median20 and max_drawdown_20d >= -0.12,higher_low_count_20d;close;median20;max_drawdown_20d,thresholds.repair_higher_low_reclaim__higher_low_count_20d__min;thresholds.repair_higher_low_reclaim__max_drawdown_20d__min,watchlist_observation_context,watchlist,stratum_date,False,False,
money_price_keep_context,money_price_upper_keep,money_ratio_20 >= thresholds.money_price_upper_keep__money_ratio_20__min and close_location >= thresholds.money_price_upper_keep__close_location__min and close >= median20,money_ratio_20 >= 1.20 and close_location >= 0.65 and close >= median20,money_ratio_20;close_location;close;median20,thresholds.money_price_upper_keep__money_ratio_20__min;thresholds.money_price_upper_keep__close_location__min,watchlist_observation_context,watchlist,stratum_date,False,False,
money_price_keep_context,money_expansion_no_distribution,money_ratio_20 >= thresholds.money_expansion_no_distribution__money_ratio_20__min and upper_shadow_pct <= thresholds.money_expansion_no_distribution__upper_shadow_pct__max and close >= open,money_ratio_20 >= 1.20 and upper_shadow_pct <= 0.35 and close >= open,money_ratio_20;upper_shadow_pct;close;open,thresholds.money_expansion_no_distribution__money_ratio_20__min;thresholds.money_expansion_no_distribution__upper_shadow_pct__max,watchlist_observation_context,watchlist,stratum_date,False,False,
industry_breadth_coherence,industry_breadth_confirmed_launch,industry_breadth_20d >= q60_market and relative_ret20_vs_industry >= thresholds.industry_breadth_confirmed_launch__relative_ret20_vs_industry__min and ret_rank_20d_market >= thresholds.industry_breadth_confirmed_launch__ret_rank_20d_market__min,"industry_breadth_20d >= cross_section_quantile(industry_breadth_20d, 0.60, date, PIT universe) and relative_ret20_vs_industry >= 0 and ret_rank_20d_market >= 0.60",industry_breadth_20d;relative_ret20_vs_industry;ret_rank_20d_market,thresholds.industry_breadth_confirmed_launch__relative_ret20_vs_industry__min;thresholds.industry_breadth_confirmed_launch__ret_rank_20d_market__min,launch_observation_context,pre_20_launch,stratum_date,False,True,"industry_breadth_20d >= cross_section_quantile(industry_breadth_20d, 0.60, date, PIT universe) and relative_ret20_vs_industry >= 0 and ret_rank_20d_market >= 0.60"
industry_breadth_coherence,weak_market_industry_leader,"market_regime in [weak, neutral] and ret_rank_20d_industry >= thresholds.weak_market_industry_leader__ret_rank_20d_industry__min and relative_ret20_vs_benchmark >= thresholds.weak_market_industry_leader__relative_ret20_vs_benchmark__min","market_regime in [weak, neutral] and ret_rank_20d_industry >= 0.80 and relative_ret20_vs_benchmark >= 0",market_regime;ret_rank_20d_industry;relative_ret20_vs_benchmark,thresholds.weak_market_industry_leader__ret_rank_20d_industry__min;thresholds.weak_market_industry_leader__relative_ret20_vs_benchmark__min,launch_observation_context,pre_20_launch,stratum_date,False,False,
relative_strength_persistence,relative_strength_10d_persistence,ret_rank_20d_market >= thresholds.relative_strength_10d_persistence__ret_rank_20d_market__min and ret_rank_20d_market_5d_median >= thresholds.relative_strength_10d_persistence__ret_rank_20d_market_5d_median__min and relative_ret20_vs_benchmark >= thresholds.relative_strength_10d_persistence__relative_ret20_vs_benchmark__min and close >= median20,ret_rank_20d_market >= 0.70 and ret_rank_20d_market_5d_median >= 0.65 and relative_ret20_vs_benchmark >= 0 and close >= median20,ret_rank_20d_market;ret_rank_20d_market_5d_median;relative_ret20_vs_benchmark;close;median20,thresholds.relative_strength_10d_persistence__ret_rank_20d_market__min;thresholds.relative_strength_10d_persistence__ret_rank_20d_market_5d_median__min;thresholds.relative_strength_10d_persistence__relative_ret20_vs_benchmark__min,launch_observation_context,pre_20_launch,stratum_date,False,False,
relative_strength_persistence,industry_relative_strength_persistence,ret_rank_20d_industry >= thresholds.industry_relative_strength_persistence__ret_rank_20d_industry__min and relative_ret20_vs_industry >= thresholds.industry_relative_strength_persistence__relative_ret20_vs_industry__min and close_location_5d_median >= thresholds.industry_relative_strength_persistence__close_location_5d_median__min,ret_rank_20d_industry >= 0.75 and relative_ret20_vs_industry >= 0 and close_location_5d_median >= 0.55,ret_rank_20d_industry;relative_ret20_vs_industry;close_location_5d_median,thresholds.industry_relative_strength_persistence__ret_rank_20d_industry__min;thresholds.industry_relative_strength_persistence__relative_ret20_vs_industry__min;thresholds.industry_relative_strength_persistence__close_location_5d_median__min,launch_observation_context,pre_20_launch,stratum_date,False,False,
prelaunch_path_quality,controlled_repair_from_deep_drawdown,prelaunch_drawdown_120d <= thresholds.controlled_repair_from_deep_drawdown__prelaunch_drawdown_120d__max and max_drawdown_20d >= thresholds.controlled_repair_from_deep_drawdown__max_drawdown_20d__min and close >= median20,prelaunch_drawdown_120d <= -0.25 and max_drawdown_20d >= -0.12 and close >= median20,prelaunch_drawdown_120d;max_drawdown_20d;close;median20,thresholds.controlled_repair_from_deep_drawdown__prelaunch_drawdown_120d__max;thresholds.controlled_repair_from_deep_drawdown__max_drawdown_20d__min,watchlist_observation_context,watchlist,stratum_date,False,False,
prelaunch_path_quality,range_tightening_then_expand,rolling_range_20d <= q40_market and day_range >= q70_market and close_location >= thresholds.range_tightening_then_expand__close_location__min,"rolling_range_20d <= cross_section_quantile(rolling_range_20d, 0.40, date, PIT universe) and day_range >= cross_section_quantile(day_range, 0.70, date, PIT universe) and close_location >= 0.65",rolling_range_20d;day_range;close_location,thresholds.range_tightening_then_expand__close_location__min,watchlist_observation_context,watchlist,stratum_date,False,True,"rolling_range_20d <= cross_section_quantile(rolling_range_20d, 0.40, date, PIT universe) and day_range >= cross_section_quantile(day_range, 0.70, date, PIT universe) and close_location >= 0.65"
sparse_strong_day_lifecycle_node,first_near_limit_upper_close,ret_1d >= thresholds.near_limit_threshold and close_location >= thresholds.first_near_limit_upper_close__close_location__min and first_occurrence_in_60d = true,ret_1d >= thresholds.near_limit_threshold and close_location >= 0.75 and first_occurrence_in_60d = true,ret_1d;close_location;first_occurrence_in_60d,thresholds.near_limit_threshold;thresholds.first_near_limit_upper_close__close_location__min,diagnostic_context,sparse_strong_day_node,stratum_date,False,False,
sparse_strong_day_lifecycle_node,strong_body_day_node,body_ret >= q90_market and close_location >= thresholds.strong_body_day_node__close_location__min and money_ratio_20 >= thresholds.strong_body_day_node__money_ratio_20__min,"body_ret >= cross_section_quantile(body_ret, 0.90, date, PIT universe) and close_location >= 0.75 and money_ratio_20 >= 1.20",body_ret;close_location;money_ratio_20,thresholds.strong_body_day_node__close_location__min;thresholds.strong_body_day_node__money_ratio_20__min,addon_context_deferred,sparse_strong_day_node,stratum_date,False,True,"body_ret >= cross_section_quantile(body_ret, 0.90, date, PIT universe) and close_location >= 0.75 and money_ratio_20 >= 1.20"
post_20_30_or_late_continuation_context,post_20_relative_strength_context,launch_gain_from_recent_low_90d >= thresholds.post_20_relative_strength_context__launch_gain_from_recent_low_90d__min and launch_gain_from_recent_low_90d < thresholds.post_20_relative_strength_context__launch_gain_from_recent_low_90d__max and ret_rank_20d_market >= thresholds.post_20_relative_strength_context__ret_rank_20d_market__min,launch_gain_from_recent_low_90d >= 0.20 and launch_gain_from_recent_low_90d < 0.30 and ret_rank_20d_market >= 0.70,launch_gain_from_recent_low_90d;ret_rank_20d_market,thresholds.post_20_relative_strength_context__launch_gain_from_recent_low_90d__min;thresholds.post_20_relative_strength_context__launch_gain_from_recent_low_90d__max;thresholds.post_20_relative_strength_context__ret_rank_20d_market__min,hold_continuation_context,post_20_30_continuation,stratum_date,False,False,
post_20_30_or_late_continuation_context,late_acceleration_context,launch_gain_from_recent_low_120d >= thresholds.late_acceleration_context__launch_gain_from_recent_low_120d__min or late_acceleration_flag = true,launch_gain_from_recent_low_120d >= 0.50 or late_acceleration_flag = true,launch_gain_from_recent_low_120d;late_acceleration_flag,thresholds.late_acceleration_context__launch_gain_from_recent_low_120d__min,addon_context_deferred,late_acceleration,stratum_date,False,False,
