target_industry,model_task,fold_id,validation_fold_role,walk_forward_purge_rule_pass,inner_validation_purge_rule_pass,train_event_count_after_purge,train_positive_count_after_purge,train_negative_count_after_purge,train_distinct_instruments,train_distinct_instrument_years,inner_validation_event_count,inner_validation_positive_count,outer_validation_event_count_eligible,outer_validation_positive_count_eligible,outer_validation_distinct_instruments,outer_validation_distinct_instrument_years,inner_train_purged_due_to_label_window_count,fold_status,trainability_rejection_reason,lgbm_training_enabled_for_industry_fold,fold_excluded_from_industry_lgbm_oof_aggregation
国防军工,industry_launch_winner_score_lgbm,fold_2020,p1_promotion_eligible,True,True,10,0,10,1,1,2,2,96,47,7,7,51,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
国防军工,industry_launch_winner_score_lgbm,fold_2021,p1_promotion_eligible,True,True,10,0,10,1,1,36,2,174,45,8,8,59,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
国防军工,industry_launch_winner_score_lgbm,fold_2022,p1_promotion_eligible,True,True,105,13,92,2,5,8,0,117,16,7,7,120,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
国防军工,industry_launch_winner_score_lgbm,fold_2023,p1_promotion_eligible,True,True,105,13,92,2,5,135,40,222,20,8,8,120,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years,False,True
国防军工,industry_launch_winner_score_lgbm,fold_2024,robustness_audit_only,True,True,360,124,236,8,23,16,0,182,27,9,9,156,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
基础化工,industry_launch_winner_score_lgbm,fold_2020,p1_promotion_eligible,True,True,17,0,17,3,4,3,3,127,94,8,8,116,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
基础化工,industry_launch_winner_score_lgbm,fold_2021,p1_promotion_eligible,True,True,17,0,17,3,4,89,10,251,32,16,16,116,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count,False,True
基础化工,industry_launch_winner_score_lgbm,fold_2022,p1_promotion_eligible,True,True,222,25,197,5,11,6,0,150,11,7,7,133,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
基础化工,industry_launch_winner_score_lgbm,fold_2023,p1_promotion_eligible,True,True,222,25,197,5,11,210,29,156,0,6,6,133,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;outer_validation_positive_count_eligible;outer_validation_distinct_instruments;outer_validation_distinct_instrument_years,False,True
基础化工,industry_launch_winner_score_lgbm,fold_2024,robustness_audit_only,True,True,361,119,242,9,21,134,11,195,0,8,8,214,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;outer_validation_positive_count_eligible,False,True
汽车,industry_launch_winner_score_lgbm,fold_2020,p1_promotion_eligible,True,True,96,3,93,7,8,4,3,211,110,10,10,206,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
汽车,industry_launch_winner_score_lgbm,fold_2021,p1_promotion_eligible,True,True,306,13,293,7,16,2,0,213,51,12,12,180,disabled_due_to_insufficient_industry_sample_or_purge,train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,False,True
