version,instrument,phase,signal_date,expected_deal_date,order_date,deal_date,exit_reason,aligned
ema_state_only,SH600221,entry,2025-01-02,2025-01-03,2025-01-03,2025-01-03,,True
ema_state_only,SH600221,exit,2025-01-03,2025-01-06,2025-01-06,2025-01-06,ema60_exit,True
ema_state_only,SZ002738,entry,2025-01-07,2025-01-08,2025-01-08,2025-01-08,,True
ema_state_only,SZ002738,exit,2025-01-08,2025-01-09,2025-01-09,2025-01-09,ema60_exit,True
ema_state_only,SZ000100,entry,2025-01-03,2025-01-06,2025-01-06,2025-01-06,,True
ema_state_only,SZ000100,exit,2025-01-10,2025-01-13,2025-01-13,2025-01-13,ema60_exit,True
ema_state_only,SH600887,entry,2025-01-07,2025-01-08,2025-01-08,2025-01-08,,True
ema_state_only,SH600887,exit,2025-01-10,2025-01-13,2025-01-13,2025-01-13,ema60_exit,True
ema_state_only,SZ000725,entry,2025-01-07,2025-01-08,2025-01-08,2025-01-08,,True
ema_state_only,SZ000725,exit,2025-01-10,2025-01-13,2025-01-13,2025-01-13,ema60_exit,True
ema_state_only,SH601229,entry,2025-01-02,2025-01-03,2025-01-03,2025-01-03,,True
ema_state_only,SH601229,exit,2025-01-13,2025-01-14,2025-01-14,2025-01-14,time_stop,True
ema_state_only,SZ002602,entry,2025-01-02,2025-01-03,2025-01-03,2025-01-03,,True
ema_state_only,SZ002602,exit,2025-01-13,2025-01-14,2025-01-14,2025-01-14,time_stop,True
ema_state_only,SH600016,entry,2025-01-07,2025-01-08,2025-01-08,2025-01-08,,True
ema_state_only,SH600016,exit,2025-01-13,2025-01-14,2025-01-14,2025-01-14,ema60_exit,True
ema_state_only,SZ002938,entry,2025-01-07,2025-01-08,2025-01-08,2025-01-08,,True
ema_state_only,SZ002938,exit,2025-01-13,2025-01-14,2025-01-14,2025-01-14,ema60_exit,True
ema_state_only,SH600919,entry,2025-01-02,2025-01-03,2025-01-03,2025-01-03,,True
ema_state_only,SH600919,exit,2025-01-14,2025-01-15,2025-01-15,2025-01-15,time_stop,True
ema_state_only,SH605499,entry,2025-01-03,2025-01-06,2025-01-06,2025-01-06,,True
ema_state_only,SH605499,exit,2025-01-16,2025-01-17,2025-01-17,2025-01-17,time_stop,True
ema_state_only,SH601728,entry,2025-01-06,2025-01-07,2025-01-07,2025-01-07,,True
ema_state_only,SH601728,exit,2025-01-17,2025-01-20,2025-01-20,2025-01-20,time_stop,True
ema_state_only,SH601288,entry,2025-01-06,2025-01-07,2025-01-07,2025-01-07,,True
ema_state_only,SH601288,exit,2025-01-17,2025-01-20,2025-01-20,2025-01-20,time_stop,True
ema_state_only,SH600600,entry,2025-01-06,2025-01-07,2025-01-07,2025-01-07,,True
ema_state_only,SH600600,exit,2025-01-17,2025-01-20,2025-01-20,2025-01-20,time_stop,True
ema_state_only,SH601398,entry,2025-01-03,2025-01-06,2025-01-06,2025-01-06,,True
ema_state_only,SH601398,exit,2025-01-20,2025-01-21,2025-01-21,2025-01-21,time_stop,True
ema_state_only,SH601939,entry,2025-01-08,2025-01-09,2025-01-09,2025-01-09,,True
ema_state_only,SH601939,exit,2025-01-20,2025-01-21,2025-01-21,2025-01-21,time_stop,True
ema_state_only,SH601838,entry,2025-01-03,2025-01-06,2025-01-06,2025-01-06,,True
ema_state_only,SH601838,exit,2025-01-22,2025-01-23,2025-01-23,2025-01-23,time_stop,True
ema_state_only,SH601988,entry,2025-01-06,2025-01-07,2025-01-07,2025-01-07,,True
ema_state_only,SH601988,exit,2025-01-22,2025-01-23,2025-01-23,2025-01-23,time_stop,True
ema_state_only,SH601127,entry,2025-01-02,2025-01-03,2025-01-03,2025-01-03,,True
ema_state_only,SH601127,exit,2025-02-05,2025-02-06,2025-02-06,2025-02-06,time_stop,True
ema_state_only,SZ002738,entry,2025-01-15,2025-01-16,2025-01-16,2025-01-16,,True
ema_state_only,SZ002738,exit,2025-02-05,2025-02-06,2025-02-06,2025-02-06,time_stop,True
ema_state_only,SZ002916,entry,2025-01-17,2025-01-20,2025-01-20,2025-01-20,,True
ema_state_only,SZ002916,exit,2025-02-05,2025-02-06,2025-02-06,2025-02-06,time_stop,True
ema_state_only,SH605499,entry,2025-01-20,2025-01-21,2025-01-21,2025-01-21,,True
ema_state_only,SH605499,exit,2025-02-05,2025-02-06,2025-02-06,2025-02-06,time_stop,True
ema_state_only,SZ002938,entry,2025-01-21,2025-01-22,2025-01-22,2025-01-22,,True
ema_state_only,SZ002938,exit,2025-02-05,2025-02-06,2025-02-06,2025-02-06,time_stop,True
ema_state_only,SH601988,entry,2025-01-23,2025-01-24,2025-01-24,2025-01-24,,True
ema_state_only,SH601988,exit,2025-02-05,2025-02-06,2025-02-06,2025-02-06,time_stop,True
ema_state_only,SH600016,entry,2025-01-23,2025-01-24,2025-01-24,2025-01-24,,True
ema_state_only,SH600016,exit,2025-02-05,2025-02-06,2025-02-06,2025-02-06,time_stop,True
ema_state_only,SH600066,entry,2025-01-14,2025-01-15,2025-01-15,2025-01-15,,True
ema_state_only,SH600066,exit,2025-02-06,2025-02-07,2025-02-07,2025-02-07,time_stop,True
ema_state_only,SH600919,entry,2025-01-20,2025-01-21,2025-01-21,2025-01-21,,True
ema_state_only,SH600919,exit,2025-02-06,2025-02-07,2025-02-07,2025-02-07,time_stop,True
ema_state_only,SZ000100,entry,2025-01-13,2025-01-14,2025-01-14,2025-01-14,,True
ema_state_only,SZ000100,exit,2025-02-13,2025-02-14,2025-02-14,2025-02-14,ema60_exit,True
