candidate_family_id,candidate_feature_id,candidate_feature_name,candidate_feature_definition,candidate_feature_formula,candidate_primary_dedup_group_id,candidate_overlap_group_ids,candidate_alias_of,candidate_priority_before_evidence,source_artifact_alias,source_columns,expected_availability,primary_candidate_allowed_before_lineage,appendix_only_if_delayed,extra_feature_role,candidate_inventory_expected,candidate_inventory_completeness_gate,t0_frozen_endpoint_proof_status,notes
M1,m1_return_sign_entropy_trailing20,return sign entropy trailing 20,return sign entropy trailing 20,return_sign_entropy_trailing20,m1_return_sign_entropy_trailing20,,,high,pit_price_path_panel,qfq close,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M1,m1_path_transition_entropy_episode,path transition entropy episode low to t0,path transition entropy episode low to t0,path_transition_entropy_episode_low_to_t0,m1_path_transition_entropy_episode,,,high,pit_price_path_panel,qfq close,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M1,m1_repair_path_efficiency_episode,episode repair path efficiency,episode repair path efficiency,repair_path_efficiency_episode_low_to_t0,m1_repair_path_efficiency_episode,,,high,pit_price_path_panel,qfq close,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M1,m1_close_location_episode_range,close location in episode range,close location in episode range,(close_t0-low_t0)/(high_t0-low_t0),m1_range_location_group,m1_m3_range_position_related_group,,high,episode_geometry_panel,qfq high low close,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M1,m1_episode_drawdown_pre_t0,episode drawdown before t0,episode drawdown before t0,min(low/running_max(close)-1),m1_episode_drawdown_pre_t0,,,high,pit_price_path_panel,qfq low close,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M1,m1_episode_recovery_ratio_to_high_t0,episode recovery ratio to pre-t0 high,episode recovery ratio to pre-t0 high,(close_t0-low_t0)/(high_t0-low_t0),m1_range_location_group,m1_m3_range_position_related_group,m1_close_location_episode_range,high,episode_geometry_panel,qfq high low close,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M1,m1_pullback_from_episode_high_t0,pullback from pre-t0 episode high,pullback from pre-t0 episode high,close_t0/high_t0-1,m1_pullback_from_episode_high_t0,,,high,episode_geometry_panel,qfq high close,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M1,m1_close_location_trailing60_range,close location in trailing 60 range,close location in trailing 60 range,(close_t0-low_60)/(high_60-low_60),m1_close_location_trailing60_range,,,high,pit_price_path_panel,qfq high low close,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M1,m1_path_linearity_r2_low_to_t0,path linearity R2 from episode low to t0,path linearity R2 from episode low to t0,R2(close~position) over episode low to t0,m1_path_linearity_r2_low_to_t0,,,high,pit_price_path_panel,qfq close,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M1,m1_up_down_run_imbalance_20,up down run imbalance trailing 20,up down run imbalance trailing 20,longest_up_run_20-longest_down_run_20,m1_up_down_run_imbalance_20,,,high,pit_price_path_panel,qfq close,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M1,m1_failed_repair_count_low_to_t0,failed repair count from episode low to t0,failed repair count from episode low to t0,count pre-t0 failed repair local highs,m1_failed_repair_count_low_to_t0,,,high,pit_price_path_panel,qfq close,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M3,m3_upside_room_to_episode_high,upside room to pre-t0 episode high,upside room to pre-t0 episode high,(episode_high-close_t0)/close_t0,m3_upside_room_to_episode_high,,,high,episode_geometry_panel,qfq high close,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M3,m3_downside_crowding_to_episode_low,downside crowding to episode low,downside crowding to episode low,(close_t0-episode_low)/close_t0,m3_downside_room_group,,,high,episode_geometry_panel,qfq low close,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M3,m3_vol_adjusted_repair_strength,volatility adjusted repair strength,volatility adjusted repair strength,repair_return/volatility_20d,m3_vol_adjusted_repair_strength,,,high,pit_price_path_panel,qfq close and volatility_20d,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M3,m3_downside_room_to_episode_low_t0,downside room to episode low t0,downside room to episode low t0,(close_t0-episode_low)/close_t0,m3_downside_room_group,,m3_downside_crowding_to_episode_low,high,episode_geometry_panel,qfq low close,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M3,m3_upside_downside_room_ratio_t0,upside downside room ratio t0,upside downside room ratio t0,(episode_high-close_t0)/(close_t0-episode_low),m3_upside_downside_room_ratio_t0,,,high,episode_geometry_panel,qfq high low close,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M3,m3_asymmetric_range_position_t0,asymmetric range position t0,asymmetric range position t0,2*(close_t0-low_t0)/(high_t0-low_t0)-1,m1_m3_range_position_related_group,m1_m3_range_position_related_group,,high,episode_geometry_panel,qfq high low close,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M3,m3_failed_breakout_count_pre_t0,failed breakout count before t0,failed breakout count before t0,count pre-t0 new highs with failed follow-through,m3_failed_breakout_count_pre_t0,,,high,pit_price_path_panel,qfq high low close,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M3,m3_upper_shadow_pressure_share_20,upper shadow pressure share trailing 20,upper shadow pressure share trailing 20,mean(upper_shadow/range) over valid candles,m3_upper_shadow_pressure_share_20,,,high,pit_price_path_panel,qfq open high low close,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M5,m5_bars_since_episode_low,bars since episode low,bars since episode low,step_start_pos-episode_low_pos_t0,m5_bars_since_episode_low,,,high_medium,episode_geometry_panel,position index,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M5,m5_bars_since_episode_high_t0,bars since episode high t0,bars since episode high t0,step_start_pos-episode_high_pos_t0,m5_bars_since_episode_high_t0,,,high_medium,episode_geometry_panel,position index,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M5,m5_episode_age_to_t0,episode age at t0,episode age at t0,step_start_pos-cluster_start_pos,m5_episode_age_to_t0,,,high_medium,episode_geometry_panel,position index,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M5,m5_nonoverlap_step_index_to_t0,nonoverlap step index to t0,nonoverlap step index to t0,floor((step_start_pos-cluster_start_pos)/horizon_sessions),m5_nonoverlap_step_index_to_t0,,,high_medium,episode_geometry_panel,position index,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M5,m5_low_to_t0_age_ratio,low to t0 age ratio,low to t0 age ratio,"(step_start_pos-low_pos_t0)/max(age,1)",m5_low_to_t0_age_ratio,,,high_medium,episode_geometry_panel,position index,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M5,m5_high_to_t0_age_ratio,high to t0 age ratio,high to t0 age ratio,"(step_start_pos-high_pos_t0)/max(age,1)",m5_high_to_t0_age_ratio,,,high_medium,episode_geometry_panel,position index,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M5,m5_low_before_high_t0,low before high t0,low before high t0,episode_low_pos_t0 < episode_high_pos_t0,m5_low_before_high_t0,,,high_medium,episode_geometry_panel,position index,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M5,m5_bars_since_reclaim,bars since deterministic ma60 reclaim,bars since deterministic ma60 reclaim,step_start_pos-reclaim_pos_t0,m5_bars_since_reclaim,,,high_medium,episode_geometry_panel,qfq close ma60,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M5,m5_lifecycle_progress_to_t0,lifecycle progress at t0,lifecycle progress at t0,(step_start_pos-cluster_start)/(cluster_end-cluster_start),m5_lifecycle_progress_to_t0,,,high_medium,episode_geometry_panel,position index,blocked_until_t0_endpoint_proof,False,True,,True,pass,missing_or_not_proven,predeclared_lineage_before_correlation
M2,m2_net_signed_money_flow_trailing20,net signed money flow trailing 20,net signed money flow trailing 20,sum(signed_money_proxy)/sum(abs(amount)),m2_net_signed_money_flow_trailing20,,,medium,pit_money_flow_proxy_panel,qfq close money,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M2,m2_positive_money_flow_share_trailing20,positive money flow share trailing 20,positive money flow share trailing 20,sum(amount where ret>0)/sum(amount),m2_positive_money_flow_share_trailing20,,,medium,pit_money_flow_proxy_panel,qfq close money,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M2,m2_money_flow_persistence_trailing20,money flow sign persistence trailing 20,money flow sign persistence trailing 20,mean(sign(flow_t)==sign(flow_t-1)),m2_money_flow_persistence_trailing20,,,medium,pit_money_flow_proxy_panel,qfq close money,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M2,m2_turnover_compression_20_vs_60,turnover compression 20 versus 60,turnover compression 20 versus 60,mean(turnover_20)/mean(turnover_60),m2_turnover_compression_20_vs_60,,,medium,pit_money_flow_proxy_panel,turnover_rate,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M2,m2_net_signed_money_flow_accel_5v20,net signed money flow acceleration 5 versus 20,net signed money flow acceleration 5 versus 20,net_signed_money_flow_5-net_signed_money_flow_20,m2_net_signed_money_flow_accel_5v20,,,medium,pit_money_flow_proxy_panel,qfq close money,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M2,m2_positive_money_flow_share_accel_5v20,positive money flow share acceleration 5 versus 20,positive money flow share acceleration 5 versus 20,positive_money_flow_share_5-positive_money_flow_share_20,m2_positive_money_flow_share_accel_5v20,,,medium,pit_money_flow_proxy_panel,qfq close money,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M2,m2_money_flow_reversal_accel_5v20,money flow reversal acceleration 5 versus 20,money flow reversal acceleration 5 versus 20,reversal_rate_5-reversal_rate_20,m2_money_flow_reversal_accel_5v20,,,medium,pit_money_flow_proxy_panel,qfq close money,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M2,m2_net_signed_money_flow_curvature_5_10_20,net signed money flow curvature 5 10 20,net signed money flow curvature 5 10 20,flow_5-2*flow_10+flow_20,m2_net_signed_money_flow_curvature_5_10_20,,,medium,pit_money_flow_proxy_panel,qfq close money,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M2,m2_flow_price_divergence_persistence_20,flow price divergence persistence trailing 20,flow price divergence persistence trailing 20,mean(sign(ret_5)!=sign(flow_5)),m2_flow_price_divergence_persistence_20,,,medium,pit_money_flow_proxy_panel,qfq close money,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M2,m2_high_amount_negative_bar_share_20,high amount negative bar share trailing 20,high amount negative bar share trailing 20,share(ret<0 and amount>=trailing60 amount p80),m2_high_amount_negative_bar_share_20,,,medium,pit_money_flow_proxy_panel,qfq close money,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M2,m2_signed_flow_volatility_20,signed flow volatility trailing 20,signed flow volatility trailing 20,std(signed_flow/abs(amount)),m2_signed_flow_volatility_20,,,medium,pit_money_flow_proxy_panel,qfq close money,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M2,m2_flow_concentration_top3_share_20,flow concentration top3 share trailing 20,flow concentration top3 share trailing 20,top3 abs(flow)/sum abs(flow),m2_flow_concentration_top3_share_20,,,medium,pit_money_flow_proxy_panel,qfq close money,primary,True,True,,True,pass,not_required,predeclared_lineage_before_correlation
M4,m4_regime_context_deferred,regime context deferred,regime context deferred,requires new PIT context,m4_regime_context_deferred,,,low,market_or_regime_context_panel,context panel,appendix_or_deferred,False,True,,True,pass,not_required,predeclared_lineage_before_correlation
