target_industry,model_task,fold_id,fold_role,contract_id,inner_validation_mode,lgbm_training_mode,instrument_gate_profile,count_profile,diagnostic_only,trainability_count_gate_pass,lgbm_training_success,model_non_degenerate_sanity_pass,fold_trainability_status,trainability_rejection_reason
电子,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T0_strict_p0_9_reproduction,latest_train_year,early_stopping_inner_validation,strict_p0_9,strict,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge
电子,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T1_fixed_rounds_no_inner_validation,none,fixed_n_estimators,safe_relative,safe_probe,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_event_count_after_purge
电子,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T2_pooled_inner_validation,pooled_tail_train_years,early_stopping_inner_validation,safe_relative,safe_probe,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge
电子,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T3_grouped_temporal_inner_validation,grouped_temporal_blocks,early_stopping_inner_validation,safe_relative,safe_probe,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge
电子,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,none,fixed_n_estimators,diagnostic_minimal,diagnostic_minimal,True,True,True,True,trainable_under_diagnostic_minimal,
电子,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T0_strict_p0_9_reproduction,latest_train_year,early_stopping_inner_validation,strict_p0_9,strict,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge
电子,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T1_fixed_rounds_no_inner_validation,none,fixed_n_estimators,safe_relative,safe_probe,False,True,True,True,trainable_under_safe_probe,
电子,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T2_pooled_inner_validation,pooled_tail_train_years,early_stopping_inner_validation,safe_relative,safe_probe,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge
电子,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T3_grouped_temporal_inner_validation,grouped_temporal_blocks,early_stopping_inner_validation,safe_relative,safe_probe,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge
电子,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,none,fixed_n_estimators,diagnostic_minimal,diagnostic_minimal,True,True,True,True,trainable_under_diagnostic_minimal,
电子,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T0_strict_p0_9_reproduction,latest_train_year,early_stopping_inner_validation,strict_p0_9,strict,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instruments
电子,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T1_fixed_rounds_no_inner_validation,none,fixed_n_estimators,safe_relative,safe_probe,False,True,True,True,trainable_under_safe_probe,
电子,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T2_pooled_inner_validation,pooled_tail_train_years,early_stopping_inner_validation,safe_relative,safe_probe,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge
电子,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T3_grouped_temporal_inner_validation,grouped_temporal_blocks,early_stopping_inner_validation,safe_relative,safe_probe,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge
电子,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,none,fixed_n_estimators,diagnostic_minimal,diagnostic_minimal,True,True,True,True,trainable_under_diagnostic_minimal,
电子,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T0_strict_p0_9_reproduction,latest_train_year,early_stopping_inner_validation,strict_p0_9,strict,False,False,False,False,not_trainable_due_to_inner_validation,inner_validation_positive_count
电子,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T1_fixed_rounds_no_inner_validation,none,fixed_n_estimators,safe_relative,safe_probe,False,True,True,True,trainable_under_safe_probe,
电子,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T2_pooled_inner_validation,pooled_tail_train_years,early_stopping_inner_validation,safe_relative,safe_probe,False,True,True,False,trainable_under_safe_probe,
电子,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T3_grouped_temporal_inner_validation,grouped_temporal_blocks,early_stopping_inner_validation,safe_relative,safe_probe,False,True,True,False,trainable_under_safe_probe,
电子,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,none,fixed_n_estimators,diagnostic_minimal,diagnostic_minimal,True,True,True,True,trainable_under_diagnostic_minimal,
电子,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T0_strict_p0_9_reproduction,latest_train_year,early_stopping_inner_validation,strict_p0_9,strict,False,True,True,True,trainable_under_strict_p0_9,
电子,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T1_fixed_rounds_no_inner_validation,none,fixed_n_estimators,safe_relative,safe_probe,False,True,True,True,trainable_under_safe_probe,
电子,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T2_pooled_inner_validation,pooled_tail_train_years,early_stopping_inner_validation,safe_relative,safe_probe,False,True,True,True,trainable_under_safe_probe,
电子,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T3_grouped_temporal_inner_validation,grouped_temporal_blocks,early_stopping_inner_validation,safe_relative,safe_probe,False,True,True,True,trainable_under_safe_probe,
