target_industry,model_task,fold_id,contract_id,lgbm_training_success,model_fit_error,model_training_error_flag,model_non_degenerate_sanity_pass,prediction_nan_rate,prediction_unique_value_count,prediction_std,trained_tree_count,feature_used_count,all_positive_or_all_negative_training_label_flag,count_gate_pass,count_trainable_but_model_fit_failed
电子,industry_launch_winner_score_lgbm,fold_2020,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电子,industry_launch_winner_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电子,industry_launch_winner_score_lgbm,fold_2020,T2_pooled_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电子,industry_launch_winner_score_lgbm,fold_2020,T3_grouped_temporal_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电子,industry_launch_winner_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,179,0.14020867781716462,64,8,False,True,False
电子,industry_launch_winner_score_lgbm,fold_2021,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电子,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,396,0.1926766674257094,64,9,False,True,False
电子,industry_launch_winner_score_lgbm,fold_2021,T2_pooled_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电子,industry_launch_winner_score_lgbm,fold_2021,T3_grouped_temporal_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电子,industry_launch_winner_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,396,0.1926766674257094,64,9,False,True,False
电子,industry_launch_winner_score_lgbm,fold_2022,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电子,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,346,0.20146480372021486,64,9,False,True,False
电子,industry_launch_winner_score_lgbm,fold_2022,T2_pooled_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电子,industry_launch_winner_score_lgbm,fold_2022,T3_grouped_temporal_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电子,industry_launch_winner_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,346,0.20146480372021486,64,9,False,True,False
电子,industry_launch_winner_score_lgbm,fold_2023,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
电子,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,386,0.09939916087127966,64,10,False,True,False
电子,industry_launch_winner_score_lgbm,fold_2023,T2_pooled_inner_validation,True,,False,False,0.0,7,0.006806739581990823,1,3,False,True,False
电子,industry_launch_winner_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,True,,False,False,0.0,7,0.006806739581990823,1,3,False,True,False
电子,industry_launch_winner_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,386,0.09939916087127966,64,10,False,True,False
电子,industry_launch_winner_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,True,,False,True,0.0,425,0.08692811398138539,40,10,False,True,False
电子,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,455,0.12248889308759009,64,10,False,True,False
电子,industry_launch_winner_score_lgbm,fold_2024,T2_pooled_inner_validation,True,,False,True,0.0,11,0.008480044606565613,1,5,False,True,False
电子,industry_launch_winner_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,True,,False,True,0.0,11,0.008480044606565613,1,5,False,True,False
电子,industry_launch_winner_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,455,0.12248889308759009,64,10,False,True,False
汽车,industry_launch_winner_score_lgbm,fold_2020,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_launch_winner_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_launch_winner_score_lgbm,fold_2020,T2_pooled_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_launch_winner_score_lgbm,fold_2020,T3_grouped_temporal_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_launch_winner_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,79,0.02168759660597823,64,8,False,True,False
汽车,industry_launch_winner_score_lgbm,fold_2021,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,135,0.14800763848596468,64,9,False,True,False
汽车,industry_launch_winner_score_lgbm,fold_2021,T2_pooled_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_launch_winner_score_lgbm,fold_2021,T3_grouped_temporal_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_launch_winner_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,135,0.14800763848596468,64,9,False,True,False
汽车,industry_launch_winner_score_lgbm,fold_2022,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,201,0.21711614419254713,64,10,False,True,False
汽车,industry_launch_winner_score_lgbm,fold_2022,T2_pooled_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_launch_winner_score_lgbm,fold_2022,T3_grouped_temporal_inner_validation,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_launch_winner_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,True,,False,True,0.0,201,0.21711614419254713,64,10,False,True,False
汽车,industry_launch_winner_score_lgbm,fold_2023,T0_strict_p0_9_reproduction,False,count_or_anti_leakage_gate_failed,False,False,,0,,0,0,False,False,False
汽车,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,True,,False,True,0.0,247,0.16375665062525782,64,10,False,True,False
汽车,industry_launch_winner_score_lgbm,fold_2023,T2_pooled_inner_validation,True,,False,True,0.0,94,0.07129825796285533,15,8,False,True,False
汽车,industry_launch_winner_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,True,,False,True,0.0,94,0.07129825796285533,15,8,False,True,False
