target_industry,model_task,fold_id,fold_role,contract_id,inner_validation_mode,lgbm_training_mode,instrument_gate_profile,count_profile,diagnostic_only,train_event_count_after_purge,train_positive_count_after_purge,train_negative_count_after_purge,train_distinct_instruments,train_distinct_instrument_years,inner_validation_event_count,inner_validation_positive_count,outer_validation_event_count_eligible,outer_validation_positive_count_eligible,outer_validation_distinct_instruments,outer_validation_distinct_instrument_years,required_min_train_event_count_after_purge,required_min_train_positive_count_after_purge,required_min_train_negative_count_after_purge,required_min_inner_validation_event_count,required_min_inner_validation_positive_count,required_min_outer_validation_event_count,required_min_outer_validation_positive_count,required_min_train_distinct_instruments,required_min_train_distinct_instrument_years,required_min_outer_validation_distinct_instruments,required_min_outer_validation_distinct_instrument_years,trainability_count_gate_pass,lgbm_training_success,model_fit_success,model_non_degenerate_sanity_pass,fold_trainability_status,trainability_rejection_reason,eligible_for_p0_9b_discovery_rerun_fold,count_trainable_but_model_fit_failed,required_min_train_dedup_event_count_after_purge,required_min_train_dedup_positive_event_count_after_purge,required_min_outer_validation_dedup_event_count,required_min_outer_validation_dedup_positive_event_count
电子,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T0_strict_p0_9_reproduction,latest_train_year,early_stopping_inner_validation,strict_p0_9,strict,False,122,19,103,7,12,119,73,356,95,22,22,500,30,100,100,8,80,5,20,40,8,8,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge,False,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T1_fixed_rounds_no_inner_validation,none,fixed_n_estimators,safe_relative,safe_probe,False,310,118,192,11,20,0,0,356,95,22,22,400,25,80,60,5,60,5,10,25,6,5,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_event_count_after_purge,False,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T2_pooled_inner_validation,pooled_tail_train_years,early_stopping_inner_validation,safe_relative,safe_probe,False,0,0,0,0,0,226,99,356,95,22,22,400,25,80,60,5,60,5,10,25,6,5,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge,False,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T3_grouped_temporal_inner_validation,grouped_temporal_blocks,early_stopping_inner_validation,safe_relative,safe_probe,False,0,0,0,0,0,226,99,356,95,22,22,400,25,80,60,5,60,5,10,25,6,5,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge,False,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,none,fixed_n_estimators,diagnostic_minimal,diagnostic_minimal,True,310,118,192,11,20,0,0,356,95,22,22,250,15,50,0,0,40,3,7,15,4,4,True,True,True,True,trainable_under_diagnostic_minimal,,False,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T0_strict_p0_9_reproduction,latest_train_year,early_stopping_inner_validation,strict_p0_9,strict,False,310,118,192,11,20,156,60,443,53,24,24,500,30,100,100,8,80,5,20,40,8,8,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge,False,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T1_fixed_rounds_no_inner_validation,none,fixed_n_estimators,safe_relative,safe_probe,False,661,277,384,19,47,0,0,443,53,24,24,400,25,80,60,5,60,5,12,25,7,6,True,True,True,True,trainable_under_safe_probe,,True,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T2_pooled_inner_validation,pooled_tail_train_years,early_stopping_inner_validation,safe_relative,safe_probe,False,122,19,103,7,12,437,232,443,53,24,24,400,25,80,60,5,60,5,12,25,7,6,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge,False,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T3_grouped_temporal_inner_validation,grouped_temporal_blocks,early_stopping_inner_validation,safe_relative,safe_probe,False,122,19,103,7,12,437,232,443,53,24,24,400,25,80,60,5,60,5,12,25,7,6,False,False,False,False,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge,False,False,,,,
电子,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,none,fixed_n_estimators,diagnostic_minimal,diagnostic_minimal,True,661,277,384,19,47,0,0,443,53,24,24,250,15,50,0,0,40,3,9,16,4,4,True,True,True,True,trainable_under_diagnostic_minimal,,False,False,,,,
