library_id,ordinal,feature_name,expression,expression_sha256,source,status
A20_RDAGENT_PINNED,1,RESI5,"Resi($close,5)/$close",feb934a2b6eaa8d1bb1ab3aa07badad270874a9e215bf39d34ff7efbb50613bb,EP23 config.yaml alpha20 + RD-Agent ALPHA20,pinned
A20_RDAGENT_PINNED,2,WVMA5,"Std(Abs($close/Ref($close,1)-1)*$volume,5)/(Mean(Abs($close/Ref($close,1)-1)*$volume,5)+1e-12)",74065470e9b59c95a0e2949b34c204a6b51959549b96ce0a32af51606f443f41,EP23 config.yaml alpha20 + RD-Agent ALPHA20,pinned
A20_RDAGENT_PINNED,3,RSQR5,"Rsquare($close,5)",658c75f99801a56320c5df6c4cf22f1fb15bc2c66dfa69a6795ac20f6d657372,EP23 config.yaml alpha20 + RD-Agent ALPHA20,pinned
A20_RDAGENT_PINNED,4,KLEN,($high-$low)/$open,3ea405aa428b232f83f95cc2b5ee894918542be9ade63dd52c10fcbc171744ab,EP23 config.yaml alpha20 + RD-Agent ALPHA20,pinned
A20_RDAGENT_PINNED,5,RSQR10,"Rsquare($close,10)",7cf96024d1f7a9807f9070b39f193bf991852249bdfe9907145278b80e165caf,EP23 config.yaml alpha20 + RD-Agent ALPHA20,pinned
A20_RDAGENT_PINNED,6,CORR5,"Corr($close,Log($volume+1),5)",3a24b61860c0d7b9a2c5778c57a5ecca6097a8e0f1eed3adc51f8ff5c960f893,EP23 config.yaml alpha20 + RD-Agent ALPHA20,pinned
A20_RDAGENT_PINNED,7,CORD5,"Corr($close/Ref($close,1),Log($volume/Ref($volume,1)+1),5)",e2aaaa731b04b3ed5c7dbefcf9554b9c0086638a92b5994e92d4f9039d9c56b4,EP23 config.yaml alpha20 + RD-Agent ALPHA20,pinned
A20_RDAGENT_PINNED,8,CORR10,"Corr($close,Log($volume+1),10)",4626671fcca576505fcef49fc10517a6175fd3520d631103ea445a11cb18aa3e,EP23 config.yaml alpha20 + RD-Agent ALPHA20,pinned
A20_RDAGENT_PINNED,9,ROC60,"Ref($close,60)/$close",68c1e7b0f7621d45785a7b2da43dc581c970f17eee2e6994879472618b1542c1,EP23 config.yaml alpha20 + RD-Agent ALPHA20,pinned
A20_RDAGENT_PINNED,10,RESI10,"Resi($close,10)/$close",c835d3b8d587999dc75a4b8f4b0d57e5b5e1d9d696327d796855dba3f0c0a4d7,EP23 config.yaml alpha20 + RD-Agent ALPHA20,pinned
