primary_family,horizon,split,signal_date,style_explained_score_r2,raw_top_bottom_spread_matched_delta_net,residualized_top_bottom_spread_matched_delta_net,neutralized_top_bottom_spread_matched_delta_net,style_explained_spread_share,neutralized_spread_retention,style_status
close_location,H1,train,2017-08-04,,0.020939253448064375,,0.009980042544260999,,0.47661883309328557,underdetermined_style_design
close_location,H1,train,2017-08-11,,0.02515860984864194,,0.013761846495226679,,0.5470034544046773,underdetermined_style_design
close_location,H1,train,2017-08-18,,0.006446621121513698,,-0.008832733157487815,,-1.3701337477413045,underdetermined_style_design
close_location,H1,train,2017-08-25,,-0.0012465772683164442,,1.6327972446975383e-05,,-0.013098243375660948,underdetermined_style_design
close_location,H1,train,2017-09-01,,0.002190117490082059,,0.004438179012562159,,2.0264570429031505,underdetermined_style_design
close_location,H1,train,2017-09-08,,0.006165758239741107,,-0.005635322264508509,,-0.913970682176006,underdetermined_style_design
close_location,H1,train,2017-09-15,,0.008435509735139431,,-0.003611255397150455,,-0.4281016216610133,underdetermined_style_design
close_location,H1,train,2017-09-22,,0.0021085916507035123,,0.00425810151290582,,2.019405469752829,underdetermined_style_design
close_location,H1,train,2017-09-29,,0.0035752853357983,,-0.007086127329402718,,-1.9819753289202882,underdetermined_style_design
close_location,H1,train,2017-10-13,,0.0019159818963723845,,0.005977039305562405,,3.1195698231173297,underdetermined_style_design
close_location,H1,train,2017-10-20,0.7658300893150722,0.0022096730503809335,0.00423121991154614,-0.0037393045847446665,-0.914862432166924,-1.692243376955715,ok
close_location,H1,train,2017-10-27,,0.008011503005946108,,0.01250725673342062,,1.5611623342258976,underdetermined_style_design
close_location,H1,train,2017-11-03,0.7388564770584637,0.022694932719936816,-0.004857751653461035,0.0082302061763562,1.214045651221237,0.36264510135014466,ok
close_location,H1,train,2017-11-10,,0.0007827259286887745,,0.004001895467372471,,5.1127672160758255,underdetermined_style_design
close_location,H1,train,2017-11-17,,0.027225139726072455,,0.02168303669070488,,0.7964343584227735,underdetermined_style_design
close_location,H1,train,2017-11-24,,-0.02441180681354183,,-0.0010016568837139823,,0.0410316569914169,underdetermined_style_design
close_location,H1,train,2017-12-01,,0.010308735223449226,,0.014486845733425723,,1.4052980719179373,underdetermined_style_design
close_location,H1,train,2017-12-08,,0.03626356448131396,,0.02027448395265977,,0.5590869028638068,underdetermined_style_design
close_location,H1,train,2017-12-15,,0.0038599352019934707,,0.001192205794075512,,0.30886678964449843,underdetermined_style_design
close_location,H1,train,2017-12-22,,-0.005830353600269601,,-0.0003381430776896908,,0.05799701027979756,underdetermined_style_design
