filter_id_or_state_id,source_phase,first_cost_tier_with_validation_self_utility_positive,first_cost_tier_with_robustness_self_utility_positive,first_cost_tier_with_both_validation_and_robustness_self_utility_positive,self_utility_positive_at_0bps,self_utility_positive_at_25bps,self_utility_positive_at_50bps,self_utility_positive_at_75bps,self_utility_positive_at_100bps,cost_sensitivity_status
distance_to_60d_low__top_40pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
distance_to_60d_low__top_40pct__AND__amount_ratio_5d_20d__top_40pct,13A2_filter,,75bps,,False,False,False,False,False,no_economic_amplitude
distance_to_60d_low__top_40pct__AND__turnover_zscore_20d__top_40pct,13A2_filter,,75bps,,False,False,False,False,False,no_economic_amplitude
distance_to_60d_low__top_40pct__AND__volume_up_price_not_down_5d__top_40pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
distance_to_60d_low__top_50pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
higher_low_slope_10d__top_20pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
higher_low_slope_10d__top_30pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
higher_low_slope_10d__top_40pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
higher_low_slope_10d__top_50pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
max_drawdown_20d__top_20pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
max_drawdown_20d__top_30pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
max_drawdown_20d__top_30pct__AND__amount_ratio_5d_20d__top_30pct,13A2_filter,,75bps,,False,False,False,False,False,no_economic_amplitude
max_drawdown_20d__top_30pct__AND__turnover_zscore_20d__top_30pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
max_drawdown_20d__top_30pct__AND__volume_up_price_not_down_5d__top_30pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
max_drawdown_20d__top_40pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
max_drawdown_20d__top_40pct__AND__amount_ratio_5d_20d__top_40pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
max_drawdown_20d__top_40pct__AND__turnover_zscore_20d__top_40pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
max_drawdown_20d__top_40pct__AND__volume_up_price_not_down_5d__top_40pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
max_drawdown_20d__top_50pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
max_drawdown_60d__top_20pct,13A2_filter,25bps,50bps,25bps,True,True,False,False,False,cost_fragile_25bps_only
max_drawdown_60d__top_30pct,13A2_filter,0bps,50bps,0bps,True,False,False,False,False,cost_fragile_0bps_only
max_drawdown_60d__top_40pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
max_drawdown_60d__top_50pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
money_median_5d_vs_20d__top_20pct,13A2_filter,,75bps,,False,False,False,False,False,no_economic_amplitude
money_median_5d_vs_20d__top_30pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
money_median_5d_vs_20d__top_40pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
money_median_5d_vs_20d__top_50pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
repair_close_position_participation_core_30,13A3_composite_state,,75bps,,False,False,False,False,False,no_economic_amplitude
repair_drawdown_amount_suspect_30,13A3_composite_state,,75bps,,False,False,False,False,False,no_economic_amplitude
repair_range_participation_broad_40,13A3_composite_state,,50bps,,False,False,False,False,False,no_economic_amplitude
repair_range_participation_core_30,13A3_composite_state,,50bps,,False,False,False,False,False,no_economic_amplitude
repair_ret60_volume_suspect_30,13A3_composite_state,25bps,50bps,25bps,True,True,False,False,False,cost_fragile_25bps_only
repair_sma_participation_core_30,13A3_composite_state,,75bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_20pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_30pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_30pct__AND__amount_ratio_5d_20d__top_30pct,13A2_filter,,75bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_30pct__AND__close_position_20d__top_30pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_30pct__AND__distance_from_20d_low__top_30pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_30pct__AND__distance_to_20d_high__top_30pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_30pct__AND__distance_to_60d_low__top_30pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_30pct__AND__max_drawdown_20d__top_30pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_30pct__AND__ret_60d__top_30pct,13A2_filter,0bps,50bps,0bps,True,False,False,False,False,cost_fragile_0bps_only
ret_20d__top_30pct__AND__turnover_zscore_20d__top_30pct,13A2_filter,,75bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_30pct__AND__volume_up_price_not_down_5d__top_30pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_40pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_40pct__AND__amount_ratio_5d_20d__top_40pct,13A2_filter,,75bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_40pct__AND__close_position_20d__top_40pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_40pct__AND__distance_from_20d_low__top_40pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_40pct__AND__distance_to_20d_high__top_40pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_40pct__AND__distance_to_60d_low__top_40pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_40pct__AND__max_drawdown_20d__top_40pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_40pct__AND__ret_60d__top_40pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_40pct__AND__turnover_zscore_20d__top_40pct,13A2_filter,,75bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_40pct__AND__volume_up_price_not_down_5d__top_40pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
ret_20d__top_50pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
ret_5d__top_20pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
ret_5d__top_30pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
ret_5d__top_40pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
ret_5d__top_50pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
ret_60d__top_20pct,13A2_filter,0bps,25bps,0bps,True,False,False,False,False,cost_fragile_0bps_only
ret_60d__top_30pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
ret_60d__top_30pct__AND__amount_ratio_5d_20d__top_30pct,13A2_filter,50bps,50bps,50bps,True,True,True,False,False,cost_viable_50bps
ret_60d__top_30pct__AND__turnover_zscore_20d__top_30pct,13A2_filter,25bps,50bps,25bps,True,True,False,False,False,cost_fragile_25bps_only
ret_60d__top_30pct__AND__volume_up_price_not_down_5d__top_30pct,13A2_filter,25bps,50bps,25bps,True,True,False,False,False,cost_fragile_25bps_only
ret_60d__top_40pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
ret_60d__top_40pct__AND__amount_ratio_5d_20d__top_40pct,13A2_filter,0bps,50bps,0bps,True,False,False,False,False,cost_fragile_0bps_only
ret_60d__top_40pct__AND__turnover_zscore_20d__top_40pct,13A2_filter,0bps,50bps,0bps,True,False,False,False,False,cost_fragile_0bps_only
ret_60d__top_40pct__AND__volume_up_price_not_down_5d__top_40pct,13A2_filter,25bps,50bps,25bps,True,True,False,False,False,cost_fragile_25bps_only
ret_60d__top_50pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_20d__top_20pct,13A2_filter,,0bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_20d__top_30pct,13A2_filter,,0bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_20d__top_30pct__AND__amount_ratio_5d_20d__top_30pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_20d__top_30pct__AND__close_position_20d__top_30pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_20d__top_30pct__AND__distance_from_20d_low__top_30pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_20d__top_30pct__AND__distance_to_20d_high__top_30pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_20d__top_30pct__AND__distance_to_60d_low__top_30pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_20d__top_30pct__AND__max_drawdown_20d__top_30pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_20d__top_30pct__AND__ret_60d__top_30pct,13A2_filter,0bps,25bps,0bps,True,False,False,False,False,cost_fragile_0bps_only
stock_vs_board_20d__top_30pct__AND__turnover_zscore_20d__top_30pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_20d__top_30pct__AND__volume_up_price_not_down_5d__top_30pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_20d__top_40pct,13A2_filter,,0bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_20d__top_40pct__AND__amount_ratio_5d_20d__top_40pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_20d__top_40pct__AND__close_position_20d__top_40pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_20d__top_40pct__AND__distance_from_20d_low__top_40pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_20d__top_40pct__AND__distance_to_20d_high__top_40pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_20d__top_40pct__AND__distance_to_60d_low__top_40pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_20d__top_40pct__AND__max_drawdown_20d__top_40pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_20d__top_40pct__AND__ret_60d__top_40pct,13A2_filter,0bps,25bps,0bps,True,False,False,False,False,cost_fragile_0bps_only
stock_vs_board_20d__top_40pct__AND__turnover_zscore_20d__top_40pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_20d__top_40pct__AND__volume_up_price_not_down_5d__top_40pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_20d__top_50pct,13A2_filter,,0bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_5d__top_20pct,13A2_filter,,0bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_5d__top_30pct,13A2_filter,,0bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_5d__top_40pct,13A2_filter,,0bps,,False,False,False,False,False,no_economic_amplitude
stock_vs_board_5d__top_50pct,13A2_filter,,0bps,,False,False,False,False,False,no_economic_amplitude
turnover_zscore_20d__top_20pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
turnover_zscore_20d__top_30pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
turnover_zscore_20d__top_40pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
turnover_zscore_20d__top_50pct,13A2_filter,,50bps,,False,False,False,False,False,no_economic_amplitude
up_day_volume_share_20d__top_20pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
up_day_volume_share_20d__top_30pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
up_day_volume_share_20d__top_40pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
up_day_volume_share_20d__top_50pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
volume_up_price_not_down_5d__top_20pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
volume_up_price_not_down_5d__top_30pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
volume_up_price_not_down_5d__top_40pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
volume_up_price_not_down_5d__top_50pct,13A2_filter,,25bps,,False,False,False,False,False,no_economic_amplitude
