feature_id,feature_order,source_family,decision_time_only,outcome_field_read_count
p4_rank_t,1,P4_PATH,True,0
p4_rank_lag1,2,P4_PATH,True,0
p4_rank_lag3,3,P4_PATH,True,0
p4_rank_mean3,4,P4_PATH,True,0
p4_rank_std3,5,P4_PATH,True,0
p4_rank_delta1,6,P4_PATH,True,0
p4_rank_delta3,7,P4_PATH,True,0
p0_rank_t,8,P0_P1_P6_CROSS,True,0
p1_rank_t,9,P0_P1_P6_CROSS,True,0
p6_rank_t,10,P0_P1_P6_CROSS,True,0
p4_lag1_missing,11,P4_PATH,True,0
p4_lag3_missing,12,P4_PATH,True,0
p4_mean3_missing,13,P4_PATH,True,0
p0_missing,14,P0_P1_P6_CROSS,True,0
p1_missing,15,P0_P1_P6_CROSS,True,0
p6_missing,16,P0_P1_P6_CROSS,True,0
