artifact_id,resolved_path,required_flag,lineage_role,row_count,sha256,required_columns,missing_columns,schema_status,read_status,input_gate_status
rule_audit_15b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/path_shape_taxonomy_rule_audit.csv,True,15B frozen hard taxonomy rule,30,1811bd5a42dea311be07b554b45041df4b5372738e4600ef2ed3a44bf60f5770,rule_type|feature_id|value|scale|train_rule_fit_status,,pass,pass,pass
winner_episode_cluster_membership_15b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/winner_episode_cluster_membership_audit.csv,True,"authoritative eligibility, cluster, censoring, and failed-morphology source",417131,5a71dea1f987b59ce09d5c3923f5ab0596def4bb6ac0463192ab8954873a5267,source_row_key|threshold_id|instrument|reference_date|row_id|split_bucket|episode_cluster_id|path_winner|is_censored|cluster_split_bucket|touches_multiple_split_buckets|touches_multiple_calendar_split_buckets|max_drawdown_20d|vol_compression_20d_60d,,pass,pass,pass
split_overlap_audit_15b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/split_overlap_audit.csv,True,split-boundary proof,2867,2c4cf4b8b55295125069e3bbcc0cc64de69cfb4855a41e39039f6ced49aa3b93,episode_cluster_id|split_overlap_status,,pass,pass,pass
taxonomy_assignment_panel_15b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/local_cache/15B_winner_path_shape_taxonomy_diagnostic/taxonomy_assignment_panel.parquet,True,priority-1 anchor shape feature and hard path_type source,419998,328e7b43204fc9ab9457d870af8a5bfe09fd734e2b8fba1fdadb29d3b5a679ce,source_row_key|threshold_id|episode_cluster_id|cluster_split_bucket|path_shape_quality|path_type|path_efficiency|max_drawdown_before_hit_abs|underwater_days_share|directional_entropy_5state|trend_line_r2|top1_positive_gain_share|top3_positive_gain_share|pullback_5pct_count|log_time_to_threshold,,pass,pass,pass
path_shape_feature_panel_15b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/local_cache/15B_winner_path_shape_taxonomy_diagnostic/anchor_path_shape_feature_panel.parquet,False,priority-2 fallback shape feature source,417131,097c692e4963b24e1c188280f81f156cf924d4371e7aa961e2f8437959408e8a,source_row_key|threshold_id|episode_cluster_id|cluster_split_bucket|path_shape_quality|path_efficiency|max_drawdown_before_hit_abs|underwater_days_share|directional_entropy_5state|trend_line_r2|top1_positive_gain_share|top3_positive_gain_share|pullback_5pct_count|log_time_to_threshold,,pass,pass,pass
upstream_lineage_audit_15b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/upstream_lineage_audit.csv,True,15B upstream lineage proof,6,95ed0197b08ad150334a136c5411331a14888d450991fc06451eadb3f4d3186b,lineage_status,,pass,pass,pass
price_path_completeness_audit_15b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/price_path_completeness_audit.csv,True,15B price path proof,1449,8bc7b1d30a67318c5b445385ea00ee4e4981b639388917c8d72bd121fd19e783,price_path_status,,pass,pass,pass
decision_15c,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15C_winner_entry_phase_and_mixture_taxonomy_diagnostic/winner_entry_phase_mixture_decision.csv,True,15C descriptive background decision,1,db20c82299aae7b5b945ba0ee2170224c33be6c3aa21f01aa161b006293994b7,decision_state|next_allowed_requirement,,pass,pass,pass
entry_phase_assignment_15c,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15C_winner_entry_phase_and_mixture_taxonomy_diagnostic/entry_phase_assignment_readout.csv,True,15C entry-phase descriptive stratification source,417131,bb6c25a1a9d3e1efb29108bbb551b03963469191911c7a7b9b978c181d6d049c,source_row_key|threshold_id|episode_cluster_id|entry_phase_pit|entry_phase_outcome|phase_assignment_status|primary_gate_eligible,,pass,pass,pass
search_accounting_15c,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15C_winner_entry_phase_and_mixture_taxonomy_diagnostic/search_accounting_audit.csv,True,15C authorization guard,1,d2262773f268271b9df4a6f4690b74c05cf1413afbe3bb5b750f34e25762e445,search_accounting_status,,pass,pass,pass
