priority_order,priority_rule_id,would_match,selected,candidate_final_decision,decision_reason,h10_validated_pass,stock_selection_supported,robustness_confirmed,adjacent_horizon_status,baseline_lift_evaluable_H10,baseline_lift_gate_H10,absolute_positive_H10,relative_positive_H10,horizon_pass_H5,horizon_pass_H20,matched_rule_id,baseline_not_evaluable_origin
1,rule_01_blocked_data_or_execution_contract,False,False,r03_blocked_data_or_execution_contract,"Required data, split, execution, cost, or canonical unit authority is missing.",False,False,False,adjacent_horizon_not_evaluable,False,False,False,True,False,False,,
2,rule_02_downside_volatility_shock_rebound_supported,False,False,r03_downside_volatility_shock_rebound_supported_continue_research,"Primary downside-volatility shock rebound unit passed H10, baseline lift, robustness, and adjacent horizon checks.",False,False,False,adjacent_horizon_not_evaluable,False,False,False,True,False,False,,
3,rule_03_baseline_not_evaluable_validation_lead,False,False,r03_baseline_not_evaluable_validation_lead,Primary validation passed but date-aligned baseline was not evaluable.,False,False,False,adjacent_horizon_not_evaluable,False,False,False,True,False,False,,
4,rule_04_downside_beta_or_market_rebound_only,False,False,r03_downside_beta_or_market_rebound_only_no_selection_pass,Primary validation passed but did not stably beat same-week paired nonselected downside baseline.,False,False,False,adjacent_horizon_not_evaluable,False,False,False,True,False,False,,
5,rule_05_unstable_validation_only_lead,False,False,r03_unstable_validation_only_lead,Validation stock-selection support did not confirm in robustness.,False,False,False,adjacent_horizon_not_evaluable,False,False,False,True,False,False,,
6,rule_06_unstable_horizon_shape,False,False,r03_unstable_horizon_shape_no_search_allowed,H10 support was contradicted by a strongly negative adjacent horizon.,False,False,False,adjacent_horizon_not_evaluable,False,False,False,True,False,False,,
7,rule_07_adjacent_horizon_not_evaluable,False,False,r03_adjacent_horizon_not_evaluable_validation_lead,H10 support had an adjacent horizon that was not evaluable.,False,False,False,adjacent_horizon_not_evaluable,False,False,False,True,False,False,,
8,rule_08_relative_rebound_edge_only,False,False,r03_relative_rebound_edge_only_hedged_or_regime_audit_required,"Relative rebound edge exists without absolute long-only deployability, is stable across comparators, and beats the paired downside baseline.",False,False,False,adjacent_horizon_not_evaluable,False,False,False,True,False,False,,
9,rule_09_relative_only_baseline_not_evaluable,False,False,r03_baseline_not_evaluable_validation_lead,Relative-only rebound lead exists but paired downside baseline was not evaluable.,False,False,False,adjacent_horizon_not_evaluable,False,False,False,True,False,False,,
10,rule_10_absolute_only_baseline_not_evaluable,False,False,r03_baseline_not_evaluable_validation_lead,Absolute-only rebound lead exists but paired downside baseline was not evaluable.,False,False,False,adjacent_horizon_not_evaluable,False,False,False,True,False,False,,
11,rule_11_absolute_only_beta_or_market_rebound,False,False,r03_downside_beta_or_market_rebound_only_no_selection_pass,Absolute rebound exists without matched residual edge and without paired downside baseline lift.,False,False,False,adjacent_horizon_not_evaluable,False,False,False,True,False,False,,
12,rule_12_absolute_rebound_only_baseline_lift_no_relative_pass,False,False,r03_absolute_rebound_only_baseline_lift_no_relative_pass,"Absolute rebound and paired baseline lift exist, but matched-relative support failed.",False,False,False,adjacent_horizon_not_evaluable,False,False,False,True,False,False,,
13,rule_13_horizon_specific_lead_only,False,False,r03_horizon_specific_lead_only_no_search_allowed,Only H5 or H20 passed while H10 did not.,False,False,False,adjacent_horizon_not_evaluable,False,False,False,True,False,False,,
14,rule_14_sample_limited_primary_lead_only,False,False,r03_sample_limited_primary_lead_only,Primary unit is a sample-limited lead only.,False,False,False,adjacent_horizon_not_evaluable,False,False,False,True,False,False,,
15,rule_15_no_downside_rebound_support,True,True,r03_no_downside_rebound_support,No R03 rule supplied downside volatility shock rebound support.,False,False,False,adjacent_horizon_not_evaluable,False,False,False,True,False,False,,
