priority_order,priority_rule_id,would_match,selected,candidate_final_decision,decision_reason,h10_validated_pass,baseline_lift_gate_H10,baseline_lift_evaluable_H10,absolute_positive_H10,relative_positive_H10,multi_comparator_relative_status_H10,robustness_confirmed,adjacent_horizon_clean,adjacent_horizon_evaluable,horizon_pass_H5,horizon_pass_H20,included_factor_count,stability_selected_factor_count,representative_factor_count,cluster_count,cluster_structure_ok,train_label_unpurged_signal_date_share,min_train_label_unpurged_signal_date_share
1,rule_01,False,False,r05_blocked_data_or_execution_contract,"Data, execution, train-label purity, or comparator contract was not reproducible.",False,False,True,False,False,unstable,False,True,True,False,False,125,89,50,54,False,0.986784140969163,0.9
2,rule_02,False,False,r05_factor_library_not_implementable_blocked,Included GTJA191 factor count is below the frozen minimum.,False,False,True,False,False,unstable,False,True,True,False,False,125,89,50,54,False,0.986784140969163,0.9
3,rule_03,False,False,r05_factor_stability_selection_not_viable_blocked,Train-only stability-selected factor count is below the frozen minimum.,False,False,True,False,False,unstable,False,True,True,False,False,125,89,50,54,False,0.986784140969163,0.9
4,rule_04,True,True,r05_factor_cluster_structure_not_viable_blocked,"Cluster count, concentration, or representative eligibility failed.",False,False,True,False,False,unstable,False,True,True,False,False,125,89,50,54,False,0.986784140969163,0.9
5,rule_05,False,False,r05_primary_sample_not_evaluable_blocked,Primary H10 validation sample was not economically adjudicable.,False,False,True,False,False,unstable,False,True,True,False,False,125,89,50,54,False,0.986784140969163,0.9
6,rule_06,False,False,r05_gtja191_factor_engineered_long_only_and_residual_supported,"H10 passed long-only and residual gates with clean baseline, robustness, and adjacent horizons.",False,False,True,False,False,unstable,False,True,True,False,False,125,89,50,54,False,0.986784140969163,0.9
7,rule_07,False,False,r05_gtja191_factor_engineered_residual_edge_only_hedged_required,Residual edge passed but long-only absolute gate did not.,False,False,True,False,False,unstable,False,True,True,False,False,125,89,50,54,False,0.986784140969163,0.9
8,rule_08,False,False,r05_comparator_unavailable_validation_lead,Relative lead but comparator family unavailable.,False,False,True,False,False,unstable,False,True,True,False,False,125,89,50,54,False,0.986784140969163,0.9
9,rule_09,False,False,r05_baseline_not_evaluable_validation_lead,Relative lead but baseline not evaluable.,False,False,True,False,False,unstable,False,True,True,False,False,125,89,50,54,False,0.986784140969163,0.9
10,rule_10,False,False,r05_absolute_only_baseline_lift_no_relative_pass,Absolute-only baseline-lift lead without relative pass.,False,False,True,False,False,unstable,False,True,True,False,False,125,89,50,54,False,0.986784140969163,0.9
11,rule_11,False,False,r05_beta_or_style_exposure_only_no_stock_selection_pass,Absolute-only lead without stock-selection residual pass.,False,False,True,False,False,unstable,False,True,True,False,False,125,89,50,54,False,0.986784140969163,0.9
12,rule_12,False,False,r05_sample_limited_primary_lead_only,H10 evidence is sample-limited only.,False,False,True,False,False,unstable,False,True,True,False,False,125,89,50,54,False,0.986784140969163,0.9
13,rule_13,False,False,r05_unstable_validation_only_lead,Validation lead did not survive robustness.,False,False,True,False,False,unstable,False,True,True,False,False,125,89,50,54,False,0.986784140969163,0.9
14,rule_14,False,False,r05_adjacent_horizon_not_evaluable_validation_lead,Adjacent H5/H20 was not evaluable.,False,False,True,False,False,unstable,False,True,True,False,False,125,89,50,54,False,0.986784140969163,0.9
15,rule_15,False,False,r05_unstable_horizon_shape_no_search_allowed,Adjacent H5/H20 shape was not clean.,False,False,True,False,False,unstable,False,True,True,False,False,125,89,50,54,False,0.986784140969163,0.9
16,rule_16,False,False,r05_horizon_specific_lead_only_no_search_allowed,Only an adjacent horizon passed while H10 did not.,False,False,True,False,False,unstable,False,True,True,False,False,125,89,50,54,False,0.986784140969163,0.9
17,rule_17,True,False,r05_no_gtja191_factor_engineering_support,No R05 rule supplied local GTJA191 factor-engineered residual support.,False,False,True,False,False,unstable,False,True,True,False,False,125,89,50,54,False,0.986784140969163,0.9
