gate_id,gate_type,candidate_scope_id,gate_status,metric_value,threshold_value,threshold_source,train_only_threshold_flag,denominator_compatibility_flag,uses_episode_window_density_flag,uses_future_label_flag,failure_reason
input_gate,hard_fail,all,pass,0.0,0.0,required input contract,False,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,07_E1_only,no_executable_timing_alert,0.001906158357771261,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,07_E1_plus_E3,no_executable_timing_alert,0.0063371356147021544,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,07_full_union,diagnostic_alert,0.29595673108633996,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_selected_T4_T7_union,no_executable_timing_alert,0.03732428502181289,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_T4_gated,no_executable_timing_alert,0.0,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_T7_gated,no_executable_timing_alert,0.0,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_core_event_regime_gated,diagnostic_alert,0.5783069666485787,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R1_event_regime_gated,no_executable_timing_alert,0.0,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R2_event_regime_gated,no_executable_timing_alert,0.0,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R6_event_regime_gated,no_executable_timing_alert,0.0,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R7_event_regime_gated,no_executable_timing_alert,0.0,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R8_event_regime_gated,no_executable_timing_alert,0.0,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::raw_r_series_variant_pool,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::event_regime_gated_only,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::single_family_best_variant__R1_relative_strength_breakout,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::single_family_best_variant__R6_market_breadth_thrust,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::single_family_best_variant__R7_cross_sectional_momentum_rank_jump,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::single_family_best_variant__R8_persistent_distance_above_ema,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::single_family_best_variant__R2_near_high_volume_expansion,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::family_score_quantile_cut__q07,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::family_score_quantile_cut__q08,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
rolling_10d_duplicate_alert,diagnostic_alert,08_R_compression_arm::family_score_quantile_cut__q09,no_executable_timing_alert,,0.1,predeclared diagnostic audit threshold,True,True,False,False,
