feature_name,source_artifact,source_hash,as_of_policy,source_kind,feature_join_key,feature_as_of_date_policy,max_feature_as_of_date_minus_event_t0_date,uses_future_information,allowed_as_t0_feature,missing_rate_train,missing_rate_validation,missing_rate_robustness,blocked_reason
board_relative_cusum_20d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.023950697978430364,0.0,0.0,
atr_pct_rank_60d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
ema60_positive_run,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
family_count,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
channel_count,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
panel_return_1d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,0.0,0.0,0.0,
panel_return_5d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,0.0,0.0,0.0,
panel_return_20d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,0.0,0.0,0.0,
panel_return_60d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,0.0,0.0,0.0,
panel_stock_vs_market_20d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,0.0,0.0,0.0,
panel_close_to_high_60,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,0.0,0.0,0.0,
panel_momentum_percentile_20d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,0.0,0.0,0.0,
panel_momentum_percentile_60d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,0.0,0.0,0.0,
panel_universe_up_share,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,0.0,0.0,0.0,
panel_universe_new_high_60_share,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,0.0,0.0,0.0,
panel_universe_up_share_z,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,0.024464260703114058,0.0,0.0,
panel_universe_up_share_change_5d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,0.007143190625145898,0.0,0.0,
panel_board_relative_1d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,0.0,0.0,0.0,
panel_board_relative_cusum_20d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,0.023950697978430364,0.0,0.0,
panel_board_return_20d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,0.023950697978430364,0.0,0.0,
panel_stock_vs_board_20d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,0.023950697978430364,0.0,0.0,
source_pool,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
board_bucket,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
event_regime_bucket,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
primary_family_id,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
failure_10_label,label_or_episode_source,,future_or_membership_field_not_t0_feature,blocked,,,,True,False,,,,not_allowed_as_t0_feature
event_false_repair_20d_label,label_or_episode_source,,future_or_membership_field_not_t0_feature,blocked,,,,True,False,,,,not_allowed_as_t0_feature
event_big_winner_120d_label,label_or_episode_source,,future_or_membership_field_not_t0_feature,blocked,,,,True,False,,,,not_allowed_as_t0_feature
target_episode_id,label_or_episode_source,,future_or_membership_field_not_t0_feature,blocked,,,,True,False,,,,not_allowed_as_t0_feature
