structure_candidate_id,candidate_generation_version,group,pattern_type,feature_atom_ids,threshold_ids,lookback_days,profile_window_bucket,sequence_lag_days,dedup_gap_days,profile_definition,action_time_definition,trigger_date_policy,background_control_policy,formula_hash,config_row_hash,feature,operator,threshold,required_days,observable_trigger_rule,max_lag_days,first_trigger_only_flag,raw_feature_list,shared_feature_family
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_156070_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,0602d7c813,3,build_window,0,20,return1d >= 0.05; rolling_days=3; required_days=3; window=build_window,return1d >= 0.05; rolling_days=3; required_days=3; window=build_window,first_observable_pattern_complete_date,both,91016f0c008ef9d3,06b40825bafa2b86,return1d,>=,0.05,3,return1d >= 0.05; rolling_days=3; required_days=3; window=build_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_156070_ef2d12_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,0602d7c813,5,build_window,0,20,return1d >= 0.05; rolling_days=5; required_days=3; window=build_window,return1d >= 0.05; rolling_days=5; required_days=3; window=build_window,first_observable_pattern_complete_date,both,23f4cff2f1a377f6,5977cf7efa3dd991,return1d,>=,0.05,3,return1d >= 0.05; rolling_days=5; required_days=3; window=build_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_23e5f3_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,0602d7c813,3,continuation_window,0,20,return1d >= 0.05; rolling_days=3; required_days=3; window=continuation_window,return1d >= 0.05; rolling_days=3; required_days=3; window=continuation_window,first_observable_pattern_complete_date,both,d75740a4c4533eb6,55ce3b4241655a60,return1d,>=,0.05,3,return1d >= 0.05; rolling_days=3; required_days=3; window=continuation_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_23e5f3_ef2d12_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,0602d7c813,5,continuation_window,0,20,return1d >= 0.05; rolling_days=5; required_days=3; window=continuation_window,return1d >= 0.05; rolling_days=5; required_days=3; window=continuation_window,first_observable_pattern_complete_date,both,c7502f4dd0f54cf2,55002f9c8e6313f2,return1d,>=,0.05,3,return1d >= 0.05; rolling_days=5; required_days=3; window=continuation_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_60f76f_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,0602d7c813,3,full_window,0,20,return1d >= 0.05; rolling_days=3; required_days=3; window=full_window,return1d >= 0.05; rolling_days=3; required_days=3; window=full_window,first_observable_pattern_complete_date,both,8ef2a2c787cad3da,9bbaeb573d06ee4e,return1d,>=,0.05,3,return1d >= 0.05; rolling_days=3; required_days=3; window=full_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_60f76f_ef2d12_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,0602d7c813,5,full_window,0,20,return1d >= 0.05; rolling_days=5; required_days=3; window=full_window,return1d >= 0.05; rolling_days=5; required_days=3; window=full_window,first_observable_pattern_complete_date,both,93f89151ea6c47ab,c61a8c7d8828e7ee,return1d,>=,0.05,3,return1d >= 0.05; rolling_days=5; required_days=3; window=full_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_a96cae_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,0602d7c813,3,early_window,0,20,return1d >= 0.05; rolling_days=3; required_days=3; window=early_window,return1d >= 0.05; rolling_days=3; required_days=3; window=early_window,first_observable_pattern_complete_date,both,d5571cbff6b43cc6,ab0044ba4734e6b2,return1d,>=,0.05,3,return1d >= 0.05; rolling_days=3; required_days=3; window=early_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_a96cae_ef2d12_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,0602d7c813,5,early_window,0,20,return1d >= 0.05; rolling_days=5; required_days=3; window=early_window,return1d >= 0.05; rolling_days=5; required_days=3; window=early_window,first_observable_pattern_complete_date,both,d3c337c4603bf2b1,ff348c96ce64d0ee,return1d,>=,0.05,3,return1d >= 0.05; rolling_days=5; required_days=3; window=early_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_156070_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,773a15ec53,3,build_window,0,20,return1d >= 0.03; rolling_days=3; required_days=3; window=build_window,return1d >= 0.03; rolling_days=3; required_days=3; window=build_window,first_observable_pattern_complete_date,both,00deab558ad60f6d,f0848d4d9c172ea7,return1d,>=,0.03,3,return1d >= 0.03; rolling_days=3; required_days=3; window=build_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_156070_ef2d12_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,773a15ec53,5,build_window,0,20,return1d >= 0.03; rolling_days=5; required_days=3; window=build_window,return1d >= 0.03; rolling_days=5; required_days=3; window=build_window,first_observable_pattern_complete_date,both,ed5212ad2299301b,61d21a458ccc5e29,return1d,>=,0.03,3,return1d >= 0.03; rolling_days=5; required_days=3; window=build_window,0,True,return1d,acceleration
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_23e5f3_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,773a15ec53,3,continuation_window,0,20,return1d >= 0.03; rolling_days=3; required_days=3; window=continuation_window,return1d >= 0.03; rolling_days=3; required_days=3; window=continuation_window,first_observable_pattern_complete_date,both,d3a6ddd8be03463d,71d79d7fed744ff7,return1d,>=,0.03,3,return1d >= 0.03; rolling_days=3; required_days=3; window=continuation_window,0,True,return1d,acceleration
