split_bucket,cost_bps,q_defend,observed_step_n,defended_step_n,formula,formula_recomputed_mismatch_n,formula_recompute_gate,full_defend_reference_q_defend,full_defend_reference_defended_step_n,action_set_sha256,full_defend_reference_action_set_sha256,action_set_equal_to_full_defend_reference,zero_cost_formula_equivalence_expected,nonreference_full_defend_reuse_gate,o5_action_selection_proof_gate,blocking_reason
robustness,0,0.0,2496,1095,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,1095,7d63d8ef7664325d8c1e2435713e68acb7fdc7ab5c4d387dfa9e67021b3c226e,7d63d8ef7664325d8c1e2435713e68acb7fdc7ab5c4d387dfa9e67021b3c226e,True,False,reference,pass,
robustness,0,0.25,2496,1095,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,1095,7d63d8ef7664325d8c1e2435713e68acb7fdc7ab5c4d387dfa9e67021b3c226e,7d63d8ef7664325d8c1e2435713e68acb7fdc7ab5c4d387dfa9e67021b3c226e,True,True,pass_same_by_formula_zero_cost,pass,
robustness,0,0.5,2496,1095,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,1095,7d63d8ef7664325d8c1e2435713e68acb7fdc7ab5c4d387dfa9e67021b3c226e,7d63d8ef7664325d8c1e2435713e68acb7fdc7ab5c4d387dfa9e67021b3c226e,True,True,pass_same_by_formula_zero_cost,pass,
robustness,25,0.0,2496,1080,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,1080,95f0c0045c1d426bbbc1479192c78f63ae196837535c80cc106978b161032007,95f0c0045c1d426bbbc1479192c78f63ae196837535c80cc106978b161032007,True,False,reference,pass,
robustness,25,0.25,2496,1076,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,1080,d7dcd0e569d411e49de3d1925ead9762234eb2f55dd4f522f656b24c47a5bc67,95f0c0045c1d426bbbc1479192c78f63ae196837535c80cc106978b161032007,False,False,pass,pass,
robustness,25,0.5,2496,1056,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,1080,5026a0b21bb5750a2bbafe327504f2f6fe4a6962ddee2d32249fdbf10b11e541,95f0c0045c1d426bbbc1479192c78f63ae196837535c80cc106978b161032007,False,False,pass,pass,
robustness,50,0.0,2496,1056,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,1056,5026a0b21bb5750a2bbafe327504f2f6fe4a6962ddee2d32249fdbf10b11e541,5026a0b21bb5750a2bbafe327504f2f6fe4a6962ddee2d32249fdbf10b11e541,True,False,reference,pass,
robustness,50,0.25,2496,1039,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,1056,b15b859ea44e32408507342a8d2a2c9588aa3ce3e98322f9b857557ef89bcad1,5026a0b21bb5750a2bbafe327504f2f6fe4a6962ddee2d32249fdbf10b11e541,False,False,pass,pass,
robustness,50,0.5,2496,997,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,1056,674e013834eba6cff3ed2f422063884707986437f3399140c17273c74a187e0d,5026a0b21bb5750a2bbafe327504f2f6fe4a6962ddee2d32249fdbf10b11e541,False,False,pass,pass,
robustness,100,0.0,2496,997,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,997,674e013834eba6cff3ed2f422063884707986437f3399140c17273c74a187e0d,674e013834eba6cff3ed2f422063884707986437f3399140c17273c74a187e0d,True,False,reference,pass,
robustness,100,0.25,2496,964,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,997,2667ee721134d05ae54a03caec4ea32df1ed9d45d42ed5736ab76de1c81f7f40,674e013834eba6cff3ed2f422063884707986437f3399140c17273c74a187e0d,False,False,pass,pass,
robustness,100,0.5,2496,900,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,997,8a7c5c73595687f98f3558bac366f1abb26993229388cff9ca39ddf294737aad,674e013834eba6cff3ed2f422063884707986437f3399140c17273c74a187e0d,False,False,pass,pass,
train,0,0.0,20245,9746,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,9746,cfb49e086a037d173ae505b15109504a505d6a5343cd991ee0010067d1c75a06,cfb49e086a037d173ae505b15109504a505d6a5343cd991ee0010067d1c75a06,True,False,reference,pass,
train,0,0.25,20245,9746,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,9746,cfb49e086a037d173ae505b15109504a505d6a5343cd991ee0010067d1c75a06,cfb49e086a037d173ae505b15109504a505d6a5343cd991ee0010067d1c75a06,True,True,pass_same_by_formula_zero_cost,pass,
train,0,0.5,20245,9746,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,9746,cfb49e086a037d173ae505b15109504a505d6a5343cd991ee0010067d1c75a06,cfb49e086a037d173ae505b15109504a505d6a5343cd991ee0010067d1c75a06,True,True,pass_same_by_formula_zero_cost,pass,
train,25,0.0,20245,9622,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,9622,fc8778d9022c52546278a3132ca81310e94e2f2ca70f5fb6eaef1cde9250fe7f,fc8778d9022c52546278a3132ca81310e94e2f2ca70f5fb6eaef1cde9250fe7f,True,False,reference,pass,
train,25,0.25,20245,9558,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,9622,2871505b5df122cb05cfa6300d3b67832ee8b27f8d2efb4e008412db0a625caa,fc8778d9022c52546278a3132ca81310e94e2f2ca70f5fb6eaef1cde9250fe7f,False,False,pass,pass,
train,25,0.5,20245,9409,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,9622,5578dbebba5767eeede690384bd3e7631976ad235cb5963d4aa6c053f7177210,fc8778d9022c52546278a3132ca81310e94e2f2ca70f5fb6eaef1cde9250fe7f,False,False,pass,pass,
train,50,0.0,20245,9409,defend if q_defend * forward_return_h20 - cost_bps/10000 > forward_return_h20,0,pass,0.0,9409,5578dbebba5767eeede690384bd3e7631976ad235cb5963d4aa6c053f7177210,5578dbebba5767eeede690384bd3e7631976ad235cb5963d4aa6c053f7177210,True,False,reference,pass,
