feature_name,feature_family,feature_role,formula_template_id,formula_text,raw_inputs,window,cross_section_scope,normalization_scope,feature_asof_rule,missing_value_policy,allowed_for_path_extraction,allowed_for_primitive_formula,raw_required_field_exempt,pit_required,transform_type,frozen_train_transform_required,train_fold_quantile_required,eligible_denominator_field,leakage_risk_level,formula_hash,allowed_for_launch,allowed_for_failure,feature_bank_version,global_v2_dictionary_rule
body_pct,kbar_candle_shape,atomic_feature,kbar_candle_shape,body_pct,open;high;low;close;volume;money,,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,7120534eb9f1d09b,True,True,alpha158_like_v2_hygiene,intersection_of_core_fold_v2_features
close_open_return,kbar_candle_shape,atomic_feature,kbar_candle_shape,close_open_return,open;high;low;close;volume;money,,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,f550f8f9b9927846,True,True,alpha158_like_v2_hygiene,intersection_of_core_fold_v2_features
gap_close_pct,kbar_candle_shape,atomic_feature,kbar_candle_shape,gap_close_pct,open;high;low;close;volume;money,,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,e1ea2db498336102,True,True,alpha158_like_v2_hygiene,intersection_of_core_fold_v2_features
gap_open_pct,kbar_candle_shape,atomic_feature,kbar_candle_shape,gap_open_pct,open;high;low;close;volume;money,,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,0d44000d36aacbdb,True,True,alpha158_like_v2_hygiene,intersection_of_core_fold_v2_features
high_close_ratio,kbar_candle_shape,atomic_feature,kbar_candle_shape,high_close_ratio,open;high;low;close;volume;money,,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,16e74600b05ab6a9,True,True,alpha158_like_v2_hygiene,intersection_of_core_fold_v2_features
intraday_range_pct,kbar_candle_shape,atomic_feature,kbar_candle_shape,intraday_range_pct,open;high;low;close;volume;money,,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,2f2c4b9b00e7ccfd,True,True,alpha158_like_v2_hygiene,intersection_of_core_fold_v2_features
low_close_ratio,kbar_candle_shape,atomic_feature,kbar_candle_shape,low_close_ratio,open;high;low;close;volume;money,,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,a94c798550a4c8f2,True,True,alpha158_like_v2_hygiene,intersection_of_core_fold_v2_features
close_over_close_10d,rolling_return,atomic_feature,rolling_return,close_over_close_10d,open;high;low;close;volume;money,10.0,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,b817deaa2b80590a,True,True,alpha158_like_v2_hygiene,intersection_of_core_fold_v2_features
close_over_close_20d,rolling_return,atomic_feature,rolling_return,close_over_close_20d,open;high;low;close;volume;money,20.0,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,5cc5b2f608db7291,True,True,alpha158_like_v2_hygiene,intersection_of_core_fold_v2_features
close_over_close_2d,rolling_return,atomic_feature,rolling_return,close_over_close_2d,open;high;low;close;volume;money,2.0,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,fd813bba94a5b2f5,True,True,alpha158_like_v2_hygiene,intersection_of_core_fold_v2_features
close_over_close_3d,rolling_return,atomic_feature,rolling_return,close_over_close_3d,open;high;low;close;volume;money,3.0,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,452a8f3892c80b8d,True,True,alpha158_like_v2_hygiene,intersection_of_core_fold_v2_features
close_over_close_5d,rolling_return,atomic_feature,rolling_return,close_over_close_5d,open;high;low;close;volume;money,5.0,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,920ebef95d4707c8,True,True,alpha158_like_v2_hygiene,intersection_of_core_fold_v2_features
return_acceleration_5_20,rolling_return,atomic_feature,rolling_return,return_acceleration_5_20,open;high;low;close;volume;money,520.0,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,d55d5e0202c301bc,True,True,alpha158_like_v2_hygiene,intersection_of_core_fold_v2_features
close_over_ma_10,price_distance,atomic_feature,price_distance,close_over_ma_10,open;high;low;close;volume;money,10.0,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,cf50b080aaf68438,True,True,alpha158_like_v2_hygiene,intersection_of_core_fold_v2_features
close_over_ma_20,price_distance,atomic_feature,price_distance,close_over_ma_20,open;high;low;close;volume;money,20.0,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,82f3f0408b001eac,True,True,alpha158_like_v2_hygiene,intersection_of_core_fold_v2_features
