selected_target_id,selected_fast_fail_label_id,false_repair_component_id,selection_rank,selection_status,selection_reason,mechanism_family,primary_denominator_id,candidate_label_status,source_caveated,label_contract_hash,event_binding_hash,usable_for_09C_supported_gate,winner_readout_label,winner_readout_completeness_rule,winner_censoring_status_mapping,cost_target_label_t1_rule,train_positive_rate,train_kill_wrong_rate,train_winner_injury_rate,train_episode_winner_recall_retention,max_split_positive_rate_spread
fixed_mae10_neg_05__or_false_repair_20d,fixed_mae10_neg_05,frozen_event_false_repair_20d_label,,rejected,bound_gate_failed,fixed_mae10,risk_on_r_core_horizon_complete,evaluable,True,cf3906309cc08fa9a381d9badae8e381294288f864edb2135163dfef3ef1b9ae,1e252016d9d334407fdbbf1924cb3a8395f86069e76bae1c560efacc5f715191,False,event_big_winner_120d_label,horizon_complete_120d_true_drop_null_winner,candidate_outcome_120d_status_v1,20d_cost_horizon,0.5770321646249472,0.14066094959213554,0.45316711590296493,0.8959200666111574,
fixed_mae10_neg_08__or_false_repair_20d,fixed_mae10_neg_08,frozen_event_false_repair_20d_label,,rejected,not_selected_after_pareto,fixed_mae10,risk_on_r_core_horizon_complete,evaluable,True,cf3906309cc08fa9a381d9badae8e381294288f864edb2135163dfef3ef1b9ae,1e252016d9d334407fdbbf1924cb3a8395f86069e76bae1c560efacc5f715191,False,event_big_winner_120d_label,horizon_complete_120d_true_drop_null_winner,candidate_outcome_120d_status_v1,20d_cost_horizon,0.3784322008327802,0.12135225641843406,0.25640161725067384,0.9508742714404663,
fixed_mae10_neg_10__or_false_repair_20d,fixed_mae10_neg_10,frozen_event_false_repair_20d_label,,rejected,not_selected_after_pareto,fixed_mae10,risk_on_r_core_horizon_complete,evaluable,True,cf3906309cc08fa9a381d9badae8e381294288f864edb2135163dfef3ef1b9ae,1e252016d9d334407fdbbf1924cb3a8395f86069e76bae1c560efacc5f715191,False,event_big_winner_120d_label,horizon_complete_120d_true_drop_null_winner,candidate_outcome_120d_status_v1,20d_cost_horizon,0.27584334077605455,0.11091664843579085,0.170822102425876,0.9675270607826811,
fixed_mae10_neg_12__or_false_repair_20d,fixed_mae10_neg_12,frozen_event_false_repair_20d_label,2.0,selected,train_pareto_selected,fixed_mae10,risk_on_r_core_horizon_complete,evaluable,True,cf3906309cc08fa9a381d9badae8e381294288f864edb2135163dfef3ef1b9ae,1e252016d9d334407fdbbf1924cb3a8395f86069e76bae1c560efacc5f715191,True,event_big_winner_120d_label,horizon_complete_120d_true_drop_null_winner,candidate_outcome_120d_status_v1,20d_cost_horizon,0.19703095769718182,0.10444104134762634,0.11489218328840971,0.9750208159866778,0.09108258508214254
vol_sigma20_1_0__or_false_repair_20d,vol_sigma20_1_0,frozen_event_false_repair_20d_label,,rejected,bound_gate_failed,vol_scaled,risk_on_r_core_horizon_complete,evaluable,True,cf3906309cc08fa9a381d9badae8e381294288f864edb2135163dfef3ef1b9ae,1e252016d9d334407fdbbf1924cb3a8395f86069e76bae1c560efacc5f715191,False,event_big_winner_120d_label,horizon_complete_120d_true_drop_null_winner,candidate_outcome_120d_status_v1,20d_cost_horizon,0.7737613903807857,0.14693495554515676,0.6347708894878706,0.7885095753538718,
vol_sigma20_1_5__or_false_repair_20d,vol_sigma20_1_5,frozen_event_false_repair_20d_label,,rejected,bound_gate_failed,vol_scaled,risk_on_r_core_horizon_complete,evaluable,True,cf3906309cc08fa9a381d9badae8e381294288f864edb2135163dfef3ef1b9ae,1e252016d9d334407fdbbf1924cb3a8395f86069e76bae1c560efacc5f715191,False,event_big_winner_120d_label,horizon_complete_120d_true_drop_null_winner,candidate_outcome_120d_status_v1,20d_cost_horizon,0.6550995775497888,0.13274988484569322,0.4855121293800539,0.8726061615320566,
vol_sigma20_2_0__or_false_repair_20d,vol_sigma20_2_0,frozen_event_false_repair_20d_label,,rejected,bound_gate_failed,vol_scaled,risk_on_r_core_horizon_complete,evaluable,True,cf3906309cc08fa9a381d9badae8e381294288f864edb2135163dfef3ef1b9ae,1e252016d9d334407fdbbf1924cb3a8395f86069e76bae1c560efacc5f715191,False,event_big_winner_120d_label,horizon_complete_120d_true_drop_null_winner,candidate_outcome_120d_status_v1,20d_cost_horizon,0.5369945684972842,0.12384805574286356,0.37129380053908356,0.9208992506244796,
atr14_1_5__or_false_repair_20d,atr14_1_5,frozen_event_false_repair_20d_label,,rejected,bound_gate_failed,atr_scaled,risk_on_r_core_horizon_complete,evaluable,True,cf3906309cc08fa9a381d9badae8e381294288f864edb2135163dfef3ef1b9ae,1e252016d9d334407fdbbf1924cb3a8395f86069e76bae1c560efacc5f715191,False,event_big_winner_120d_label,horizon_complete_120d_true_drop_null_winner,candidate_outcome_120d_status_v1,20d_cost_horizon,0.5031681853841048,0.12245142720076757,0.34400269541778977,0.9275603663613655,
atr14_2_0__or_false_repair_20d,atr14_2_0,frozen_event_false_repair_20d_label,,rejected,not_selected_after_pareto,atr_scaled,risk_on_r_core_horizon_complete,evaluable,True,cf3906309cc08fa9a381d9badae8e381294288f864edb2135163dfef3ef1b9ae,1e252016d9d334407fdbbf1924cb3a8395f86069e76bae1c560efacc5f715191,False,event_big_winner_120d_label,horizon_complete_120d_true_drop_null_winner,candidate_outcome_120d_status_v1,20d_cost_horizon,0.35815581437450966,0.10783487784330244,0.215633423180593,0.958368026644463,
break_event_low__or_false_repair_20d,break_event_low,frozen_event_false_repair_20d_label,,rejected,bound_gate_failed,structural,risk_on_r_core_horizon_complete,evaluable,True,cf3906309cc08fa9a381d9badae8e381294288f864edb2135163dfef3ef1b9ae,1e252016d9d334407fdbbf1924cb3a8395f86069e76bae1c560efacc5f715191,False,event_big_winner_120d_label,horizon_complete_120d_true_drop_null_winner,candidate_outcome_120d_status_v1,20d_cost_horizon,0.7006819141874359,0.1498578933769701,0.5862533692722371,0.8767693588676103,
break_swing_low_20__or_false_repair_20d,break_swing_low_20,frozen_event_false_repair_20d_label,1.0,selected,train_pareto_selected,structural,risk_on_r_core_horizon_complete,evaluable,True,cf3906309cc08fa9a381d9badae8e381294288f864edb2135163dfef3ef1b9ae,1e252016d9d334407fdbbf1924cb3a8395f86069e76bae1c560efacc5f715191,True,event_big_winner_120d_label,horizon_complete_120d_true_drop_null_winner,candidate_outcome_120d_status_v1,20d_cost_horizon,0.07543298533582765,0.088,0.03706199460916442,1.0,0.015731821354311316
break_ema20__or_false_repair_20d,break_ema20,frozen_event_false_repair_20d_label,,rejected,not_selected_after_pareto,structural,risk_on_r_core_horizon_complete,evaluable,True,cf3906309cc08fa9a381d9badae8e381294288f864edb2135163dfef3ef1b9ae,1e252016d9d334407fdbbf1924cb3a8395f86069e76bae1c560efacc5f715191,False,event_big_winner_120d_label,horizon_complete_120d_true_drop_null_winner,candidate_outcome_120d_status_v1,20d_cost_horizon,0.43159736889747147,0.12541946308724833,0.3022237196765499,0.9567027477102414,
break_ema60__or_false_repair_20d,break_ema60,frozen_event_false_repair_20d_label,,rejected,not_selected_after_pareto,structural,risk_on_r_core_horizon_complete,evaluable,True,cf3906309cc08fa9a381d9badae8e381294288f864edb2135163dfef3ef1b9ae,1e252016d9d334407fdbbf1924cb3a8395f86069e76bae1c560efacc5f715191,False,event_big_winner_120d_label,horizon_complete_120d_true_drop_null_winner,candidate_outcome_120d_status_v1,20d_cost_horizon,0.26775692474805385,0.10299752084741942,0.1539757412398922,0.9575353871773522,
