priority_order,priority_rule_id,would_match,selected,candidate_final_decision,decision_reason,h10_validated_pass,baseline_lift_gate_H10,baseline_lift_evaluable_H10,absolute_positive_H10,relative_positive_H10,multi_comparator_relative_status_H10,robustness_confirmed,adjacent_horizon_clean,adjacent_horizon_evaluable,horizon_pass_H5,horizon_pass_H20,included_factor_count,direction_active_factor_count
1,rule_01,False,False,r04_blocked_data_or_execution_contract,Data or execution contract was not reproducible.,False,False,True,False,False,unstable,False,False,True,False,False,125,124
2,rule_02,False,False,r04_factor_library_not_implementable_blocked,Included GTJA191 factor count is below the frozen minimum.,False,False,True,False,False,unstable,False,False,True,False,False,125,124
3,rule_03,False,False,r04_factor_direction_learning_not_viable_blocked,Nonzero train-direction factor count is below the frozen minimum.,False,False,True,False,False,unstable,False,False,True,False,False,125,124
4,rule_04,False,False,r04_gtja191_residual_composite_supported_continue_research,"H10 passed absolute, relative, baseline, robustness, and adjacent-horizon checks.",False,False,True,False,False,unstable,False,False,True,False,False,125,124
5,rule_05,False,False,r04_baseline_not_evaluable_validation_lead,H10 validated but baseline lift was not evaluable.,False,False,True,False,False,unstable,False,False,True,False,False,125,124
6,rule_06,False,False,r04_relative_residual_edge_only_hedged_or_regime_audit_required,"Relative residual edge only, stable multi-comparator status.",False,False,True,False,False,unstable,False,False,True,False,False,125,124
7,rule_07,False,False,r04_relative_residual_edge_only_hedged_or_regime_audit_required,Relative residual edge only with unstable comparator subflag.,False,False,True,False,False,unstable,False,False,True,False,False,125,124
8,rule_08,False,False,r04_comparator_unavailable_validation_lead,Relative lead but comparator family unavailable.,False,False,True,False,False,unstable,False,False,True,False,False,125,124
9,rule_09,False,False,r04_baseline_not_evaluable_validation_lead,Relative lead but baseline not evaluable.,False,False,True,False,False,unstable,False,False,True,False,False,125,124
10,rule_10,False,False,r04_comparator_unavailable_validation_lead,"Relative lead, baseline not evaluable, comparator unavailable.",False,False,True,False,False,unstable,False,False,True,False,False,125,124
11,rule_11,False,False,r04_absolute_only_baseline_lift_no_relative_pass,Absolute-only baseline-lift lead without relative pass.,False,False,True,False,False,unstable,False,False,True,False,False,125,124
12,rule_12,False,False,r04_beta_or_style_exposure_only_no_stock_selection_pass,Absolute-only lead without stock-selection residual pass.,False,False,True,False,False,unstable,False,False,True,False,False,125,124
13,rule_13,False,False,r04_unstable_validation_only_lead,Validation lead did not survive robustness.,False,False,True,False,False,unstable,False,False,True,False,False,125,124
14,rule_14,False,False,r04_adjacent_horizon_not_evaluable_validation_lead,Adjacent H5/H20 was not evaluable.,False,False,True,False,False,unstable,False,False,True,False,False,125,124
15,rule_15,False,False,r04_unstable_horizon_shape_no_search_allowed,Adjacent H5/H20 shape was not clean.,False,False,True,False,False,unstable,False,False,True,False,False,125,124
16,rule_16,False,False,r04_horizon_specific_lead_only_no_search_allowed,Only an adjacent horizon passed while H10 did not.,False,False,True,False,False,unstable,False,False,True,False,False,125,124
17,rule_17,False,False,r04_sample_limited_primary_lead_only,H10 evidence is sample-limited only.,False,False,True,False,False,unstable,False,False,True,False,False,125,124
18,rule_18,True,True,r04_no_gtja191_residual_composite_support,No R04 rule supplied local GTJA191 residual composite support.,False,False,True,False,False,unstable,False,False,True,False,False,125,124
