contrast_order,contrast_id,family_id,left_arm_id,right_arm_id,left_score_variant,right_score_variant,primary_metric,materiality_rule_id,oracle_involved,allowed_conclusion,forbidden_conclusion,status
1,C01,predictor_semantics,P1_SINGLE_DRAW0,P0_CURRENT_SCORE_MEAN8,point,point,mean_daily_RankIC_delta,PREDICTOR_V0,False,local_implementation_sensitivity_only,paper_exact_or_forward_support,pre_registered
2,C02,predictor_semantics,P2_SCORE_MEAN64,P0_CURRENT_SCORE_MEAN8,point,point,mean_daily_RankIC_delta,PREDICTOR_V0,False,local_implementation_sensitivity_only,paper_exact_or_forward_support,pre_registered
3,C03,predictor_semantics,P3_SCORE_MEAN256_REF,P0_CURRENT_SCORE_MEAN8,point,point,mean_daily_RankIC_delta,PREDICTOR_V0,False,local_implementation_sensitivity_only,paper_exact_or_forward_support,pre_registered
4,C04,predictor_semantics,P4_ZERO_NOISE_REVERSE_PROXY,P3_SCORE_MEAN256_REF,point,point,mean_daily_RankIC_delta,PREDICTOR_V0,False,local_implementation_sensitivity_only,paper_exact_or_forward_support,pre_registered
5,C05,corrected_latent,P5_KOOPMAN_ONLY,P3_SCORE_MEAN256_REF,point,point,mean_daily_RankIC_delta,PREDICTOR_V0,False,local_implementation_sensitivity_only,paper_exact_or_forward_support,pre_registered
6,C06,predictor_semantics,P6_SCORE_MEDIAN256,P3_SCORE_MEAN256_REF,point,point,mean_daily_RankIC_delta,PREDICTOR_V0,False,local_implementation_sensitivity_only,paper_exact_or_forward_support,pre_registered
10,C10,drc_training_graph,G1_STOPGRAD_X0_RECON,G0_CURRENT_X0_COUPLED,score_mean64,score_mean64,mean_daily_RankIC_delta,GA_V0,False,local_implementation_sensitivity_only,paper_exact_or_forward_support,pre_registered
11,C11,drc_training_graph,G2_TEACHER_LATENT_RECON_ORACLE,G0_CURRENT_X0_COUPLED,score_mean64,score_mean64,mean_daily_RankIC_delta,GA_V0,True,local_implementation_sensitivity_only,paper_exact_or_forward_support,pre_registered
20,C20,drc_architecture,A1_MLP_100_STEP,A0_SELECTED_GRAPH_CONTROL,score_mean64,score_mean64,mean_daily_RankIC_delta,GA_V0,False,local_implementation_sensitivity_only,paper_exact_or_forward_support,pre_registered
21,C21,drc_architecture,A2_RESBLOCK_20_STEP,A0_SELECTED_GRAPH_CONTROL,score_mean64,score_mean64,mean_daily_RankIC_delta,GA_V0,False,local_implementation_sensitivity_only,paper_exact_or_forward_support,pre_registered
22,C22,decoder_topology,A3_POINTWISE_MLP_DECODER,A0_SELECTED_GRAPH_CONTROL,score_mean64,score_mean64,mean_daily_RankIC_delta,GA_V0,False,local_implementation_sensitivity_only,paper_exact_or_forward_support,pre_registered
