frontier_arm_id,arm_role,decision_role,source_population,source_path,event_selection_rule,priority_policy,is_primary_decision_arm,is_benchmark_arm,is_sensitivity_arm,is_family_slice,label_source,event_n,instrument_n,split_values,arm_status
08_R_core_event_regime_gated_raw,primary_benchmark,primary_benchmark,12A1_published_r_core_raw_benchmark,r_core_arm_event_registry.csv.gz,arm_id == 08_R_core_event_regime_gated_raw,published_12A1,False,True,False,False,12A1_frozen_event_registry_labels,47914,1431,robustness;train;validation,ok
08_R6_event_regime_gated_raw,secondary_reference,secondary_reference,12A1_published_r6_lower_density_reference,r_core_arm_event_registry.csv.gz,arm_id == 08_R6_event_regime_gated_raw,published_12A1,False,False,False,False,12A1_frozen_event_registry_labels,16204,1384,robustness;train;validation,ok
12A2_C0_primary_canonical_union,primary_candidate,primary_candidate,12A2_state_change_canonical_supported_events,state_change_candidate_event_canonical.csv.gz,candidate_generation_status=supported_canonical_event; executable and PIT pass,C0_current_priority,True,False,False,False,12A3_recomputed_from_qfq,28691,1435,robustness;train;validation,ok
12A2_B1_primary,family_slice,family_slice,12A2_state_change_canonical_supported_events,state_change_candidate_event_canonical.csv.gz,primary_family_id == B1,C0_current_priority,False,False,False,True,12A3_recomputed_from_qfq,4570,1049,robustness;train;validation,ok
12A2_B2_primary,family_slice,family_slice,12A2_state_change_canonical_supported_events,state_change_candidate_event_canonical.csv.gz,primary_family_id == B2,C0_current_priority,False,False,False,True,12A3_recomputed_from_qfq,3143,968,robustness;train;validation,ok
12A2_B3_primary,family_slice,family_slice,12A2_state_change_canonical_supported_events,state_change_candidate_event_canonical.csv.gz,primary_family_id == B3,C0_current_priority,False,False,False,True,12A3_recomputed_from_qfq,3508,947,robustness;train;validation,ok
12A2_B4_primary,family_slice,family_slice,12A2_state_change_canonical_supported_events,state_change_candidate_event_canonical.csv.gz,primary_family_id == B4,C0_current_priority,False,False,False,True,12A3_recomputed_from_qfq,369,213,robustness;train;validation,ok
12A2_B5_primary,family_slice,family_slice,12A2_state_change_canonical_supported_events,state_change_candidate_event_canonical.csv.gz,primary_family_id == B5,C0_current_priority,False,False,False,True,12A3_recomputed_from_qfq,10887,1326,robustness;train;validation,ok
12A2_B6_primary,family_slice,family_slice,12A2_state_change_canonical_supported_events,state_change_candidate_event_canonical.csv.gz,primary_family_id == B6,C0_current_priority,False,False,False,True,12A3_recomputed_from_qfq,2443,889,robustness;train;validation,ok
12A2_B8_primary,family_slice,family_slice,12A2_state_change_canonical_supported_events,state_change_candidate_event_canonical.csv.gz,primary_family_id == B8,C0_current_priority,False,False,False,True,12A3_recomputed_from_qfq,3771,1094,robustness;train;validation,ok
12A2_multi_family_trigger_ge2,confidence_tier,confidence_tier,12A2_state_change_canonical_supported_events,state_change_candidate_event_canonical.csv.gz,triggered_family_count >= 2,C0_current_priority,False,False,False,False,12A3_recomputed_from_qfq,8574,1266,robustness;train;validation,ok
12A2_single_family_trigger,confidence_tier,confidence_tier,12A2_state_change_canonical_supported_events,state_change_candidate_event_canonical.csv.gz,triggered_family_count = 1,C0_current_priority,False,False,False,False,12A3_recomputed_from_qfq,20117,1362,robustness;train;validation,ok
12A2_B8_only_same_event_diagnostic,diagnostic_slice,diagnostic_slice,12A2_state_change_canonical_supported_events,state_change_candidate_event_canonical.csv.gz,B8 trigger present and no B1/B3/B5 trigger on same canonical event,C0_current_priority,False,False,False,False,12A3_recomputed_from_qfq,4196,1147,robustness;train;validation,ok
12A2_B8_incremental_episode_recall_vs_B1_B3_B5,diagnostic_slice,diagnostic_slice,12A2_state_change_canonical_supported_events,state_change_candidate_event_canonical.csv.gz,B8 trigger present; episode complement computed in b8 output,C0_current_priority,False,False,False,False,12A3_recomputed_from_qfq,6103,1310,robustness;train;validation,ok
12A2_B1_B3_collision_current_priority,diagnostic_slice,diagnostic_slice,12A2_state_change_canonical_supported_events,state_change_candidate_event_canonical.csv.gz,triggered family variants contain both B1 and B3,C0_current_priority,False,False,False,False,12A3_recomputed_from_qfq,748,476,robustness;train;validation,ok
12A2_B3_before_B1_priority_sensitivity,sensitivity,sensitivity,12A2_raw_instances_recanonicalized,state_change_candidate_event_instances.csv.gz,"B3 priority before B1, same-day recollapse, union 10-session cooldown",B3_before_B1,False,False,True,False,12A3_recomputed_from_qfq,27742,1435,robustness;train;validation,ok
12A2_B5_downpriority_sensitivity,diagnostic_slice,diagnostic_slice,12A2_raw_instances_recanonicalized,state_change_candidate_event_instances.csv.gz,"B5 priority moved after B8, same-day recollapse, union 10-session cooldown",B5_downpriority_after_B8,False,False,True,False,12A3_recomputed_from_qfq,27742,1435,robustness;train;validation,ok
